"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6364,15974945,14381017,1593928,587296,384583,622049,4438,150,4288,4488,191,4297,1326136
2011,7568,7568,7578,6322,26894510,22070491,4824019,2482855,860022,1481142,1438,195,1243,1478,230,1248,6996924
2012,7568,7568,7578,6296,17177635,15353361,1824274,211692,572302,1040280,4458,169,4289,4509,212,4297,8225
2013,7568,7568,7578,6322,29283203,23447634,5835569,3279276,1086418,1469875,860,197,663,898,233,665,7802934
2014,7568,7568,7578,6320,22646754,18803097,3843657,2051709,674645,1117303,483,191,292,519,227,292,16541077
2015,7568,7568,7578,6314,40671360,33682657,6988703,3659677,1185801,2143225,208,188,20,246,226,20,0
2016,7568,7568,7578,6272,9583569,8777036,806533,537080,158890,110563,263,183,80,309,228,81,30854986
2017,7568,7568,7578,6267,29833917,25548104,4285813,1320179,916345,2049289,2169,186,1983,2216,230,1986,957
2018,7568,7568,7578,6348,13427704,12002718,1424986,234945,278749,911292,4651,142,4509,4699,184,4515,2702916
2019,7568,7568,7578,6288,35791902,31459978,4331924,1516496,800730,2014698,1091,183,908,1137,228,909,0
2020,7568,7568,7578,6314,34636968,32084308,2552660,1065003,466305,1021352,1300,200,1100,1338,236,1102,0
2021,7568,7568,7578,6317,24129627,19915898,4213729,2201064,813768,1198897,1034,191,843,1074,228,846,12007278
2022,7568,7568,7578,6268,21488507,17533618,3954889,2637807,737288,579794,562,187,375,607,231,376,17264800
2023,7568,7568,7578,6310,36432918,33827486,2605432,1305950,527166,772316,975,191,784,1014,229,785,0
2024,7568,7568,7578,6322,24911957,24771803,140154,45799,31346,63009,1909,197,1712,1948,232,1716,6377456
2025,7568,7568,7578,6285,27805799,24255497,3550302,1987389,750490,812423,1776,185,1591,1826,231,1595,4210661
2026,7568,7568,7578,6332,11722783,10433294,1289489,239136,273069,777284,4136,161,3975,4183,199,3984,7271739
2027,7568,7568,7578,6382,15881724,14704429,1177295,42984,259791,874520,4694,133,4561,4747,179,4568,0
2028,7568,7568,7578,7570,71838,46980,24858,687,5357,18814,7555,22,7533,7565,25,7540,0
2029,7568,7568,7578,6631,9626292,8945004,681288,26946,143596,510746,5826,113,5713,5852,131,5721,0
2030,7568,7568,7578,6322,19800972,16517848,3283124,1347831,678295,1256998,2312,189,2123,2353,225,2128,9271646
2031,7568,7568,7578,6286,36849863,29877485,6972378,3525726,1631488,1815164,899,191,708,947,236,711,3031
2032,7568,7568,7578,6337,18174735,15818738,2355997,797825,498411,1059761,4139,159,3980,4185,197,3988,776559
2033,7568,7568,7578,6312,39560634,32222653,7337981,3666429,1643162,2028390,409,187,222,450,227,223,0
2034,7568,7568,7578,6581,12284298,11060350,1223948,240921,285009,698018,5345,121,5224,5364,134,5230,0
2035,7568,7568,7578,6281,24988572,20912962,4075610,1439239,926452,1709919,3046,174,2872,3096,217,2879,0
2036,7568,7568,7578,6322,38947248,33255928,5691320,2319908,962784,2408628,520,199,321,559,234,325,0
2037,7568,7568,7578,6364,12719491,11632947,1086544,131841,238997,715706,4463,151,4312,4511,192,4319,4455668
2038,7568,7568,7578,6310,30509046,25025057,5483989,2365074,1138960,1979955,2047,190,1857,2091,229,1862,0
2039,7568,7568,7578,6294,21706128,18198546,3507582,1313626,782102,1411854,3640,181,3459,3686,218,3468,0
2040,7568,7568,7578,6343,15934386,14150907,1783479,437706,447785,897988,3653,163,3490,3704,205,3499,5715858
2041,7568,7568,7578,6332,25016202,22180298,2835904,849087,692952,1293865,3041,189,2852,3082,225,2857,0
2042,7568,7568,7578,7518,536022,309985,226037,27345,50510,148182,7471,13,7458,7481,16,7465,0
2043,7568,7568,7578,6455,13721058,12352107,1368951,204321,422332,742298,5085,136,4949,5128,178,4950,0
2044,7568,7568,7578,7452,1074931,849336,225595,7166,61811,156618,7357,37,7320,7366,40,7326,91055
2045,7568,7568,7578,7578,0,0,0,0,0,0,7568,23,7545,7578,27,7551,0
2046,7568,7568,7578,7040,5415480,5164311,251169,6178,63562,181429,6588,79,6509,6613,100,6513,0
2047,7568,7568,7578,7340,2177244,1898684,278560,5178,73678,199704,7174,84,7090,7180,82,7098,0
2048,7568,7568,7578,6328,18528678,16964014,1564664,318523,409489,836652,4215,170,4045,4257,204,4053,0
2049,7568,7568,7578,6324,25900362,22543261,3357101,1181151,668695,1507255,2881,194,2687,2923,232,2691,0
2050,7568,7568,7578,6321,28656676,25700548,2956128,1619638,702072,634418,1940,183,1757,1984,221,1763,2448227
2051,7568,7568,7578,6326,29724354,25412575,4311779,1847204,962725,1501850,2189,198,1991,2229,235,1994,0
2052,7568,7568,7578,6324,21363516,18444107,2919409,1199285,597977,1122147,3702,163,3539,3744,199,3545,0
2053,7568,7568,7578,6356,15710418,14234909,1475509,134131,335713,1005665,4725,142,4583,4775,186,4589,0
2054,7568,7568,7578,7578,5526,3296,2230,181,209,1840,7567,39,7528,7578,43,7535,0
2055,7568,7568,7578,6305,21903697,19392569,2511128,1082756,576993,851379,2779,174,2605,2826,215,2611,4572493
2056,7568,7568,7578,6322,24921869,20909638,4012231,1495305,1033734,1483192,1793,192,1601,1833,228,1605,7010598
2057,7568,7568,7578,6401,10300172,9534085,766087,41666,297953,426468,5023,137,4886,5072,180,4892,3780682
2058,7568,7568,7578,7393,1613592,1410758,202834,895,39248,162691,7276,41,7235,7279,35,7244,0
2059,7568,7568,7578,7578,0,0,0,0,0,0,7568,48,7520,7578,56,7522,0
2060,7568,7568,7578,7578,0,0,0,0,0,0,7568,3,7565,7578,5,7573,0
2061,7568,7568,7578,7578,0,0,0,0,0,0,7568,6,7562,7578,0,7578,0
2062,7568,7568,7578,7578,0,0,0,0,0,0,7568,24,7544,7578,27,7551,0
2063,7568,7568,7578,7512,607860,397381,210479,14938,48668,146873,7458,29,7429,7470,34,7436,0
2064,7568,7568,7578,7569,51597,49653,1944,578,382,984,7555,50,7505,7564,51,7513,20241
2065,7568,7568,7578,6417,10774546,9935329,839217,74649,223871,540697,5100,134,4966,5150,179,4971,2877182
2066,7568,7568,7578,7578,0,0,0,0,0,0,7568,17,7551,7578,23,7555,0
2067,7568,7568,7578,6322,30404052,25760121,4643931,2016912,1299082,1327937,2066,201,1865,2107,237,1870,0
2068,7568,7568,7578,7578,0,0,0,0,0,0,7568,15,7553,7578,19,7559,0
2069,7568,7568,7578,7578,0,0,0,0,0,0,7568,0,7568,7578,1,7577,0
2070,7568,7568,7578,7578,0,0,0,0,0,0,7568,15,7553,7578,20,7558,0
2071,7568,7568,7578,7514,371484,253500,117984,6250,42722,69012,7466,46,7420,7476,49,7427,192168
2072,7568,7568,7578,7578,0,0,0,0,0,0,7568,11,7557,7578,15,7563,0
2073,7568,7568,7578,7386,1467841,1197841,270000,55387,85823,128790,7273,53,7220,7274,48,7226,162329
2074,7568,7568,7578,7564,121572,69104,52468,13391,18734,20343,7546,46,7500,7556,48,7508,0
2075,7568,7568,7578,7573,18452,11129,7323,2106,1782,3435,7561,38,7523,7570,43,7527,20230
2076,7568,7568,7578,7002,2594586,2404506,190080,32934,62081,95065,6545,96,6449,6569,114,6455,3073457
2077,7568,7568,7578,7534,105708,57440,48268,16404,13382,18482,7499,41,7458,7508,45,7463,275586
2078,7568,7568,7578,6436,1090760,1025853,64907,8371,14759,41777,5139,127,5012,5189,171,5018,12390369
