"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6364,15974945,14381017,1593928,587296,384583,622049,4438,150,4288,4488,191,4297,1326136,2010,14381017,1955845,1485168,0,832248,3531602,6576154,0,384583,212362,45306,0,0,0,126915,0,3130,1876
2011,7568,7568,7578,6322,26894510,22070491,4824019,2482855,860022,1481142,1438,195,1243,1478,230,1248,6996924,2011,22070491,6073437,2044411,0,1763948,5906815,6281880,0,860022,537941,0,0,0,0,322081,0,6130,4844
2012,7568,7568,7578,6296,17177635,15353361,1824274,211692,572302,1040280,4458,169,4289,4509,212,4297,8225,2012,15353361,2665026,1571939,0,87945,3927541,7100910,0,572302,197631,254631,0,0,0,120040,0,3110,1787
2013,7568,7568,7578,6322,29283203,23447634,5835569,3279276,1086418,1469875,860,197,663,898,233,665,7802934,2013,23447634,7189432,3041694,0,1123219,5843422,6249867,0,1086418,636148,68840,0,0,0,381430,0,6708,5424
2014,7568,7568,7578,6320,22646754,18803097,3843657,2051709,674645,1117303,483,191,292,519,227,292,16541077,2014,18803097,5660525,1918296,0,1743900,4591001,4889375,0,674645,417113,8083,0,0,0,249449,0,7085,5801
2015,7568,7568,7578,6314,40671360,33682657,6988703,3659677,1185801,2143225,208,188,20,246,226,20,0,2015,33682657,10482056,4097549,0,4233223,7387625,7482204,0,1185801,729276,19589,0,0,0,436936,0,7360,6068
2016,7568,7568,7578,6272,9583569,8777036,806533,537080,158890,110563,263,183,80,309,228,81,30854986,2016,8777036,1748418,1053500,0,1585272,2003407,2386439,0,158890,93673,9981,0,0,0,55236,0,7305,5963
2017,7568,7568,7578,6267,29833917,25548104,4285813,1320179,916345,2049289,2169,186,1983,2216,230,1986,957,2017,25548104,6991082,3657945,0,503670,6929781,7465626,0,916345,402066,271332,0,0,0,242947,0,5399,4051
2018,7568,7568,7578,6348,13427704,12002718,1424986,234945,278749,911292,4651,142,4509,4699,184,4515,2702916,2018,12002718,1887477,696953,0,94617,3301463,6022208,0,278749,174330,317,0,0,0,104102,0,2917,1649
2019,7568,7568,7578,6288,35791902,31459978,4331924,1516496,800730,2014698,1091,183,908,1137,228,909,0,2019,31459978,8806843,5952293,0,2140014,7073098,7487730,0,800730,404379,153231,0,0,0,243120,0,6477,5151
2020,7568,7568,7578,6314,34636968,32084308,2552660,1065003,466305,1021352,1300,200,1100,1338,236,1102,0,2020,32084308,6943414,2755507,0,7825341,7127576,7432470,0,466305,272462,30814,0,0,0,163029,0,6268,4976
