"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6325,20683818,18023245,2660573,1029245,571098,1060230,3825,158,3667,3869,193,3676,0,2010,18023245,3359153,1497443,0,704387,5096104,7366158,0,571098,334427,36373,0,0,0,200298,0,3743,2456
2011,7568,7568,7578,6340,10841896,9690968,1150928,413436,252679,484813,4443,144,4299,4491,182,4309,6452822,2011,9690968,1294810,713209,0,358291,2730684,4593974,0,252679,158164,350,0,0,0,94165,0,3125,1849
2012,7568,7568,7578,6309,40555314,32781088,7774226,4047230,1347306,2379690,229,185,44,270,226,44,0,2012,32781088,11059176,4363376,0,2455786,7409494,7493256,0,1347306,791405,81250,0,0,0,474651,0,7339,6039
2013,7568,7568,7578,6322,40732146,32729986,8002160,3960987,1558274,2482899,197,190,7,233,226,7,0,2013,32729986,10925594,6661949,0,563320,7025081,7554042,0,1558274,771094,322877,0,0,0,464303,0,7371,6089
2014,7568,7568,7578,7376,1878840,1455458,423382,33658,101495,288229,7228,81,7147,7227,74,7153,0,2014,1455458,516584,203804,0,30886,698658,5526,0,101495,54349,14913,0,0,0,32233,0,340,149
2015,7568,7568,7578,6322,24798854,21497252,3301602,1181435,688082,1432085,2357,191,2166,2398,228,2170,4000974,2015,21497252,5079578,3112781,0,824567,5633816,6846510,0,688082,344373,136598,0,0,0,207111,0,5211,3924
2016,7568,7568,7578,6324,19457046,17477577,1979469,408947,655431,915091,4047,162,3885,4092,199,3893,0,2016,17477577,3030427,1550025,0,500976,4996835,7399314,0,655431,225382,293116,0,0,0,136933,0,3521,2232
2017,7568,7568,7578,7536,276870,160752,116118,11212,32651,72255,7502,38,7464,7512,40,7472,87846,2017,160752,121805,38947,0,0,0,0,0,32651,15327,8217,0,0,0,9107,0,66,24
2018,7568,7568,7578,6352,22004532,18291367,3713165,1501384,1034675,1177106,3586,178,3408,3627,212,3415,0,2018,18291367,4379815,1838496,0,418669,4603211,7051176,0,1034675,428851,346456,0,0,0,259368,0,3982,2725
2019,7568,7568,7578,6832,7139592,6589202,550390,25919,142701,381770,6276,93,6183,6302,112,6190,0,2019,6589202,802965,282005,0,0,2260470,3243762,0,142701,63317,41336,0,0,0,38048,0,1292,530
2020,7568,7568,7578,6322,38991456,33492346,5499110,2666472,984615,1848023,512,192,320,549,228,321,0,2020,33492346,9403087,6604879,0,2731047,7199291,7554042,0,984615,554858,96894,0,0,0,332863,0,7056,5773
2021,7568,7568,7578,6328,18572788,16583982,1988806,263589,535346,1189871,4207,158,4049,4250,195,4055,98,2021,16583982,2891770,1675927,0,50173,4649688,7316424,0,535346,215933,188978,0,0,0,130435,0,3361,2078
2022,7568,7568,7578,6448,12910645,11669089,1241556,119803,368291,753462,5162,138,5024,5208,179,5029,386297,2022,11669089,1671632,829534,0,1086,2967637,6199200,0,368291,144250,137119,0,0,0,86922,0,2406,1240
2023,7568,7568,7578,7578,0,0,0,0,0,0,7568,45,7523,7578,49,7529,0,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,7568,7568,7578,7378,1851210,1567237,283973,2340,65084,216549,7233,64,7169,7234,62,7172,0,2024,1567237,494606,231217,0,98146,737742,5526,0,65084,29455,18118,0,0,0,17511,0,335,144
2025,7568,7568,7578,7190,4017402,3506950,510452,62571,115933,331948,6841,73,6768,6873,102,6771,0,2025,3506950,704552,214980,0,83995,1552951,950472,0,115933,66808,9589,0,0,0,39536,0,727,317
2026,7568,7568,7578,6730,36224256,29290983,6933273,3170388,1882215,1880670,918,189,729,958,227,731,523794,2026,29290983,8852860,4272514,0,716031,7915789,7533789,0,1882215,695160,764659,0,0,0,422396,0,6650,5772
2027,7568,7568,7578,7388,1690956,1347306,343650,12118,91908,239624,7262,47,7215,7262,40,7222,0,2027,1347306,471584,226751,0,18353,630618,0,0,91908,40607,27135,0,0,0,24166,0,306,126
2028,7568,7568,7578,7562,133750,70087,63663,26889,18940,17834,7543,32,7511,7553,36,7517,4400,2028,70087,44738,24243,0,1106,0,0,0,18940,9860,3292,0,0,0,5788,0,25,9
2029,7568,7568,7578,6803,4461679,4177393,284286,13206,54869,216211,6232,111,6121,6249,120,6129,2936352,2029,4177393,447105,224460,0,59273,1371794,2074761,0,54869,32652,2956,0,0,0,19261,0,1336,554
2030,7568,7568,7578,6528,11947212,11152041,795171,51197,252618,491356,5406,128,5278,5435,147,5288,0,2030,11152041,1439949,861480,0,402208,2789780,5658624,0,252618,88397,110673,0,0,0,53548,0,2162,1093
2031,7568,7568,7578,7567,99468,66146,33322,1425,13403,18494,7550,26,7524,7560,31,7529,0,2031,66146,40649,17315,0,8182,0,0,0,13403,3717,7616,0,0,0,2070,0,18,7
2032,7568,7568,7578,7578,0,0,0,0,0,0,7568,40,7528,7578,44,7534,0,2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2033,7568,7568,7578,6383,8523864,7736757,787107,98398,180363,508346,4940,159,4781,4987,195,4792,6025296,2033,7736757,1065548,470857,0,45744,2081588,4073020,0,180363,96934,25707,0,0,0,57722,0,2628,1396
