"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6324,32263238,26802915,5460323,2673183,947463,1839677,1701,196,1505,1741,235,1506,157854
2011,7568,7568,7578,6313,33062058,28332175,4729883,2375018,848546,1506319,1585,193,1392,1626,231,1395,0
2012,7568,7568,7578,6313,30672005,25489986,5182019,2205049,1130641,1846329,1970,193,1777,2010,230,1780,262743
2013,7568,7568,7578,6323,31531356,26467374,5063982,1730691,1593423,1739868,1862,191,1671,1902,227,1675,0
2014,7568,7568,7578,7576,16578,9763,6815,109,1635,5071,7565,24,7541,7575,20,7555,0
2015,7568,7568,7578,6323,25480386,22857860,2622526,832152,488940,1301434,2957,177,2780,2999,213,2786,0
2016,7568,7568,7578,6346,104994,102696,2298,1918,173,207,4872,155,4717,4918,195,4723,14864940
2017,7568,7568,7578,6322,40317696,34047481,6270215,3930538,1251323,1088354,272,190,82,307,226,81,0
2018,7568,7568,7578,6322,34421454,28722546,5698908,2904359,1344594,1449955,1339,194,1145,1378,230,1148,0
2019,7568,7568,7578,6465,13593960,12062072,1531888,265560,440606,825722,5108,111,4997,5156,153,5003,0
2020,7568,7568,7578,7433,1315188,1000026,315162,41409,79235,194518,7330,42,7288,7339,44,7295,0
2021,7568,7568,7578,6324,23938632,21141318,2797314,477630,654835,1664849,3236,167,3069,3277,203,3074,0
2022,7568,7568,7578,6634,10438614,9334253,1104361,237102,303365,563894,5679,120,5559,5703,136,5567,0
2023,7568,7568,7578,6322,29705819,24900785,4805034,2084419,818805,1901810,1383,197,1186,1420,232,1188,4482259
2024,7568,7568,7578,6335,23457870,21550650,1907220,417429,388767,1101024,3323,167,3156,3368,206,3162,0
2025,7568,7568,7578,6326,7992618,6890228,1102390,355703,258923,487764,2845,169,2676,2887,204,2683,18162392
2026,7568,7568,7578,6323,35510076,29146986,6363090,3063193,1302950,1996947,1142,194,948,1180,231,949,0
2027,7568,7568,7578,6322,29569626,23632593,5937033,2874111,1424429,1638493,2217,192,2025,2258,228,2030,0
2028,7568,7568,7578,7114,4724730,4249319,475411,6098,126504,342809,6713,81,6632,6748,109,6639,0
2029,7568,7568,7578,7038,5630994,5214770,416224,5503,99313,311408,6549,87,6462,6574,105,6469,0
2030,7568,7568,7578,7578,0,0,0,0,0,0,7568,10,7558,7578,13,7565,0
2031,7568,7568,7578,6322,35432712,27879811,7552901,4096905,1399260,2056736,1156,195,961,1193,231,962,0
2032,7568,7568,7578,6452,13107672,12041926,1065746,52526,272245,740975,5196,123,5073,5246,168,5078,0
2033,7568,7568,7578,7361,1889642,1573188,316454,42117,75349,198988,7226,61,7165,7228,55,7173,250
2034,7568,7568,7578,6319,21561099,18410616,3150483,1116742,846905,1186836,3239,168,3071,3280,206,3074,2367762
2035,7568,7568,7578,7569,71838,39426,32412,5683,9178,17551,7555,54,7501,7564,61,7503,0
2036,7568,7568,7578,6460,9288236,8493476,794760,93718,217806,483236,5092,97,4995,5147,145,5002,4413203
2037,7568,7568,7578,6322,19763938,16477768,3286170,1310868,662298,1313004,2535,192,2343,2575,227,2348,8073516
2038,7568,7568,7578,6370,18959706,16146020,2813686,990196,668134,1155356,4137,154,3983,4187,196,3991,0
