"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,26802915,7083461,2948240,0,2617538,6693626,7460050,0,947463,590450,3322,0,0,0,353691,0,5867,4583
2011,28332175,7704351,2443773,0,3229276,7406259,7548516,0,848546,529578,1863,0,0,0,317105,0,5983,4687
2012,25489986,6951192,4238007,0,386568,6443067,7471152,0,1130641,535361,272503,0,0,0,322777,0,5598,4303
2013,26467374,7745687,4014218,0,544774,6713647,7449048,0,1593423,468633,837469,0,0,0,287321,0,5706,4421
2014,9763,7216,1396,0,1151,0,0,0,1635,550,857,0,0,0,228,0,3,1
2015,22857860,5148680,2131432,0,1706698,6427528,7443522,0,488940,278074,44191,0,0,0,166675,0,4611,3324
2016,102696,9679,40642,0,0,52375,0,0,173,104,20,0,0,0,49,0,2696,1428
2017,34047481,9290104,4326682,0,5761771,7186720,7482204,0,1251323,696440,136758,0,0,0,418125,0,7296,6015
2018,28722546,7820738,3564512,0,2701803,7142237,7493256,0,1344594,618804,352438,0,0,0,373352,0,6229,4944
2019,12062072,1887215,834661,0,10446,3129578,6200172,0,440606,188127,138945,0,0,0,113534,0,2460,1309
2020,1000026,365702,120323,0,102679,411322,0,0,79235,42113,12280,0,0,0,24842,0,238,94
2021,21141318,5109753,2506183,0,311583,5792381,7421418,0,654835,245635,260245,0,0,0,148955,0,4332,3047
2022,9334253,1292160,537120,0,288450,2303909,4912614,0,303365,145427,70741,0,0,0,87197,0,1889,931
2023,24900785,7179295,4049824,0,606031,6109709,6955926,0,818805,484152,44348,0,0,0,290305,0,6185,4902
2024,21550650,4348050,2855933,0,1524427,5572128,7250112,0,388767,173020,111628,0,0,0,104119,0,4245,2967
2025,6890228,1415811,506567,0,143824,1988145,2835881,0,258923,124711,59635,0,0,0,74577,0,4723,3439
2026,29146986,8516566,2731234,0,2389901,7833671,7675614,0,1302950,650593,260692,0,0,0,391665,0,6426,5143
2027,23632593,6779401,2231192,0,295289,6861085,7465626,0,1424429,648793,383731,0,0,0,391905,0,5351,4064
2028,4249319,792860,373742,0,0,1833841,1248876,0,126504,47582,50368,0,0,0,28554,0,855,366
2029,5214770,802427,406037,0,187563,1967533,1851210,0,99313,40628,34417,0,0,0,24268,0,1019,464
2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
