"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6324,32263238,26802915,5460323,2673183,947463,1839677,1701,196,1505,1741,235,1506,157854,2010,26802915,7083461,2948240,0,2617538,6693626,7460050,0,947463,590450,3322,0,0,0,353691,0,5867,4583
2011,7568,7568,7578,6313,33062058,28332175,4729883,2375018,848546,1506319,1585,193,1392,1626,231,1395,0,2011,28332175,7704351,2443773,0,3229276,7406259,7548516,0,848546,529578,1863,0,0,0,317105,0,5983,4687
2012,7568,7568,7578,6313,30672005,25489986,5182019,2205049,1130641,1846329,1970,193,1777,2010,230,1780,262743,2012,25489986,6951192,4238007,0,386568,6443067,7471152,0,1130641,535361,272503,0,0,0,322777,0,5598,4303
2013,7568,7568,7578,6323,31531356,26467374,5063982,1730691,1593423,1739868,1862,191,1671,1902,227,1675,0,2013,26467374,7745687,4014218,0,544774,6713647,7449048,0,1593423,468633,837469,0,0,0,287321,0,5706,4421
2014,7568,7568,7578,7576,16578,9763,6815,109,1635,5071,7565,24,7541,7575,20,7555,0,2014,9763,7216,1396,0,1151,0,0,0,1635,550,857,0,0,0,228,0,3,1
2015,7568,7568,7578,6323,25480386,22857860,2622526,832152,488940,1301434,2957,177,2780,2999,213,2786,0,2015,22857860,5148680,2131432,0,1706698,6427528,7443522,0,488940,278074,44191,0,0,0,166675,0,4611,3324
2016,7568,7568,7578,6346,104994,102696,2298,1918,173,207,4872,155,4717,4918,195,4723,14864940,2016,102696,9679,40642,0,0,52375,0,0,173,104,20,0,0,0,49,0,2696,1428
2017,7568,7568,7578,6322,40317696,34047481,6270215,3930538,1251323,1088354,272,190,82,307,226,81,0,2017,34047481,9290104,4326682,0,5761771,7186720,7482204,0,1251323,696440,136758,0,0,0,418125,0,7296,6015
2018,7568,7568,7578,6322,34421454,28722546,5698908,2904359,1344594,1449955,1339,194,1145,1378,230,1148,0,2018,28722546,7820738,3564512,0,2701803,7142237,7493256,0,1344594,618804,352438,0,0,0,373352,0,6229,4944
2019,7568,7568,7578,6465,13593960,12062072,1531888,265560,440606,825722,5108,111,4997,5156,153,5003,0,2019,12062072,1887215,834661,0,10446,3129578,6200172,0,440606,188127,138945,0,0,0,113534,0,2460,1309
2020,7568,7568,7578,7433,1315188,1000026,315162,41409,79235,194518,7330,42,7288,7339,44,7295,0,2020,1000026,365702,120323,0,102679,411322,0,0,79235,42113,12280,0,0,0,24842,0,238,94
2021,7568,7568,7578,6324,23938632,21141318,2797314,477630,654835,1664849,3236,167,3069,3277,203,3074,0,2021,21141318,5109753,2506183,0,311583,5792381,7421418,0,654835,245635,260245,0,0,0,148955,0,4332,3047
2022,7568,7568,7578,6634,10438614,9334253,1104361,237102,303365,563894,5679,120,5559,5703,136,5567,0,2022,9334253,1292160,537120,0,288450,2303909,4912614,0,303365,145427,70741,0,0,0,87197,0,1889,931
2023,7568,7568,7578,6322,29705819,24900785,4805034,2084419,818805,1901810,1383,197,1186,1420,232,1188,4482259,2023,24900785,7179295,4049824,0,606031,6109709,6955926,0,818805,484152,44348,0,0,0,290305,0,6185,4902
2024,7568,7568,7578,6335,23457870,21550650,1907220,417429,388767,1101024,3323,167,3156,3368,206,3162,0,2024,21550650,4348050,2855933,0,1524427,5572128,7250112,0,388767,173020,111628,0,0,0,104119,0,4245,2967
