"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6303,39533004,32107503,7425501,3827261,1349806,2248434,414,188,226,457,230,227,0
2011,7568,7568,7578,6322,34858008,29623942,5234066,2425288,875563,1933215,1260,194,1066,1301,230,1071,0
2012,7568,7568,7578,6295,22385826,19568579,2817247,561514,632282,1623451,3517,161,3356,3569,205,3364,0
2013,7568,7568,7578,6323,30260376,26622454,3637922,1322274,757693,1557955,2092,197,1895,2133,234,1899,0
2014,7568,7568,7578,6414,11999396,10789614,1209782,195799,315857,698126,5008,134,4874,5059,178,4881,2149274
2015,7568,7568,7578,6682,9115101,8349584,765517,29527,140844,595146,5779,115,5664,5800,129,5671,774933
2016,7568,7568,7578,6325,35499024,30074188,5424836,2448716,1142506,1833614,1144,195,949,1183,232,951,0
2017,7568,7568,7578,6456,7850668,7228171,622497,118932,160535,343030,5239,99,5140,5291,142,5149,5042596
2018,7568,7568,7578,6322,38179134,31088820,7090314,3457582,1236657,2396075,659,194,465,696,230,466,0
2019,7568,7568,7578,6313,37234188,30055902,7178286,3521730,1228093,2428463,830,193,637,868,230,638,0
2020,7568,7568,7578,6322,27812358,25122884,2689474,610985,565889,1512600,2535,193,2342,2579,230,2349,0
2021,7568,7568,7578,6372,15522534,14220703,1301831,249222,279772,772837,4759,157,4602,4807,199,4608,0
2022,7568,7568,7578,6340,16843248,14833955,2009293,517067,429754,1062472,4520,160,4360,4569,201,4368,0
2023,7568,7568,7578,6330,20125692,17553932,2571760,1012130,575661,983969,3926,173,3753,3972,212,3760,0
2024,7568,7568,7578,6324,25817472,21693577,4123895,1651946,890042,1581907,2896,171,2725,2939,207,2732,0
2025,7568,7568,7578,6322,37969146,30933558,7035588,3518985,1264484,2252119,697,196,501,734,232,502,0
2026,7568,7568,7578,6323,21512523,17839779,3672744,1471545,731238,1469961,2046,194,1852,2085,230,1855,9025157
2027,7568,7568,7578,6322,38279256,33456734,4822522,1566143,874475,2381904,586,192,394,622,228,394,303276
2028,7568,7568,7578,7532,397872,260968,136904,6127,32178,98599,7496,44,7452,7505,50,7455,0
2029,7568,7568,7578,6442,14112369,12644737,1467632,245558,327861,894213,5006,121,4885,5060,169,4891,45243
2030,7568,7568,7578,6319,29895660,24669255,5226405,2208610,889396,2128399,2158,188,1970,2201,227,1974,0
