"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6303,39533004,32107503,7425501,3827261,1349806,2248434,414,188,226,457,230,227,0,2010,32107503,10176764,6407432,0,544793,7330530,7647984,0,1349806,734076,174653,0,0,0,441077,0,7154,5846
2011,7568,7568,7578,6322,34858008,29623942,5234066,2425288,875563,1933215,1260,194,1066,1301,230,1071,0,2011,29623942,7658966,4181584,0,2677640,7396982,7708770,0,875563,543623,6382,0,0,0,325558,0,6308,5021
2012,7568,7568,7578,6295,22385826,19568579,2817247,561514,632282,1623451,3517,161,3356,3569,205,3364,0,2012,19568579,4421547,1704159,0,319304,5646891,7476678,0,632282,283420,177823,0,0,0,171039,0,4051,2726
2013,7568,7568,7578,6323,30260376,26622454,3637922,1322274,757693,1557955,2092,197,1895,2133,234,1899,0,2013,26622454,5909138,5133935,0,1274130,6756735,7548516,0,757693,362498,176793,0,0,0,218402,0,5476,4190
2014,7568,7568,7578,6414,11999396,10789614,1209782,195799,315857,698126,5008,134,4874,5059,178,4881,2149274,2014,10789614,1482358,853317,0,697,2849059,5604183,0,315857,151188,74007,0,0,0,90662,0,2560,1355
2015,7568,7568,7578,6682,9115101,8349584,765517,29527,140844,595146,5779,115,5664,5800,129,5671,774933,2015,8349584,1326135,638556,0,38815,2226382,4119696,0,140844,77226,17738,0,0,0,45880,0,1789,882
2016,7568,7568,7578,6325,35499024,30074188,5424836,2448716,1142506,1833614,1144,195,949,1183,232,951,0,2016,30074188,8234927,2591967,0,3825023,7763235,7659036,0,1142506,528959,294517,0,0,0,319030,0,6424,5142
2017,7568,7568,7578,6456,7850668,7228171,622497,118932,160535,343030,5239,99,5140,5291,142,5149,5042596,2017,7228171,807381,461948,0,229241,1842193,3887408,0,160535,80029,32858,0,0,0,47648,0,2329,1165
2018,7568,7568,7578,6322,38179134,31088820,7090314,3457582,1236657,2396075,659,194,465,696,230,466,0,2018,31088820,10434184,3856602,0,1680322,7519462,7598250,0,1236657,720821,83273,0,0,0,432563,0,6909,5626
2019,7568,7568,7578,6313,37234188,30055902,7178286,3521730,1228093,2428463,830,193,637,868,230,638,0,2019,30055902,9645465,3534942,0,1805648,7510279,7559568,0,1228093,748991,30173,0,0,0,448929,0,6738,5445
2020,7568,7568,7578,6322,27812358,25122884,2689474,610985,565889,1512600,2535,193,2342,2579,230,2349,0,2020,25122884,6075140,4223464,0,1158190,6211516,7454574,0,565889,238756,182818,0,0,0,144315,0,5033,3743
2021,7568,7568,7578,6372,15522534,14220703,1301831,249222,279772,772837,4759,157,4602,4807,199,4608,0,2021,14220703,1892279,734987,0,842565,3810216,6940656,0,279772,164827,16518,0,0,0,98427,0,2809,1565
2022,7568,7568,7578,6340,16843248,14833955,2009293,517067,429754,1062472,4520,160,4360,4569,201,4368,0,2022,14833955,2348972,1127127,0,116475,4074159,7167222,0,429754,264025,7923,0,0,0,157806,0,3048,1771
2023,7568,7568,7578,6330,20125692,17553932,2571760,1012130,575661,983969,3926,173,3753,3972,212,3760,0,2023,17553932,3083781,1317414,0,1319583,4699088,7134066,0,575661,324944,55955,0,0,0,194762,0,3642,2358
2024,7568,7568,7578,6324,25817472,21693577,4123895,1651946,890042,1581907,2896,171,2725,2939,207,2732,0,2024,21693577,5316914,2872526,0,379815,5719482,7404840,0,890042,461194,151390,0,0,0,277458,0,4672,3385
2025,7568,7568,7578,6322,37969146,30933558,7035588,3518985,1264484,2252119,697,196,501,734,232,502,0,2025,30933558,10013513,3564498,0,2354690,7374977,7625880,0,1264484,725136,104161,0,0,0,435187,0,6871,5588
2026,7568,7568,7578,6323,21512523,17839779,3672744,1471545,731238,1469961,2046,194,1852,2085,230,1855,9025157,2026,17839779,4894975,1837557,0,353791,5030995,5722461,0,731238,381958,119823,0,0,0,229457,0,5522,4238
2027,7568,7568,7578,6322,38279256,33456734,4822522,1566143,874475,2381904,586,192,394,622,228,394,303276,2027,33456734,9869109,7427712,0,799172,7613289,7747452,0,874475,391920,246049,0,0,0,236506,0,6982,5700
2028,7568,7568,7578,7532,397872,260968,136904,6127,32178,98599,7496,44,7452,7505,50,7455,0,2028,260968,169441,65319,0,26208,0,0,0,32178,16210,6274,0,0,0,9694,0,72,27
2029,7568,7568,7578,6442,14112369,12644737,1467632,245558,327861,894213,5006,121,4885,5060,169,4891,45243,2029,12644737,1871932,783888,0,241451,3337306,6410160,0,327861,180920,38615,0,0,0,108326,0,2562,1382
2030,7568,7568,7578,6319,29895660,24669255,5226405,2208610,889396,2128399,2158,188,1970,2201,227,1974,0,2030,24669255,7070299,3480990,0,293914,6358426,7465626,0,889396,543320,20422,0,0,0,325654,0,5410,4118
2031,7568,7568,7578,6266,34531974,29001471,5530503,2562958,1080472,1887073,1319,188,1131,1368,232,1136,0,2031,29001471,7512126,6139660,0,1042477,6703432,7603776,0,1080472,570666,166800,0,0,0,343006,0,6249,4898
2032,7568,7568,7578,6314,36731322,30402634,6328688,3646991,1115154,1566543,921,194,727,961,231,730,0,2032,30402634,8611156,4487208,0,2453761,7290941,7559568,0,1115154,697379,0,0,0,0,417775,0,6647,5353
2033,7568,7568,7578,6320,38720682,30584847,8135835,4325379,1451488,2358968,561,178,383,599,214,385,0,2033,30584847,9994949,4221653,0,1127325,7587410,7653510,0,1451488,843127,102361,0,0,0,506000,0,7007,5721
2034,7568,7568,7578,6322,32278143,25263038,7015105,3808840,1427906,1778359,674,191,483,711,227,484,5830957,2034,25263038,8284872,3885528,0,316060,6209947,6566631,0,1427906,714188,283751,0,0,0,429967,0,6894,5611
2035,7568,7568,7578,7374,1429383,1118973,310410,38520,73167,198723,7231,115,7116,7236,113,7123,434160,2035,1118973,361939,211380,0,0,524429,21225,0,73167,40624,8553,0,0,0,23990,0,337,138
2036,7568,7568,7578,7543,303930,187315,116615,13927,32638,70050,7513,49,7464,7523,54,7469,0,2036,187315,120503,66812,0,0,0,0,0,32638,15374,8115,0,0,0,9149,0,55,20
2037,7568,7568,7578,6373,15859238,14069751,1789487,670940,437021,681526,4420,163,4257,4470,205,4265,1541437,2037,14069751,1987059,943171,0,440759,3909567,6789195,0,437021,239506,53967,0,0,0,143548,0,3148,1903
2038,7568,7568,7578,6322,37501648,31015460,6486188,3709380,1142056,1634752,191,191,0,227,227,0,3267424,2038,31015460,8518539,4120166,0,3992724,7035404,7348627,0,1142056,693373,33291,0,0,0,415392,0,7377,6095
2039,7568,7568,7578,6329,20634084,18286675,2347409,447705,473890,1425814,3834,165,3669,3879,202,3677,0,2039,18286675,3724109,2052088,0,121192,5045232,7344054,0,473890,238670,91793,0,0,0,143427,0,3734,2450
2040,7568,7568,7578,7576,3450,2028,1422,152,149,1121,7566,30,7536,7575,33,7542,7602,2040,2028,1522,456,0,50,0,0,0,149,72,39,0,0,0,38,0,2,1
2041,7568,7568,7578,6582,11195676,10087521,1108155,130210,227685,750260,5542,108,5434,5562,121,5441,0,2041,10087521,1496538,818107,0,151118,2167596,5454162,0,227685,130442,19224,0,0,0,78019,0,2026,1020
2042,7568,7568,7578,6319,38267550,29192810,9074740,5512286,1735206,1827248,643,192,451,682,229,453,0,2042,29192810,9868278,4403143,0,202979,7236206,7482204,0,1735206,941898,227086,0,0,0,566222,0,6925,5637
