"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6305,28215507,23209192,5006315,2351265,897331,1757719,1332,188,1144,1379,231,1148,6260728
2011,7568,7568,7578,6310,23166485,17972335,5194150,3087831,1024774,1081545,879,188,691,920,228,692,13833371
2012,7568,7568,7578,6323,26778996,22776136,4002860,1563153,851738,1587969,2722,173,2549,2763,210,2553,0
2013,7568,7568,7578,6322,37991250,32392933,5598317,1708203,1282653,2607461,693,193,500,730,229,501,0
2014,7568,7568,7578,7560,160254,88964,71290,11971,17760,41559,7539,77,7462,7549,83,7466,0
2015,7568,7568,7578,6322,36222129,27754433,8467696,5305590,2013443,1148663,254,190,64,290,226,64,4201460
2016,7568,7568,7578,7310,1564376,1314987,249389,6589,44985,197815,7104,103,7001,7104,100,7004,1003958
2017,7568,7568,7578,7193,2393965,2144431,249534,13789,73034,162711,6892,89,6803,6923,114,6809,1349547
2018,7568,7568,7578,6324,25817472,21431312,4386160,1878784,1100062,1407314,2896,176,2720,2938,213,2725,0
2019,7568,7568,7578,6493,7190352,6606357,583995,15881,148545,419569,5265,112,5153,5294,135,5159,5561722
2020,7568,7568,7578,7386,1762794,1577498,185296,128,43421,141747,7249,69,7180,7252,65,7187,0
2021,7568,7568,7578,7435,1337292,1137720,199572,1298,47623,150651,7326,45,7281,7339,49,7290,0
2022,7568,7568,7578,6705,9526824,8505287,1021537,182392,275900,563245,5844,106,5738,5863,117,5746,0
2023,7568,7568,7578,6337,21462984,18492992,2969992,914983,726178,1328831,3684,165,3519,3730,204,3526,0
2024,7568,7568,7578,6312,39162762,32714833,6447929,2594068,1141421,2712440,481,193,288,519,231,288,0
2025,7568,7568,7578,6463,13704480,12702231,1002249,60971,310175,631103,5088,105,4983,5137,147,4990,0
2026,7568,7568,7578,7352,2005938,1656279,349659,17265,93742,238652,7205,49,7156,7209,42,7167,0
2027,7568,7568,7578,6324,27961360,23729546,4231814,2066623,867637,1297554,2395,189,2206,2436,227,2209,624638
2028,7568,7568,7578,6347,14958547,13234472,1724075,327489,469286,927300,4280,151,4129,4329,193,4136,3222544
2029,7568,7568,7578,6653,4734596,4327312,407284,52415,96193,258676,5820,116,5704,5844,133,5711,4952732
2030,7568,7568,7578,7578,0,0,0,0,0,0,7568,21,7547,7578,25,7553,0
2031,7568,7568,7578,6634,9797598,8978126,819472,38806,190927,589739,5795,122,5673,5817,139,5678,0
2032,7568,7568,7578,6322,18138721,15387255,2751466,1108915,491403,1151148,1038,196,842,1074,232,842,17989291
2033,7568,7568,7578,6315,18472646,15792892,2679754,1180674,650068,849012,3743,171,3572,3787,207,3580,2672442
2034,7568,7568,7578,6878,5685103,5263430,421673,20381,94276,307016,6357,92,6265,6383,107,6276,1010299
2035,7568,7568,7578,6359,15461748,14131720,1330028,243387,309903,776738,4770,146,4624,4818,186,4632,0
2036,7568,7568,7578,6324,9945158,8943713,1001445,154152,223609,623684,4111,164,3947,4154,198,3956,9193179
2037,7568,7568,7578,6752,8427150,7841617,585533,21668,116621,447244,6043,106,5937,6060,113,5947,0
2038,7568,7568,7578,7491,198243,122870,75373,16847,19224,39302,7430,47,7383,7440,48,7392,564345
2039,7568,7568,7578,6414,14089288,13342786,746502,10157,165750,570595,5017,132,4885,5071,177,4894,7538
2040,7568,7568,7578,7064,4951296,4636624,314672,2770,65567,246335,6672,71,6601,6697,91,6606,0
2041,7568,7568,7578,7578,0,0,0,0,0,0,7568,41,7527,7578,44,7534,0
2042,7568,7568,7578,7578,0,0,0,0,0,0,7568,46,7522,7578,50,7528,0
2043,7568,7568,7578,7578,0,0,0,0,0,0,7568,11,7557,7578,14,7564,0
2044,7568,7568,7578,6350,18489996,16375798,2114198,454298,473148,1186752,4222,161,4061,4267,197,4070,0
2045,7568,7568,7578,6366,14947830,13171983,1775847,578625,461934,735288,4863,139,4724,4914,181,4733,0
2046,7568,7568,7578,6371,15544638,13915035,1629603,292279,592070,745254,4755,136,4619,4808,181,4627,0
