"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,23209192,6672909,3932665,0,820192,5455866,6327560,0,897331,537788,37318,0,0,0,322225,0,6236,4926
2011,17972335,5595698,2346089,0,824518,4445173,4760857,0,1024774,565942,119255,0,0,0,339577,0,6689,5390
2012,22776136,5589989,2446058,0,1043782,6258311,7437996,0,851738,446163,137353,0,0,0,268222,0,4846,3560
2013,32392933,10444566,5814071,0,915906,7703030,7515360,0,1282653,451771,555899,0,0,0,274983,0,6875,5592
2014,88964,67929,20466,0,569,0,0,0,17760,9796,2259,0,0,0,5705,0,29,11
2015,27754433,8918352,2423327,0,2413230,6929009,7070515,0,2013443,921693,535248,0,0,0,556502,0,7314,6032
2016,1314987,366643,173800,0,11548,654484,108512,0,44985,28380,0,0,0,0,16605,0,464,206
2017,2144431,357193,161891,0,67801,1068750,488796,0,73034,30190,25054,0,0,0,17790,0,676,270
2018,21431312,5271547,2645651,0,336590,5739528,7437996,0,1100062,499111,299626,0,0,0,301325,0,4672,3386
2019,6606357,996136,473432,0,406,1716703,3419680,0,148545,57697,56263,0,0,0,34585,0,2303,1199
2020,1577498,427596,291185,0,98738,715771,44208,0,43421,15808,18237,0,0,0,9376,0,319,134
2021,1137720,344696,155936,0,93237,527273,16578,0,47623,20221,15468,0,0,0,11934,0,242,96
2022,8505287,1258652,405942,0,262820,1908403,4669470,0,275900,134566,60560,0,0,0,80774,0,1724,842
2023,18492992,4052026,1484010,0,746252,4988222,7222482,0,726178,332952,192651,0,0,0,200575,0,3884,2607
2024,32714833,10531430,4887465,0,1376771,8199345,7719822,0,1141421,586665,201997,0,0,0,352759,0,7087,5793
2025,12702231,1680841,663128,0,564440,3472078,6321744,0,310175,105478,140864,0,0,0,63833,0,2480,1326
2026,1656279,440474,162123,0,37404,856024,160254,0,93742,43568,24150,0,0,0,26024,0,363,143
2027,23729546,5037855,2992623,0,2029551,6232573,7436944,0,867637,486088,89879,0,0,0,291670,0,5173,3888
2028,13234472,2387562,1170059,0,140319,3532608,6003924,0,469286,193517,159111,0,0,0,116658,0,3288,2018
2029,4327312,534106,247427,0,48831,1180600,2316348,0,96193,49890,16954,0,0,0,29349,0,1748,809
2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031,8978126,1233940,550450,0,0,2369538,4824198,0,190927,90038,46858,0,0,0,54031,0,1773,817
2032,15387255,4293226,1907499,0,701499,3994479,4490552,0,491403,272784,55227,0,0,0,163392,0,6530,5248
2033,15792892,2793418,1696593,0,237392,4292665,6772824,0,650068,346259,95947,0,0,0,207862,0,3825,2528
2034,5263430,640958,427893,0,0,1741779,2452800,0,94276,47253,18924,0,0,0,28099,0,1211,495
2035,14131720,1893617,1218915,0,491870,3492720,7034598,0,309903,170716,36984,0,0,0,102203,0,2798,1541
2036,8943713,1468965,928385,0,23177,2535037,3988149,0,223609,110546,47035,0,0,0,66028,0,3457,2170
2037,7841617,968479,656786,0,205484,2186876,3823992,0,116621,64193,14279,0,0,0,38149,0,1525,692
2038,122870,71176,30759,0,19018,1917,0,0,19224,10732,2206,0,0,0,6286,0,138,51
2039,13342786,1654353,1302003,0,283483,3471747,6631200,0,165750,69121,55113,0,0,0,41516,0,2551,1343
2040,4636624,589652,418256,0,138442,1771688,1718586,0,65567,31214,15852,0,0,0,18501,0,896,367
2041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2044,16375798,2857555,1439502,0,390996,4603413,7084332,0,473148,241793,86177,0,0,0,145178,0,3346,2083
2045,13171983,1788561,871253,0,9745,3512034,6990390,0,461934,251668,59377,0,0,0,150889,0,2705,1452
2046,13915035,2080651,833871,0,245509,3803296,6951708,0,592070,198002,273514,0,0,0,120554,0,2813,1563
2047,13379923,1894618,1018790,0,2495,3545468,6918552,0,419110,169602,147124,0,0,0,102384,0,2676,1434
2048,5450728,811728,369189,0,13858,1972203,2283750,0,181623,103328,16738,0,0,0,61557,0,1183,529
2049,7057516,800386,606172,0,231,2091983,3558744,0,155513,77728,31552,0,0,0,46233,0,1388,590
2050,5017085,696453,314141,0,154654,2089043,1762794,0,165150,54025,78506,0,0,0,32619,0,991,421
2051,818977,320473,136157,0,86277,276070,0,0,93570,31372,43288,0,0,0,18910,0,206,80
2052,966188,361330,167620,0,89976,347262,0,0,83554,38253,22452,0,0,0,22849,0,229,87
2053,1513656,156694,185790,0,14648,452553,703971,0,23952,10087,8564,0,0,0,5301,0,4220,2934
2054,619427,287076,83078,0,79062,170211,0,0,67937,33469,14456,0,0,0,20012,0,157,58
2055,14470692,2007549,794536,0,1579115,4017540,6071952,0,178893,103657,13577,0,0,0,61659,0,3397,2115
2056,9328999,1243770,977089,0,19755,2240676,4847709,0,264626,137180,45443,0,0,0,82003,0,2286,1184
2057,6196210,714912,497566,0,0,1499492,3484240,0,205696,58205,112325,0,0,0,35166,0,1869,846
2058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2060,20055,10423,4345,0,5287,0,0,0,1769,615,933,0,0,0,221,0,5,2
2061,11234899,1506105,627405,0,445620,3042077,5613692,0,343013,192493,35386,0,0,0,115134,0,2906,1648
2062,14525401,2126134,1309730,0,540863,3695774,6852900,0,484959,221826,129779,0,0,0,133354,0,3096,1826
2063,23300650,6153747,2721049,0,391568,6574186,7460100,0,1449318,566405,539410,0,0,0,343503,0,5159,3871
2064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2065,31617,20160,11457,0,0,0,0,0,5749,2327,2405,0,0,0,1017,0,12,4
2066,2546089,563250,454270,0,179654,1067089,281826,0,120822,27575,76368,0,0,0,16879,0,512,233
2067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2069,7062,4144,1872,0,1046,0,0,0,737,248,355,0,0,0,134,0,2,0
2070,3722794,341172,252348,0,66984,1232533,1829757,0,67773,29749,20523,0,0,0,17501,0,1274,512
2071,10133,7004,2125,0,1004,0,0,0,1170,462,516,0,0,0,192,0,5,1
2072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2073,6822275,742928,306048,0,11883,1877736,3883680,0,217338,84744,81735,0,0,0,50859,0,1731,755
2074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2076,382184,204189,120282,0,57713,0,0,0,43169,16604,16572,0,0,0,9993,0,103,39
2077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2078,938129,296662,279891,0,97156,264420,0,0,105483,30333,56706,0,0,0,18444,0,218,83
2079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2080,4238,2163,567,0,1508,0,0,0,277,71,168,0,0,0,38,0,1,0
2081,5605001,571929,629059,0,48730,1452667,2902616,0,155741,57715,63693,0,0,0,34333,0,2571,1325
2082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2083,19619,13043,6514,0,62,0,0,0,6003,2217,3090,0,0,0,696,0,15,5
2084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2087,2297140,209987,229304,0,17279,596666,1243904,0,83612,32697,31528,0,0,0,19387,0,1770,785
2088,496576,228168,178107,0,0,90301,0,0,110225,36518,51639,0,0,0,22068,0,192,72
2089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
