"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6305,28215507,23209192,5006315,2351265,897331,1757719,1332,188,1144,1379,231,1148,6260728,2010,23209192,6672909,3932665,0,820192,5455866,6327560,0,897331,537788,37318,0,0,0,322225,0,6236,4926
2011,7568,7568,7578,6310,23166485,17972335,5194150,3087831,1024774,1081545,879,188,691,920,228,692,13833371,2011,17972335,5595698,2346089,0,824518,4445173,4760857,0,1024774,565942,119255,0,0,0,339577,0,6689,5390
2012,7568,7568,7578,6323,26778996,22776136,4002860,1563153,851738,1587969,2722,173,2549,2763,210,2553,0,2012,22776136,5589989,2446058,0,1043782,6258311,7437996,0,851738,446163,137353,0,0,0,268222,0,4846,3560
2013,7568,7568,7578,6322,37991250,32392933,5598317,1708203,1282653,2607461,693,193,500,730,229,501,0,2013,32392933,10444566,5814071,0,915906,7703030,7515360,0,1282653,451771,555899,0,0,0,274983,0,6875,5592
2014,7568,7568,7578,7560,160254,88964,71290,11971,17760,41559,7539,77,7462,7549,83,7466,0,2014,88964,67929,20466,0,569,0,0,0,17760,9796,2259,0,0,0,5705,0,29,11
2015,7568,7568,7578,6322,36222129,27754433,8467696,5305590,2013443,1148663,254,190,64,290,226,64,4201460,2015,27754433,8918352,2423327,0,2413230,6929009,7070515,0,2013443,921693,535248,0,0,0,556502,0,7314,6032
2016,7568,7568,7578,7310,1564376,1314987,249389,6589,44985,197815,7104,103,7001,7104,100,7004,1003958,2016,1314987,366643,173800,0,11548,654484,108512,0,44985,28380,0,0,0,0,16605,0,464,206
2017,7568,7568,7578,7193,2393965,2144431,249534,13789,73034,162711,6892,89,6803,6923,114,6809,1349547,2017,2144431,357193,161891,0,67801,1068750,488796,0,73034,30190,25054,0,0,0,17790,0,676,270
2018,7568,7568,7578,6324,25817472,21431312,4386160,1878784,1100062,1407314,2896,176,2720,2938,213,2725,0,2018,21431312,5271547,2645651,0,336590,5739528,7437996,0,1100062,499111,299626,0,0,0,301325,0,4672,3386
2019,7568,7568,7578,6493,7190352,6606357,583995,15881,148545,419569,5265,112,5153,5294,135,5159,5561722,2019,6606357,996136,473432,0,406,1716703,3419680,0,148545,57697,56263,0,0,0,34585,0,2303,1199
2020,7568,7568,7578,7386,1762794,1577498,185296,128,43421,141747,7249,69,7180,7252,65,7187,0,2020,1577498,427596,291185,0,98738,715771,44208,0,43421,15808,18237,0,0,0,9376,0,319,134
2021,7568,7568,7578,7435,1337292,1137720,199572,1298,47623,150651,7326,45,7281,7339,49,7290,0,2021,1137720,344696,155936,0,93237,527273,16578,0,47623,20221,15468,0,0,0,11934,0,242,96
2022,7568,7568,7578,6705,9526824,8505287,1021537,182392,275900,563245,5844,106,5738,5863,117,5746,0,2022,8505287,1258652,405942,0,262820,1908403,4669470,0,275900,134566,60560,0,0,0,80774,0,1724,842
2023,7568,7568,7578,6337,21462984,18492992,2969992,914983,726178,1328831,3684,165,3519,3730,204,3526,0,2023,18492992,4052026,1484010,0,746252,4988222,7222482,0,726178,332952,192651,0,0,0,200575,0,3884,2607
2024,7568,7568,7578,6312,39162762,32714833,6447929,2594068,1141421,2712440,481,193,288,519,231,288,0,2024,32714833,10531430,4887465,0,1376771,8199345,7719822,0,1141421,586665,201997,0,0,0,352759,0,7087,5793
2025,7568,7568,7578,6463,13704480,12702231,1002249,60971,310175,631103,5088,105,4983,5137,147,4990,0,2025,12702231,1680841,663128,0,564440,3472078,6321744,0,310175,105478,140864,0,0,0,63833,0,2480,1326
2026,7568,7568,7578,7352,2005938,1656279,349659,17265,93742,238652,7205,49,7156,7209,42,7167,0,2026,1656279,440474,162123,0,37404,856024,160254,0,93742,43568,24150,0,0,0,26024,0,363,143
2027,7568,7568,7578,6324,27961360,23729546,4231814,2066623,867637,1297554,2395,189,2206,2436,227,2209,624638,2027,23729546,5037855,2992623,0,2029551,6232573,7436944,0,867637,486088,89879,0,0,0,291670,0,5173,3888
2028,7568,7568,7578,6347,14958547,13234472,1724075,327489,469286,927300,4280,151,4129,4329,193,4136,3222544,2028,13234472,2387562,1170059,0,140319,3532608,6003924,0,469286,193517,159111,0,0,0,116658,0,3288,2018
2029,7568,7568,7578,6653,4734596,4327312,407284,52415,96193,258676,5820,116,5704,5844,133,5711,4952732,2029,4327312,534106,247427,0,48831,1180600,2316348,0,96193,49890,16954,0,0,0,29349,0,1748,809
2030,7568,7568,7578,7578,0,0,0,0,0,0,7568,21,7547,7578,25,7553,0,2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031,7568,7568,7578,6634,9797598,8978126,819472,38806,190927,589739,5795,122,5673,5817,139,5678,0,2031,8978126,1233940,550450,0,0,2369538,4824198,0,190927,90038,46858,0,0,0,54031,0,1773,817
2032,7568,7568,7578,6322,18138721,15387255,2751466,1108915,491403,1151148,1038,196,842,1074,232,842,17989291,2032,15387255,4293226,1907499,0,701499,3994479,4490552,0,491403,272784,55227,0,0,0,163392,0,6530,5248
2033,7568,7568,7578,6315,18472646,15792892,2679754,1180674,650068,849012,3743,171,3572,3787,207,3580,2672442,2033,15792892,2793418,1696593,0,237392,4292665,6772824,0,650068,346259,95947,0,0,0,207862,0,3825,2528
2034,7568,7568,7578,6878,5685103,5263430,421673,20381,94276,307016,6357,92,6265,6383,107,6276,1010299,2034,5263430,640958,427893,0,0,1741779,2452800,0,94276,47253,18924,0,0,0,28099,0,1211,495
2035,7568,7568,7578,6359,15461748,14131720,1330028,243387,309903,776738,4770,146,4624,4818,186,4632,0,2035,14131720,1893617,1218915,0,491870,3492720,7034598,0,309903,170716,36984,0,0,0,102203,0,2798,1541
2036,7568,7568,7578,6324,9945158,8943713,1001445,154152,223609,623684,4111,164,3947,4154,198,3956,9193179,2036,8943713,1468965,928385,0,23177,2535037,3988149,0,223609,110546,47035,0,0,0,66028,0,3457,2170
2037,7568,7568,7578,6752,8427150,7841617,585533,21668,116621,447244,6043,106,5937,6060,113,5947,0,2037,7841617,968479,656786,0,205484,2186876,3823992,0,116621,64193,14279,0,0,0,38149,0,1525,692
2038,7568,7568,7578,7491,198243,122870,75373,16847,19224,39302,7430,47,7383,7440,48,7392,564345,2038,122870,71176,30759,0,19018,1917,0,0,19224,10732,2206,0,0,0,6286,0,138,51
