"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6310,39185039,31608164,7576875,3618715,1418622,2539538,291,185,106,333,226,107,1028015
2011,7568,7568,7578,6322,32470776,26684723,5786053,2758611,1133814,1893628,1692,195,1497,1731,231,1500,0
2012,7568,7568,7578,6321,34786170,28576783,6209387,3014691,1297680,1897016,1273,191,1082,1312,227,1085,0
2013,7568,7568,7578,6340,22511191,20682909,1828282,246724,263665,1317893,3222,185,3037,3265,221,3044,1507598
2014,7568,7568,7578,6324,21985181,19980087,2005094,453628,313617,1237849,2354,181,2173,2395,217,2178,6845441
2015,7568,7568,7578,6322,29276748,26177081,3099667,751409,630130,1718128,2270,200,2070,2312,236,2076,0
2016,7568,7568,7578,6332,21045237,18213896,2831341,699584,616653,1515104,3215,164,3051,3261,203,3058,3017799
2017,7568,7568,7578,6815,6921119,6429639,491480,23708,90255,377517,6098,111,5987,6117,122,5995,1207729
2018,7568,7568,7578,6268,26248500,23334433,2914067,682719,574208,1657140,2818,160,2658,2867,204,2663,0
2019,7568,7568,7578,6309,29232540,24832904,4399636,1466955,882388,2050293,2278,190,2088,2320,229,2091,0
2020,7568,7568,7578,6478,13826052,13101105,724947,91874,143278,489795,5066,121,4945,5104,149,4955,0
2021,7568,7568,7578,6322,25181330,20858691,4322639,2083174,848588,1390877,338,190,148,373,226,147,14801885
2022,7568,7568,7578,6322,31282686,25989255,5293431,1922368,996751,2374312,1907,196,1711,1948,232,1716,0
2023,7568,7568,7578,6322,38512556,32408077,6104479,2301976,1041671,2760832,495,198,297,532,234,298,572892
2024,7568,7568,7578,6324,25745634,20396828,5348806,3247919,1070800,1030087,2909,170,2739,2951,205,2746,0
2025,7568,7568,7578,6313,36195300,31246893,4948407,1649759,999373,2299275,1018,197,821,1057,233,824,0
2026,7568,7568,7578,7574,27630,17221,10409,352,1800,8257,7563,56,7507,7571,59,7512,0
2027,7568,7568,7578,6333,23242356,20310286,2932070,1040909,591678,1299483,3362,158,3204,3408,197,3211,0
2028,7568,7568,7578,6288,30448180,27580635,2867545,1776030,555289,536226,617,183,434,664,229,435,7980675
2029,7568,7568,7578,6326,20114640,17186488,2928152,1154763,701195,1072194,3928,178,3750,3972,215,3757,0
2030,7568,7568,7578,6266,38820150,30272637,8547513,5483966,1817411,1246136,543,184,359,587,228,359,0
2031,7568,7568,7578,6322,29763036,24096848,5666188,2896472,1189386,1580330,2182,195,1987,2224,231,1993,0
2032,7568,7568,7578,6323,25303554,22363705,2939849,723073,498294,1718482,2989,176,2813,3032,213,2819,0
2033,7568,7568,7578,6319,30507437,26518753,3988684,1784590,739176,1464918,2046,199,1847,2086,236,1850,7135
2034,7568,7568,7578,6312,26921006,22832115,4088891,1896401,689045,1503445,442,189,253,482,229,253,12486078
2035,7568,7568,7578,6290,30777723,25439441,5338282,2223706,945632,2168944,1457,189,1268,1505,232,1273,2997363
2036,7568,7568,7578,6310,26613808,22675637,3938171,1644237,647312,1646622,1180,188,992,1220,227,993,8705441
2037,7568,7568,7578,6294,31978962,26991400,4987562,1638601,864318,2484643,1781,186,1595,1830,231,1599,0
2038,7568,7568,7578,7318,2580642,2190837,389805,3635,96080,290090,7101,76,7025,7100,69,7031,0
2039,7568,7568,7578,6352,18273392,17115026,1158366,123015,216920,818431,4260,164,4096,4305,203,4102,6616
2040,7568,7568,7578,6322,19667056,17117305,2549751,836442,484477,1228832,2685,187,2498,2726,223,2503,7338076
2041,7568,7568,7578,6323,30330068,26886569,3443499,1634321,615916,1193262,1184,192,992,1220,228,992,4959547
2042,7568,7568,7578,6277,38096244,31431902,6664342,3002363,1489034,2172945,674,183,491,719,227,492,0
2043,7568,7568,7578,6706,4869713,4554839,314874,6284,77408,231182,5970,95,5875,5993,111,5882,3979479
2044,7568,7568,7578,6360,13689414,12798754,890660,311541,214384,364735,4548,152,4396,4595,193,4402,3010784
2045,7568,7568,7578,6290,32284447,28041569,4242878,1521342,865629,1855907,1136,184,952,1184,230,954,3263135
2046,7568,7568,7578,6323,34117524,27381077,6736447,3067932,1305234,2363281,1394,192,1202,1432,229,1203,0
2047,7568,7568,7578,6325,20998800,17729695,3269105,1246186,820332,1202587,3768,184,3584,3812,219,3593,0
2048,7568,7568,7578,6310,24678379,21384827,3293552,1498288,640040,1155224,3033,177,2856,3077,216,2861,382031
2049,7568,7568,7578,6290,35255880,28079114,7176766,4115223,1697467,1364076,1188,183,1005,1236,228,1008,0
2050,7568,7568,7578,7571,34160,23361,10799,636,2535,7628,7558,37,7521,7567,42,7525,21100
2051,7568,7568,7578,7555,198936,126107,72829,4616,15856,52357,7532,34,7498,7542,39,7503,0
2052,7568,7568,7578,7576,11052,7984,3068,6,567,2495,7566,67,7499,7575,71,7504,0
2053,7568,7568,7578,7448,1001542,773874,227668,2760,54169,170739,7356,45,7311,7366,51,7315,169970
2054,7568,7568,7578,6322,29387268,24804078,4583190,2262315,1017116,1303759,2250,200,2050,2290,236,2054,0
2055,7568,7568,7578,6322,33265011,27932948,5332063,2324463,1187462,1820138,956,194,762,991,229,762,3279439
2056,7568,7568,7578,7458,1099674,797500,302174,28653,68425,205096,7369,50,7319,7378,52,7326,0
2057,7568,7568,7578,6312,21982120,19166928,2815192,1959300,556487,299405,1154,191,963,1195,229,966,13494922
2058,7568,7568,7578,6341,16821144,14976387,1844757,255597,367368,1221792,4524,155,4369,4571,194,4377,0
2059,7568,7568,7578,6322,31277160,26047079,5230081,1920847,1117966,2191268,1908,193,1715,1948,229,1719,0
2060,7568,7568,7578,6346,14556786,13133994,1422792,337955,302038,782799,4706,149,4557,4758,191,4567,1263952
2061,7568,7568,7578,6313,28852753,26794238,2058515,1114376,438992,505147,2337,196,2141,2378,233,2145,53778
2062,7568,7568,7578,6320,25747475,22445816,3301659,966958,757919,1576782,2895,183,2712,2936,218,2718,75523
2063,7568,7568,7578,6590,11156444,10178559,977885,183038,244079,550768,5549,131,5418,5571,148,5423,550
2064,7568,7568,7578,6322,29254644,24211509,5043135,2247081,1049164,1746890,2274,196,2078,2316,232,2084,0
2065,7568,7568,7578,6325,27020625,22943541,4077084,1310889,772749,1993446,2574,175,2399,2617,214,2403,576219
2066,7568,7568,7578,6324,14478594,12825071,1653523,905942,297922,449659,2034,195,1839,2076,232,1844,16145875
2067,7568,7568,7578,6350,14816108,13208265,1607843,311953,443234,852656,4825,165,4660,4866,199,4667,342410
2068,7568,7568,7578,6335,19352052,17646901,1705151,196840,332787,1175524,4066,161,3905,4110,199,3911,0
2069,7568,7568,7578,6518,10915396,9935622,979774,94485,211901,673388,5310,103,5207,5333,123,5210,1569495
2070,7568,7568,7578,6343,17567154,15654029,1913125,344923,587408,980794,4389,158,4231,4435,198,4237,0
2071,7568,7568,7578,7573,38682,23461,15221,2884,3539,8798,7561,46,7515,7570,51,7519,0
2072,7568,7568,7578,6536,10947006,10012403,934603,176980,232906,524717,5587,138,5449,5614,159,5455,0
2073,7568,7568,7578,6321,25482638,21724814,3757824,1521371,925615,1310838,2904,184,2720,2944,220,2724,290626
2074,7568,7568,7578,6372,275632,262911,12721,6060,2225,4436,5105,115,4990,5159,161,4998,13399986
2075,7568,7568,7578,6467,9080055,8127268,952787,213663,216126,522998,5086,122,4964,5125,158,4967,4655651
2076,7568,7568,7578,6311,16091712,14293006,1798706,543378,393509,861819,4656,160,4496,4707,205,4502,0
2077,7568,7568,7578,6308,29586204,25444336,4141868,1448017,1000135,1693716,2214,197,2017,2256,235,2021,0
2078,7568,7568,7578,7573,41192,23659,17533,4116,5050,8367,7560,32,7528,7570,36,7534,3016
2079,7568,7568,7578,7576,8640,5094,3546,1143,898,1505,7566,10,7556,7575,12,7563,2412
2080,7568,7568,7578,7217,3523663,3140285,383378,56018,97228,230132,6930,75,6855,6944,82,6862,1925
2081,7568,7568,7578,6322,23699517,21178217,2521300,1520651,581876,418773,2494,189,2305,2534,225,2309,4345157
2082,7568,7568,7578,6347,17290854,15659045,1631809,187824,495067,948918,4439,154,4285,4488,195,4293,0
2083,7568,7568,7578,7327,2232504,2046229,186275,519,39228,146528,7164,66,7098,7166,60,7106,0
2084,7568,7568,7578,7578,0,0,0,0,0,0,7568,10,7558,7578,12,7566,0
2085,7568,7568,7578,7578,0,0,0,0,0,0,7568,60,7508,7578,65,7513,0
2086,7568,7568,7578,6889,6824610,6416108,408502,24441,111351,272710,6333,93,6240,6356,109,6247,0
2087,7568,7568,7578,7578,0,0,0,0,0,0,7568,46,7522,7578,50,7528,0
2088,7568,7568,7578,6311,10758802,9716442,1042360,332310,213978,496072,3905,169,3736,3951,208,3743,9523503
2089,7568,7568,7578,6289,17401374,15231748,2169626,915349,518895,735382,4419,163,4256,4470,205,4265,0
2090,7568,7568,7578,6352,14366031,12959268,1406763,626224,340711,439828,4587,147,4440,4636,187,4449,2115590
2091,7568,7568,7578,6922,6382530,5902641,479889,30952,105522,343415,6413,114,6299,6437,129,6308,0
2092,7568,7568,7578,6323,29597256,24100426,5496830,3204090,1245318,1047422,2212,193,2019,2254,231,2023,0
2093,7568,7568,7578,6386,13991832,12631123,1360709,475540,350036,535133,5036,129,4907,5084,172,4912,0
2094,7568,7568,7578,7291,2283563,1855755,427808,131975,130143,165690,7110,81,7029,7099,64,7035,247898
2095,7568,7568,7578,7402,1602540,1240175,362365,89328,111442,161595,7278,49,7229,7285,49,7236,0
2096,7568,7568,7578,7578,0,0,0,0,0,0,7568,13,7555,7578,16,7562,0
2097,7568,7568,7578,7578,0,0,0,0,0,0,7568,34,7534,7578,43,7535,0
2098,7568,7568,7578,7578,0,0,0,0,0,0,7568,30,7538,7578,33,7545,0
2099,7568,7568,7578,7578,0,0,0,0,0,0,7568,11,7557,7578,17,7561,0
