"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,31608164,11011671,3424427,0,1652971,7988565,7530530,0,1418622,741029,231917,0,0,0,445676,0,7277,5977
2011,26684723,7500081,2525550,0,2253653,6939813,7465626,0,1133814,635672,116468,0,0,0,381674,0,5876,4591
2012,28576783,8429582,5959933,0,125635,6579429,7482204,0,1297680,620791,302710,0,0,0,374179,0,6295,5009
2013,20682909,4461839,3797511,0,184357,5205615,7033587,0,263665,140852,38440,0,0,0,84373,0,4346,3075
2014,19980087,4338524,3076471,0,1166713,5324463,6073916,0,313617,161483,55244,0,0,0,96890,0,5214,3929
2015,26177081,6750149,3587603,0,1273246,7105983,7460100,0,630130,280664,180078,0,0,0,169388,0,5298,4010
2016,18213896,4521823,1939578,0,18329,5113058,6621108,0,616653,275191,175521,0,0,0,165941,0,4353,3071
2017,6429639,832893,381387,0,296815,1778414,3140130,0,90255,54184,3880,0,0,0,32191,0,1470,698
2018,23334433,5680131,2842072,0,1253360,6115348,7443522,0,574208,280265,125216,0,0,0,168727,0,4750,3401
2019,24832904,6843109,3169311,0,462526,6886806,7471152,0,882388,434613,186123,0,0,0,261652,0,5290,3989
2020,13101105,1778802,816741,0,1021610,3361144,6122808,0,143278,84797,8117,0,0,0,50364,0,2502,1374
2021,20858691,6042838,3446860,0,1106161,4917235,5345597,0,848588,446515,133992,0,0,0,268081,0,7230,5949
2022,25989255,7949550,3316277,0,122110,7146744,7454574,0,996751,504379,188727,0,0,0,303645,0,5661,4374
2023,32408077,10324350,5153104,0,890649,8310250,7729724,0,1041671,544867,169244,0,0,0,327560,0,7073,5790
2024,20396828,4801345,1674454,0,310816,6205373,7404840,0,1070800,667173,4102,0,0,0,399525,0,4659,3373
2025,31246893,9323076,5929199,0,820321,7631307,7542990,0,999373,430040,309426,0,0,0,259907,0,6550,5256
2026,17221,12042,4977,0,202,0,0,0,1800,1019,420,0,0,0,361,0,5,3
2027,20310286,4215292,1969987,0,1236750,5516573,7371684,0,591678,324810,72023,0,0,0,194845,0,4206,2925
