"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6310,39185039,31608164,7576875,3618715,1418622,2539538,291,185,106,333,226,107,1028015,2010,31608164,11011671,3424427,0,1652971,7988565,7530530,0,1418622,741029,231917,0,0,0,445676,0,7277,5977
2011,7568,7568,7578,6322,32470776,26684723,5786053,2758611,1133814,1893628,1692,195,1497,1731,231,1500,0,2011,26684723,7500081,2525550,0,2253653,6939813,7465626,0,1133814,635672,116468,0,0,0,381674,0,5876,4591
2012,7568,7568,7578,6321,34786170,28576783,6209387,3014691,1297680,1897016,1273,191,1082,1312,227,1085,0,2012,28576783,8429582,5959933,0,125635,6579429,7482204,0,1297680,620791,302710,0,0,0,374179,0,6295,5009
2013,7568,7568,7578,6340,22511191,20682909,1828282,246724,263665,1317893,3222,185,3037,3265,221,3044,1507598,2013,20682909,4461839,3797511,0,184357,5205615,7033587,0,263665,140852,38440,0,0,0,84373,0,4346,3075
2014,7568,7568,7578,6324,21985181,19980087,2005094,453628,313617,1237849,2354,181,2173,2395,217,2178,6845441,2014,19980087,4338524,3076471,0,1166713,5324463,6073916,0,313617,161483,55244,0,0,0,96890,0,5214,3929
2015,7568,7568,7578,6322,29276748,26177081,3099667,751409,630130,1718128,2270,200,2070,2312,236,2076,0,2015,26177081,6750149,3587603,0,1273246,7105983,7460100,0,630130,280664,180078,0,0,0,169388,0,5298,4010
2016,7568,7568,7578,6332,21045237,18213896,2831341,699584,616653,1515104,3215,164,3051,3261,203,3058,3017799,2016,18213896,4521823,1939578,0,18329,5113058,6621108,0,616653,275191,175521,0,0,0,165941,0,4353,3071
2017,7568,7568,7578,6815,6921119,6429639,491480,23708,90255,377517,6098,111,5987,6117,122,5995,1207729,2017,6429639,832893,381387,0,296815,1778414,3140130,0,90255,54184,3880,0,0,0,32191,0,1470,698
2018,7568,7568,7578,6268,26248500,23334433,2914067,682719,574208,1657140,2818,160,2658,2867,204,2663,0,2018,23334433,5680131,2842072,0,1253360,6115348,7443522,0,574208,280265,125216,0,0,0,168727,0,4750,3401
2019,7568,7568,7578,6309,29232540,24832904,4399636,1466955,882388,2050293,2278,190,2088,2320,229,2091,0,2019,24832904,6843109,3169311,0,462526,6886806,7471152,0,882388,434613,186123,0,0,0,261652,0,5290,3989
2020,7568,7568,7578,6478,13826052,13101105,724947,91874,143278,489795,5066,121,4945,5104,149,4955,0,2020,13101105,1778802,816741,0,1021610,3361144,6122808,0,143278,84797,8117,0,0,0,50364,0,2502,1374
2021,7568,7568,7578,6322,25181330,20858691,4322639,2083174,848588,1390877,338,190,148,373,226,147,14801885,2021,20858691,6042838,3446860,0,1106161,4917235,5345597,0,848588,446515,133992,0,0,0,268081,0,7230,5949
2022,7568,7568,7578,6322,31282686,25989255,5293431,1922368,996751,2374312,1907,196,1711,1948,232,1716,0,2022,25989255,7949550,3316277,0,122110,7146744,7454574,0,996751,504379,188727,0,0,0,303645,0,5661,4374
2023,7568,7568,7578,6322,38512556,32408077,6104479,2301976,1041671,2760832,495,198,297,532,234,298,572892,2023,32408077,10324350,5153104,0,890649,8310250,7729724,0,1041671,544867,169244,0,0,0,327560,0,7073,5790
2024,7568,7568,7578,6324,25745634,20396828,5348806,3247919,1070800,1030087,2909,170,2739,2951,205,2746,0,2024,20396828,4801345,1674454,0,310816,6205373,7404840,0,1070800,667173,4102,0,0,0,399525,0,4659,3373
2025,7568,7568,7578,6313,36195300,31246893,4948407,1649759,999373,2299275,1018,197,821,1057,233,824,0,2025,31246893,9323076,5929199,0,820321,7631307,7542990,0,999373,430040,309426,0,0,0,259907,0,6550,5256
2026,7568,7568,7578,7574,27630,17221,10409,352,1800,8257,7563,56,7507,7571,59,7512,0,2026,17221,12042,4977,0,202,0,0,0,1800,1019,420,0,0,0,361,0,5,3
2027,7568,7568,7578,6333,23242356,20310286,2932070,1040909,591678,1299483,3362,158,3204,3408,197,3211,0,2027,20310286,4215292,1969987,0,1236750,5516573,7371684,0,591678,324810,72023,0,0,0,194845,0,4206,2925
2028,7568,7568,7578,6288,30448180,27580635,2867545,1776030,555289,536226,617,183,434,664,229,435,7980675,2028,27580635,5384463,3046131,0,6965036,5960357,6224648,0,555289,334621,20558,0,0,0,200110,0,6951,5624
2029,7568,7568,7578,6326,20114640,17186488,2928152,1154763,701195,1072194,3928,178,3750,3972,215,3757,0,2029,17186488,3211612,1912251,0,254386,4607861,7200378,0,701195,368884,110975,0,0,0,221336,0,3640,2354
2030,7568,7568,7578,6266,38820150,30272637,8547513,5483966,1817411,1246136,543,184,359,587,228,359,0,2030,30272637,8953764,4365223,0,2255224,7127806,7570620,0,1817411,931484,325220,0,0,0,560707,0,7025,5679
2031,7568,7568,7578,6322,29763036,24096848,5666188,2896472,1189386,1580330,2182,195,1987,2224,231,1993,0,2031,24096848,6295952,3361370,0,464247,6520705,7454574,0,1189386,635678,171651,0,0,0,382057,0,5386,4098
2032,7568,7568,7578,6323,25303554,22363705,2939849,723073,498294,1718482,2989,176,2813,3032,213,2819,0,2032,22363705,5128004,3014928,0,685729,6091522,7443522,0,498294,297310,22992,0,0,0,177992,0,4579,3291
2033,7568,7568,7578,6319,30507437,26518753,3988684,1784590,739176,1464918,2046,199,1847,2086,236,1850,7135,2033,26518753,6810951,3077577,0,2341155,6828970,7460100,0,739176,442039,32231,0,0,0,264906,0,5522,4233
2034,7568,7568,7578,6312,26921006,22832115,4088891,1896401,689045,1503445,442,189,253,482,229,253,12486078,2034,22832115,6969928,3922589,0,1565757,4999032,5374809,0,689045,429342,2888,0,0,0,256815,0,7126,5830
2035,7568,7568,7578,6290,30777723,25439441,5338282,2223706,945632,2168944,1457,189,1268,1505,232,1273,2997363,2035,25439441,7727632,2700046,0,939617,6891855,7180291,0,945632,549516,66526,0,0,0,329590,0,6111,4785
2036,7568,7568,7578,6310,26613808,22675637,3938171,1644237,647312,1646622,1180,188,992,1220,227,993,8705441,2036,22675637,6548659,2514582,0,1570542,5856972,6184882,0,647312,405068,0,0,0,0,242244,0,6388,5090
2037,7568,7568,7578,6294,31978962,26991400,4987562,1638601,864318,2484643,1781,186,1595,1830,231,1599,0,2037,26991400,7954140,3713904,0,633871,7196229,7493256,0,864318,469334,112992,0,0,0,281992,0,5787,4464
2038,7568,7568,7578,7318,2580642,2190837,389805,3635,96080,290090,7101,76,7025,7100,69,7031,0,2038,2190837,636528,235694,0,124653,1044760,149202,0,96080,38853,33878,0,0,0,23349,0,467,218
2039,7568,7568,7578,6352,18273392,17115026,1158366,123015,216920,818431,4260,164,4096,4305,203,4102,6616,2039,17115026,2512608,1480101,0,1039836,4782635,7299846,0,216920,105504,48133,0,0,0,63283,0,3308,2047
2040,7568,7568,7578,6322,19667056,17117305,2549751,836442,484477,1228832,2685,187,2498,2726,223,2503,7338076,2040,17117305,3773581,2396595,0,616612,4667629,5662888,0,484477,279811,37141,0,0,0,167525,0,4883,3596
2041,7568,7568,7578,6323,30330068,26886569,3443499,1634321,615916,1193262,1184,192,992,1220,228,992,4959547,2041,26886569,7591040,2796271,0,3600254,6270323,6628681,0,615916,371355,22347,0,0,0,222214,0,6384,5103
2042,7568,7568,7578,6277,38096244,31431902,6664342,3002363,1489034,2172945,674,183,491,719,227,492,0,2042,31431902,9626506,5918533,0,970813,7373060,7542990,0,1489034,644525,454967,0,0,0,389542,0,6894,5558
2043,7568,7568,7578,6706,4869713,4554839,314874,6284,77408,231182,5970,95,5875,5993,111,5882,3979479,2043,4554839,547741,281629,0,43159,1323785,2358525,0,77408,31401,27251,0,0,0,18756,0,1598,713
2044,7568,7568,7578,6360,13689414,12798754,890660,311541,214384,364735,4548,152,4396,4595,193,4402,3010784,2044,12798754,1580145,986828,0,1008211,3214999,6008571,0,214384,121469,20562,0,0,0,72353,0,3020,1765
2045,7568,7568,7578,6290,32284447,28041569,4242878,1521342,865629,1855907,1136,184,952,1184,230,954,3263135,2045,28041569,8112124,3932898,0,1723289,6895985,7377273,0,865629,410423,208068,0,0,0,247138,0,6432,5106
