"cnrmcm3","gfdlcm21","miroc32med","mpiecham5","ncarccsm3","ncarpcm1"
5103.81629392971,5526,5499.10311914096,5526,4524.61626042335,5384.77930465851
4387.35889070147,3469.40672,5526,5526,3463.37045896248,5526
5523.35530546624,5526,5479.10057163273,5526,5526,5526
4365.4148777579,5526,5526,5526,5526,5179.7494247584
3196.43669724771,5526,5526,4687.2640625,5526,4216.56712696586
5526,4758.94338898484,5526,5095.0816098379,4952.4376538146,5526
1311.91909650924,5526,38.9443620178042,5526,3371.5,4834.65127498277
5525.82274495277,4195,5526,3370.83211678832,3541.36834319527,4708.24421768707
4603.25814192664,5526,5526,5526,5526,5526
5526,5526,5526,5526,3122.16760746852,5526
5526,5526,5526,5526,5526,5526
3692.9334251607,5525.97084201131,5526,5526,5526,3482.8948824343
3067.15772195261,5366.02036575229,5526,5526,5526,5526
5526,NA,4802.88100242522,5526,5526,5445.01003817334
4402.18360134299,5526,5526,5526,5526,5526
4800.72496546961,5526,1692.27567224222,5526,5526,5526
3415.72931235431,5447.25654135338,5526,3895.78467946396,5526,5526
5526,5526,5526,5482.56316241765,5405.25033829499,5526
5526,5350,5526,5526,4549.43643552311,4380.40281973817
5526,3339.58008982036,5526,5508.34074941452,2708.57894736842,5526
3767.30821917808,5526,NA,5526,NA,5526
5525.54550907183,5526,5526,5526,5526,5526
5300.30183727034,NA,5526,5526,2777.75206738132,5526
5526,3243.47945205479,5525.26900584795,5526,4829.44993464052,5524.70789568997
5526,5082.60435850215,4980.61884961885,4682.06309834639,4694.5524360033,3777.85658153242
5526,4722,5526,4241.49258160237,5526,5036.44624447717
5526,4649.67857142857,3751.30694668821,5526,2876.81747179636,4166.21916092674
4096.45442834139,5526,3926.87025630836,5037.87738246506,5526,5526
5526,5526,5526,5083.59061949302,1436.54347826087,5526
5526,5526,5284.6191825172,5526,5523.04508036064,5524
4070.08582375479,NA,5526,1725,5526,4027.65840671718
5526,5526,3161.17487684729,5526,NA,4750.95050125313
5526,1984,5526,5526,NA,5526
5526,5526,5526,5117.72012456209,NA,3047.37984981227
5094.45971563981,5376.60599415205,4798,5526,5526,4532.91854304636
NA,5526,NA,NA,5526,5019.34810323383
5526,5526,4978.93615544761,NA,5526,5526
5526,5526,2417.85128693994,5526,5526,5526
5526,3852.97903225806,5526,5526,5236.03634826712,5441.75942668137
5526,5526,NA,5526,5526,5526
5091.80454868515,5197.1677852349,NA,4363.58122915674,5526,3416
5526,5526,5526,4620.2818116463,5224.8640776699,5526
5526,3680.33944954128,3767.66044776119,5524.98168854319,5526,5526
5526,4636.33237063779,5526,4050.34079348932,381.11327014218,4724.25471698113
5526,3948.95537867824,3206.92159657876,NA,5526,5526
4573.75172269785,5526,5526,5526,4485.10921401236,5031.00589836661
4315.47515151515,NA,5525.96905940594,4053.62421314595,4536.23315835521,5526
4047.21886051081,5526,5526,2723.40740740741,3589.13108614232,3427.20922980979
5526,5526,4277,5526,NA,5526
NA,2293.76570952975,NA,5521.82305630027,NA,5526
NA,5526,NA,4245,5526,5086.2285115304
NA,5506.54693366708,2631.95759717314,5059.10980392157,4340.46765313145,5515.72414452304
NA,NA,5517.07100591716,5526,5240.87209302326,5509.83843355446
5526,NA,5526,NA,5526,5525.72758791481
3969,5526,4723.2271412037,5519.42552876793,NA,5526
4365.69935170178,NA,NA,4301.79562043796,4270,5410.61774128955
NA,5526,3366,5307.64076923077,5526,2616.29815684857
5526,NA,3466,NA,NA,5401.42471746263
NA,NA,5368.57687991021,NA,NA,5526
NA,NA,2350.1495132128,NA,5526,4834.09920283437
NA,4798,NA,2210,3107.12715855573,5526
3642,3317,2351.4375,5526,3366,5526
NA,2605.62857142857,NA,4647.25956738769,NA,5526
4975.73220338983,3784.27584973166,NA,3445.04139433551,4312.40381282496,5463.68739279588
5526,983,NA,4326.65397923875,NA,111.909053999188
2636,NA,NA,NA,NA,3658.36220789686
2536.25219941349,NA,NA,NA,5124,5526
1532,NA,NA,NA,NA,5526
449.057225195554,NA,NA,1331.38160714286,5404.39908256881,5149
2827.7123015873,NA,NA,NA,NA,4320
5526,NA,1002.25,1895.04353999053,5526,5522.98275862069
NA,NA,3493.14285714286,4147.7425614489,2355.33333333333,4670.77591643674
NA,NA,4083.3125,3138.82832618026,NA,5526
NA,NA,3879.80474934037,4010.85383244207,2462,5526
3310.40812302839,NA,2813,590.329043329043,NA,NA
4442.32029339853,NA,2487,306.897145446307,NA,NA
NA,NA,NA,1570.19262187088,NA,5526
NA,NA,NA,4610.86808510638,1423.56384180791,NA
5526,NA,NA,NA,3933.96875,2937.15588315588
NA,NA,NA,2568.47604790419,NA,5526
NA,NA,NA,1476.86805555556,Inf,4819.19859107682
4776.92920353982,NA,1393.09523809524,0,NA,5526
3841.39298245614,NA,NA,NA,NA,5526
2934.16231884058,NA,NA,NA,NA,5526
NA,NA,NA,NA,NA,4985.94541484716
NA,NA,Inf,NA,NA,5526
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,0,NA,0,NA
5523.79411764706,NA,NA,1785.27272727273,NA,NA
