"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6309,31509746,28542012,2967734,1706127,554896,706711,1206,189,1017,1248,228,1020,3654004
2011,7568,7568,7578,6309,11975476,10875525,1099951,570182,273115,256654,2651,171,2480,2694,210,2484,15242940
2012,7568,7568,7578,6322,31652928,26459136,5193792,1916905,1098970,2177917,1840,194,1646,1880,230,1650,0
2013,7568,7568,7578,6322,26315234,22423538,3891696,1652992,720488,1518216,2690,189,2501,2730,225,2505,640819
2014,7568,7568,7578,6275,39620620,33499640,6120980,2538489,1149935,2432556,398,185,213,443,229,214,800
2015,7568,7568,7578,6564,9929073,8859128,1069945,206589,355753,507603,5563,118,5445,5585,136,5449,1156087
2016,7568,7568,7578,6344,13693772,12293850,1399922,302913,282726,814283,3889,176,3713,3935,213,3722,6657225
2017,7568,7568,7578,6324,23999418,20343448,3655970,1166678,889976,1599316,3225,173,3052,3269,209,3060,0
2018,7568,7568,7578,6322,31702662,28528104,3174558,1164349,574852,1435357,1831,200,1631,1871,235,1636,0
2019,7568,7568,7578,6323,7319016,6653688,665328,142275,150227,372826,2467,191,2276,2510,228,2282,20927313
2020,7568,7568,7578,6324,16634254,14636353,1997901,863019,395302,739580,2957,176,2781,2998,210,2788,8873663
2021,7568,7568,7578,6285,39704310,31131491,8572819,5441186,1949962,1181671,383,182,201,429,228,201,0
2022,7568,7568,7578,6325,19182999,17287111,1895888,582273,483128,830487,4094,166,3928,4138,201,3937,14325
2023,7568,7568,7578,6448,13400550,12089777,1310773,149511,345062,816200,5143,124,5019,5196,169,5027,0
2024,7568,7568,7578,6290,26657424,22631843,4025581,1803584,754116,1467881,2744,177,2567,2794,221,2573,0
2025,7568,7568,7578,6266,26051470,21292890,4758580,3063462,1066199,628919,225,182,43,269,226,43,14559837
2026,7568,7568,7578,6323,35863740,29145444,6718296,3264219,1650602,1803475,1078,196,882,1117,230,887,0
2027,7568,7568,7578,7544,292878,212459,80419,595,15818,64006,7515,38,7477,7524,40,7484,0
2028,7568,7568,7578,7157,3509312,3173941,335371,25114,92839,217418,6836,105,6731,6865,125,6740,538632
2029,7568,7568,7578,6323,17183115,14961238,2221877,988706,497076,736095,2524,180,2344,2567,217,2350,10718910
2030,7568,7568,7578,7564,127098,78495,48603,5023,12393,31187,7545,34,7511,7556,38,7518,0
2031,7568,7568,7578,6322,36974466,28639858,8334608,4361137,1687269,2286202,877,198,679,913,233,680,0
2032,7568,7568,7578,6288,27951711,24415734,3535977,1825705,689705,1020567,2252,175,2077,2301,218,2083,1425683
2033,7568,7568,7578,6309,35327718,32762781,2564937,754548,546154,1264235,1175,193,982,1216,231,985,0
2034,7568,7568,7578,6337,19230480,16977907,2252573,362585,553229,1336759,4088,156,3932,4137,197,3940,0
2035,7568,7568,7578,6961,6178068,5828555,349513,8498,80375,260640,6450,99,6351,6475,117,6358,0
2036,7568,7568,7578,6324,21526438,18856952,2669486,1356019,604447,709020,3659,167,3492,3701,201,3500,74696
2037,7568,7568,7578,6322,27828936,24419032,3409904,1843702,670393,895809,2532,184,2348,2574,220,2354,0
2038,7568,7568,7578,6309,36281181,27786020,8495161,5138597,1640397,1716167,544,188,356,586,228,358,2537263
2039,7568,7568,7578,6329,22816854,19764926,3051928,1032235,688285,1331408,3439,165,3274,3486,202,3284,0
2040,7568,7568,7578,6616,9753390,8883992,869398,129038,218914,521446,5803,113,5690,5830,133,5697,0
2041,7568,7568,7578,6285,31177692,26947028,4230664,1519820,973079,1737765,1926,185,1741,1975,230,1745,0
2042,7568,7568,7578,6360,11962076,10812192,1149884,145032,290779,714073,4859,144,4715,4908,186,4722,3021524
2043,7568,7568,7578,6455,13552325,12265172,1287153,163062,243867,880224,4851,130,4721,4896,168,4728,1464529
2044,7568,7568,7578,6268,31498200,26342992,5155208,2125534,1295422,1734252,1868,183,1685,1914,227,1687,0
2045,7568,7568,7578,6423,13488966,12765757,723209,75733,178252,469224,5127,124,5003,5178,170,5008,0
