"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,28542012,6688973,3540885,0,5065481,6250526,6996147,0,554896,341436,9358,0,0,0,204102,0,6362,5061
2011,10875525,1912061,1212089,0,1543266,2680382,3527727,0,273115,135451,56936,0,0,0,80728,0,4917,3615
2012,26459136,7734354,3822398,0,400732,7024974,7476678,0,1098970,506501,286830,0,0,0,305639,0,5728,4442
2013,22423538,5050733,2115460,0,1590508,6214819,7452018,0,720488,449267,2280,0,0,0,268941,0,4878,3592
2014,33499640,10442314,7269654,0,1317155,6993839,7476678,0,1149935,578582,223304,0,0,0,348049,0,7170,5832
2015,8859128,1221210,520219,0,74105,2204865,4838729,0,355753,139580,131879,0,0,0,84294,0,2005,979
2016,12293850,2273409,1144988,0,523424,3256381,5095648,0,282726,153380,37750,0,0,0,91596,0,3679,2409
2017,20343448,4844721,1805362,0,434503,5848496,7410366,0,889976,399774,248901,0,0,0,241301,0,4343,3055
2018,28528104,6715568,5726485,0,2166912,6459039,7460100,0,574852,325897,53602,0,0,0,195353,0,5737,4451
2019,6653688,1178434,750033,0,165587,1932427,2627207,0,150227,66151,44620,0,0,0,39456,0,5101,3813
2020,14636353,3014866,1424880,0,1276404,3771939,5148264,0,395302,237534,15855,0,0,0,141913,0,4611,3326
2021,31131491,8981056,5219186,0,2429627,7008366,7493256,0,1949962,942852,438685,0,0,0,568425,0,7185,5856
2022,17287111,2789115,1721837,0,576242,4833759,7366158,0,483128,244496,91872,0,0,0,146760,0,3474,2187
2023,12089777,1737816,996145,0,1661,2999255,6354900,0,345062,156913,93893,0,0,0,94256,0,2425,1252
2024,22631843,5290142,1971986,0,1465452,6433111,7471152,0,754116,471634,0,0,0,0,282482,0,4824,3496
2025,21292890,5496310,3601751,0,2613318,4618395,4963116,0,1066199,520964,231662,0,0,0,313573,0,7343,5997
2026,29145444,9009312,5129681,0,602606,6932693,7471152,0,1650602,663485,585074,0,0,0,402043,0,6490,5206
2027,212459,127503,83993,0,963,0,0,0,15818,7997,3099,0,0,0,4722,0,53,20
2028,3173941,462359,248248,0,71916,1369444,1021974,0,92839,41386,26982,0,0,0,24471,0,732,292
2029,14961238,2898201,1567334,0,1123477,4271531,5100695,0,497076,246276,103110,0,0,0,147690,0,5044,3756
2030,78495,51415,21035,0,6045,0,0,0,12393,6244,2573,0,0,0,3576,0,23,8
2031,28639858,9872783,2744147,0,577049,7808947,7636932,0,1687269,854677,318000,0,0,0,514592,0,6691,5409
2032,24415734,4850405,3279916,0,2841216,6073083,7371114,0,689705,411798,31275,0,0,0,246632,0,5316,3987
2033,32762781,8343941,5941329,0,3722782,7266999,7487730,0,546154,233365,171961,0,0,0,140828,0,6393,5093
2034,16977907,3302558,1617468,0,131903,4714548,7211430,0,553229,237078,173195,0,0,0,142956,0,3480,2200
2035,5828555,788312,615678,0,154440,2021043,2249082,0,80375,35616,23733,0,0,0,21026,0,1118,486
