"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6309,31509746,28542012,2967734,1706127,554896,706711,1206,189,1017,1248,228,1020,3654004,2010,28542012,6688973,3540885,0,5065481,6250526,6996147,0,554896,341436,9358,0,0,0,204102,0,6362,5061
2011,7568,7568,7578,6309,11975476,10875525,1099951,570182,273115,256654,2651,171,2480,2694,210,2484,15242940,2011,10875525,1912061,1212089,0,1543266,2680382,3527727,0,273115,135451,56936,0,0,0,80728,0,4917,3615
2012,7568,7568,7578,6322,31652928,26459136,5193792,1916905,1098970,2177917,1840,194,1646,1880,230,1650,0,2012,26459136,7734354,3822398,0,400732,7024974,7476678,0,1098970,506501,286830,0,0,0,305639,0,5728,4442
2013,7568,7568,7578,6322,26315234,22423538,3891696,1652992,720488,1518216,2690,189,2501,2730,225,2505,640819,2013,22423538,5050733,2115460,0,1590508,6214819,7452018,0,720488,449267,2280,0,0,0,268941,0,4878,3592
2014,7568,7568,7578,6275,39620620,33499640,6120980,2538489,1149935,2432556,398,185,213,443,229,214,800,2014,33499640,10442314,7269654,0,1317155,6993839,7476678,0,1149935,578582,223304,0,0,0,348049,0,7170,5832
2015,7568,7568,7578,6564,9929073,8859128,1069945,206589,355753,507603,5563,118,5445,5585,136,5449,1156087,2015,8859128,1221210,520219,0,74105,2204865,4838729,0,355753,139580,131879,0,0,0,84294,0,2005,979
2016,7568,7568,7578,6344,13693772,12293850,1399922,302913,282726,814283,3889,176,3713,3935,213,3722,6657225,2016,12293850,2273409,1144988,0,523424,3256381,5095648,0,282726,153380,37750,0,0,0,91596,0,3679,2409
2017,7568,7568,7578,6324,23999418,20343448,3655970,1166678,889976,1599316,3225,173,3052,3269,209,3060,0,2017,20343448,4844721,1805362,0,434503,5848496,7410366,0,889976,399774,248901,0,0,0,241301,0,4343,3055
2018,7568,7568,7578,6322,31702662,28528104,3174558,1164349,574852,1435357,1831,200,1631,1871,235,1636,0,2018,28528104,6715568,5726485,0,2166912,6459039,7460100,0,574852,325897,53602,0,0,0,195353,0,5737,4451
2019,7568,7568,7578,6323,7319016,6653688,665328,142275,150227,372826,2467,191,2276,2510,228,2282,20927313,2019,6653688,1178434,750033,0,165587,1932427,2627207,0,150227,66151,44620,0,0,0,39456,0,5101,3813
2020,7568,7568,7578,6324,16634254,14636353,1997901,863019,395302,739580,2957,176,2781,2998,210,2788,8873663,2020,14636353,3014866,1424880,0,1276404,3771939,5148264,0,395302,237534,15855,0,0,0,141913,0,4611,3326
2021,7568,7568,7578,6285,39704310,31131491,8572819,5441186,1949962,1181671,383,182,201,429,228,201,0,2021,31131491,8981056,5219186,0,2429627,7008366,7493256,0,1949962,942852,438685,0,0,0,568425,0,7185,5856
2022,7568,7568,7578,6325,19182999,17287111,1895888,582273,483128,830487,4094,166,3928,4138,201,3937,14325,2022,17287111,2789115,1721837,0,576242,4833759,7366158,0,483128,244496,91872,0,0,0,146760,0,3474,2187
2023,7568,7568,7578,6448,13400550,12089777,1310773,149511,345062,816200,5143,124,5019,5196,169,5027,0,2023,12089777,1737816,996145,0,1661,2999255,6354900,0,345062,156913,93893,0,0,0,94256,0,2425,1252
2024,7568,7568,7578,6290,26657424,22631843,4025581,1803584,754116,1467881,2744,177,2567,2794,221,2573,0,2024,22631843,5290142,1971986,0,1465452,6433111,7471152,0,754116,471634,0,0,0,0,282482,0,4824,3496
2025,7568,7568,7578,6266,26051470,21292890,4758580,3063462,1066199,628919,225,182,43,269,226,43,14559837,2025,21292890,5496310,3601751,0,2613318,4618395,4963116,0,1066199,520964,231662,0,0,0,313573,0,7343,5997
