"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6324,23789430,20331488,3457942,1376804,830204,1250934,3263,161,3102,3305,197,3108,0
2011,7568,7568,7578,6326,17069111,15183179,1885932,309181,447369,1129382,4021,174,3847,4064,210,3854,2542037
2012,7568,7568,7578,6348,19490202,17599936,1890266,377824,433844,1078598,4041,161,3880,4089,203,3886,0
2013,7568,7568,7578,6872,7138193,6750751,387442,56581,79513,251348,6271,92,6179,6295,111,6184,29029
2014,7568,7568,7578,6278,35178516,31690346,3488170,2080548,655032,752590,1202,184,1018,1248,228,1020,0
2015,7568,7568,7578,6290,916143,870193,45950,16804,7797,21349,2449,188,2261,2500,233,2267,27459622
2016,7568,7568,7578,6312,28398114,24755061,3643053,1439518,647428,1556107,2429,189,2240,2473,226,2247,0
2017,7568,7568,7578,6322,33371645,26467985,6903660,4104705,1302087,1496868,1332,195,1137,1371,231,1140,1089043
2018,7568,7568,7578,6316,34266726,29399044,4867682,2778168,945832,1143682,1367,192,1175,1408,229,1179,0
2019,7568,7568,7578,6309,9336744,8117751,1218993,452700,278588,487705,1462,190,1272,1506,231,1275,24470014
2020,7568,7568,7578,6629,10073898,9207978,865920,82733,163331,619856,5745,110,5635,5770,127,5643,0
2021,7568,7568,7578,6587,11571444,10111631,1459813,428547,414687,616579,5474,128,5346,5495,145,5350,0
2022,7568,7568,7578,6376,23021316,19661318,3359998,1266981,762545,1330472,3402,179,3223,3447,216,3231,0
2023,7568,7568,7578,6333,24181776,21099153,3082623,688653,864967,1529003,3192,167,3025,3237,207,3030,0
2024,7568,7568,7578,6386,15058350,14348925,709425,17118,155341,536966,4843,133,4710,4891,175,4716,0
2025,7568,7568,7578,6325,22098474,19757241,2341233,550461,514590,1276182,3569,166,3403,3611,201,3410,0
2026,7568,7568,7578,6322,39288610,33158654,6129956,2439733,2072482,1617741,458,194,264,493,229,264,1250
2027,7568,7568,7578,6743,8736606,7880994,855612,122677,251423,481512,5987,121,5866,6004,128,5876,0
2028,7568,7568,7578,6582,11466450,10548330,918120,51360,271360,595400,5493,130,5363,5514,144,5370,0
2029,7568,7568,7578,6970,4164192,3844324,319868,49161,93570,177137,6455,83,6372,6481,100,6381,1996794
2030,7568,7568,7578,6323,26055090,23826042,2229048,913550,531464,784034,2853,172,2681,2896,208,2688,0
2031,7568,7568,7578,6322,31011912,24712445,6299467,3357061,1425737,1516669,1956,194,1762,1995,230,1765,0
2032,7568,7568,7578,6322,27403434,23211997,4191437,1472827,912825,1805785,2609,177,2432,2650,214,2436,0
2033,7568,7568,7578,6342,16793514,14875869,1917645,334423,626147,957075,4529,164,4365,4576,202,4374,0
2034,7568,7568,7578,7566,110520,67977,42543,5089,12108,25346,7548,47,7501,7559,49,7510,0
2035,7568,7568,7578,6336,21905064,19510811,2394253,754032,454545,1185676,3604,159,3445,3650,198,3452,0
2036,7568,7568,7578,6321,18253306,17831418,421888,235744,103458,82686,3853,166,3687,3896,201,3695,2283544
2037,7568,7568,7578,6351,14856667,13693486,1163181,81460,265949,815772,4827,153,4674,4874,194,4680,291175
2038,7568,7568,7578,7289,1237811,1058232,179579,7150,42649,129780,7066,89,6977,7057,74,6983,1545358
2039,7568,7568,7578,7574,38682,26497,12185,1835,2433,7917,7561,38,7523,7571,41,7530,0
