"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,20331488,4568408,2120479,0,779350,5447359,7415892,0,830204,401422,187120,0,0,0,241662,0,4305,3019
2011,15183179,2854361,1385529,0,38196,4402313,6502780,0,447369,199658,127497,0,0,0,120214,0,3547,2262
2012,17599936,3103976,1604052,0,900506,4807602,7183800,0,433844,191819,126546,0,0,0,115479,0,3527,2259
2013,6750751,722968,272766,0,581837,2017834,3155346,0,79513,50025,0,0,0,0,29488,0,1297,577
2014,31690346,6598297,4308903,0,6784490,6510926,7487730,0,655032,409830,0,0,0,0,245202,0,6366,5030
2015,870193,68200,114793,0,6636,256834,423730,0,7797,5086,321,0,0,0,2390,0,5119,3790
2016,24755061,5729491,3950715,0,1302922,6306307,7465626,0,647428,400734,6830,0,0,0,239864,0,5139,3839
2017,26467985,7388480,2854576,0,1638909,7099468,7486552,0,1302087,791261,36530,0,0,0,474296,0,6236,4951
2018,29399044,7110319,3197617,0,4755265,6859165,7476678,0,945832,557102,54753,0,0,0,333977,0,6201,4908
2019,8117751,1812578,1236311,0,161545,2134049,2773268,0,278588,126055,77099,0,0,0,75434,0,6106,4803
2020,9207978,1226237,561349,0,168228,2389284,4862880,0,163331,102053,553,0,0,0,60725,0,1823,859
2021,10111631,1595830,624155,0,277146,2414534,5199966,0,414687,193511,104906,0,0,0,116270,0,2094,1092
2022,19661318,4744269,1628527,0,1199012,5209640,6879870,0,762545,385267,145645,0,0,0,231633,0,4166,2929
2023,21099153,5219725,2933195,0,180426,5460435,7305372,0,864967,277175,418664,0,0,0,169128,0,4376,3096
2024,14348925,1748689,1283082,0,847658,3573048,6896448,0,155341,63605,53525,0,0,0,38211,0,2725,1495
2025,19757241,3873795,1528582,0,1151785,5814817,7388262,0,514590,234523,138885,0,0,0,141182,0,3999,2714
2026,33158654,10151031,7514101,0,566188,7334610,7592724,0,2072482,522678,1226706,0,0,0,323098,0,7110,5829
2027,7880994,1051717,616670,0,144275,2012248,4056084,0,251423,107091,79909,0,0,0,64423,0,1581,739
2028,10548330,1547030,781530,0,433528,2553120,5233122,0,271360,93844,120680,0,0,0,56836,0,2075,1068
2029,3844324,479066,223893,0,169099,1261594,1710672,0,93570,41463,27510,0,0,0,24597,0,1113,489
2030,23826042,3746880,2016936,0,4455670,6146456,7460100,0,531464,263121,110364,0,0,0,157979,0,4715,3427
2031,24712445,6811931,2734652,0,836572,6858138,7471152,0,1425737,711684,285502,0,0,0,428551,0,5612,4327
2032,23211997,5777351,2818460,0,681954,6485184,7449048,0,912825,442880,203128,0,0,0,266817,0,4959,3672
2033,14875869,2371371,1260038,0,20571,4073245,7150644,0,626147,230975,254984,0,0,0,140188,0,3039,1766
2034,67977,44460,12788,0,10729,0,0,0,12108,5639,3293,0,0,0,3176,0,20,7
2035,19510811,3512755,2283486,0,1348328,5033240,7333002,0,454545,264076,32394,0,0,0,158075,0,3964,2686
2036,17831418,1870809,1480700,0,3170657,4553676,6755576,0,103458,57908,11392,0,0,0,34158,0,3715,2425
2037,13693486,1823051,1433613,0,1737,3436001,6999084,0,265949,131544,55531,0,0,0,78874,0,2741,1477
2038,1058232,261821,118653,0,45259,523071,109428,0,42649,20985,9409,0,0,0,12255,0,502,232
