"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6324,23789430,20331488,3457942,1376804,830204,1250934,3263,161,3102,3305,197,3108,0,2010,20331488,4568408,2120479,0,779350,5447359,7415892,0,830204,401422,187120,0,0,0,241662,0,4305,3019
2011,7568,7568,7578,6326,17069111,15183179,1885932,309181,447369,1129382,4021,174,3847,4064,210,3854,2542037,2011,15183179,2854361,1385529,0,38196,4402313,6502780,0,447369,199658,127497,0,0,0,120214,0,3547,2262
2012,7568,7568,7578,6348,19490202,17599936,1890266,377824,433844,1078598,4041,161,3880,4089,203,3886,0,2012,17599936,3103976,1604052,0,900506,4807602,7183800,0,433844,191819,126546,0,0,0,115479,0,3527,2259
2013,7568,7568,7578,6872,7138193,6750751,387442,56581,79513,251348,6271,92,6179,6295,111,6184,29029,2013,6750751,722968,272766,0,581837,2017834,3155346,0,79513,50025,0,0,0,0,29488,0,1297,577
2014,7568,7568,7578,6278,35178516,31690346,3488170,2080548,655032,752590,1202,184,1018,1248,228,1020,0,2014,31690346,6598297,4308903,0,6784490,6510926,7487730,0,655032,409830,0,0,0,0,245202,0,6366,5030
2015,7568,7568,7578,6290,916143,870193,45950,16804,7797,21349,2449,188,2261,2500,233,2267,27459622,2015,870193,68200,114793,0,6636,256834,423730,0,7797,5086,321,0,0,0,2390,0,5119,3790
2016,7568,7568,7578,6312,28398114,24755061,3643053,1439518,647428,1556107,2429,189,2240,2473,226,2247,0,2016,24755061,5729491,3950715,0,1302922,6306307,7465626,0,647428,400734,6830,0,0,0,239864,0,5139,3839
2017,7568,7568,7578,6322,33371645,26467985,6903660,4104705,1302087,1496868,1332,195,1137,1371,231,1140,1089043,2017,26467985,7388480,2854576,0,1638909,7099468,7486552,0,1302087,791261,36530,0,0,0,474296,0,6236,4951
2018,7568,7568,7578,6316,34266726,29399044,4867682,2778168,945832,1143682,1367,192,1175,1408,229,1179,0,2018,29399044,7110319,3197617,0,4755265,6859165,7476678,0,945832,557102,54753,0,0,0,333977,0,6201,4908
2019,7568,7568,7578,6309,9336744,8117751,1218993,452700,278588,487705,1462,190,1272,1506,231,1275,24470014,2019,8117751,1812578,1236311,0,161545,2134049,2773268,0,278588,126055,77099,0,0,0,75434,0,6106,4803
2020,7568,7568,7578,6629,10073898,9207978,865920,82733,163331,619856,5745,110,5635,5770,127,5643,0,2020,9207978,1226237,561349,0,168228,2389284,4862880,0,163331,102053,553,0,0,0,60725,0,1823,859
2021,7568,7568,7578,6587,11571444,10111631,1459813,428547,414687,616579,5474,128,5346,5495,145,5350,0,2021,10111631,1595830,624155,0,277146,2414534,5199966,0,414687,193511,104906,0,0,0,116270,0,2094,1092
2022,7568,7568,7578,6376,23021316,19661318,3359998,1266981,762545,1330472,3402,179,3223,3447,216,3231,0,2022,19661318,4744269,1628527,0,1199012,5209640,6879870,0,762545,385267,145645,0,0,0,231633,0,4166,2929
2023,7568,7568,7578,6333,24181776,21099153,3082623,688653,864967,1529003,3192,167,3025,3237,207,3030,0,2023,21099153,5219725,2933195,0,180426,5460435,7305372,0,864967,277175,418664,0,0,0,169128,0,4376,3096
2024,7568,7568,7578,6386,15058350,14348925,709425,17118,155341,536966,4843,133,4710,4891,175,4716,0,2024,14348925,1748689,1283082,0,847658,3573048,6896448,0,155341,63605,53525,0,0,0,38211,0,2725,1495
2025,7568,7568,7578,6325,22098474,19757241,2341233,550461,514590,1276182,3569,166,3403,3611,201,3410,0,2025,19757241,3873795,1528582,0,1151785,5814817,7388262,0,514590,234523,138885,0,0,0,141182,0,3999,2714
2026,7568,7568,7578,6322,39288610,33158654,6129956,2439733,2072482,1617741,458,194,264,493,229,264,1250,2026,33158654,10151031,7514101,0,566188,7334610,7592724,0,2072482,522678,1226706,0,0,0,323098,0,7110,5829
2027,7568,7568,7578,6743,8736606,7880994,855612,122677,251423,481512,5987,121,5866,6004,128,5876,0,2027,7880994,1051717,616670,0,144275,2012248,4056084,0,251423,107091,79909,0,0,0,64423,0,1581,739
2028,7568,7568,7578,6582,11466450,10548330,918120,51360,271360,595400,5493,130,5363,5514,144,5370,0,2028,10548330,1547030,781530,0,433528,2553120,5233122,0,271360,93844,120680,0,0,0,56836,0,2075,1068
2029,7568,7568,7578,6970,4164192,3844324,319868,49161,93570,177137,6455,83,6372,6481,100,6381,1996794,2029,3844324,479066,223893,0,169099,1261594,1710672,0,93570,41463,27510,0,0,0,24597,0,1113,489
2030,7568,7568,7578,6323,26055090,23826042,2229048,913550,531464,784034,2853,172,2681,2896,208,2688,0,2030,23826042,3746880,2016936,0,4455670,6146456,7460100,0,531464,263121,110364,0,0,0,157979,0,4715,3427
2031,7568,7568,7578,6322,31011912,24712445,6299467,3357061,1425737,1516669,1956,194,1762,1995,230,1765,0,2031,24712445,6811931,2734652,0,836572,6858138,7471152,0,1425737,711684,285502,0,0,0,428551,0,5612,4327
2032,7568,7568,7578,6322,27403434,23211997,4191437,1472827,912825,1805785,2609,177,2432,2650,214,2436,0,2032,23211997,5777351,2818460,0,681954,6485184,7449048,0,912825,442880,203128,0,0,0,266817,0,4959,3672
2033,7568,7568,7578,6342,16793514,14875869,1917645,334423,626147,957075,4529,164,4365,4576,202,4374,0,2033,14875869,2371371,1260038,0,20571,4073245,7150644,0,626147,230975,254984,0,0,0,140188,0,3039,1766
2034,7568,7568,7578,7566,110520,67977,42543,5089,12108,25346,7548,47,7501,7559,49,7510,0,2034,67977,44460,12788,0,10729,0,0,0,12108,5639,3293,0,0,0,3176,0,20,7
2035,7568,7568,7578,6336,21905064,19510811,2394253,754032,454545,1185676,3604,159,3445,3650,198,3452,0,2035,19510811,3512755,2283486,0,1348328,5033240,7333002,0,454545,264076,32394,0,0,0,158075,0,3964,2686
2036,7568,7568,7578,6321,18253306,17831418,421888,235744,103458,82686,3853,166,3687,3896,201,3695,2283544,2036,17831418,1870809,1480700,0,3170657,4553676,6755576,0,103458,57908,11392,0,0,0,34158,0,3715,2425
2037,7568,7568,7578,6351,14856667,13693486,1163181,81460,265949,815772,4827,153,4674,4874,194,4680,291175,2037,13693486,1823051,1433613,0,1737,3436001,6999084,0,265949,131544,55531,0,0,0,78874,0,2741,1477
2038,7568,7568,7578,7289,1237811,1058232,179579,7150,42649,129780,7066,89,6977,7057,74,6983,1545358,2038,1058232,261821,118653,0,45259,523071,109428,0,42649,20985,9409,0,0,0,12255,0,502,232
2039,7568,7568,7578,7574,38682,26497,12185,1835,2433,7917,7561,38,7523,7571,41,7530,0,2039,26497,13413,9979,0,3105,0,0,0,2433,1198,794,0,0,0,441,0,7,3
2040,7568,7568,7578,6933,6255432,5749131,506301,84091,108740,313470,6436,62,6374,6461,78,6383,0,2040,5749131,666718,453249,0,152719,2000797,2475648,0,108740,68225,0,0,0,0,40515,0,1132,472
2041,7568,7568,7578,6270,27093978,23681925,3412053,950758,699448,1761847,2665,171,2494,2716,215,2501,0,2041,23681925,5604555,3813942,0,543511,6265343,7454574,0,699448,338312,157418,0,0,0,203718,0,4903,3554
2042,7568,7568,7578,7578,0,0,0,0,0,0,7568,47,7521,7578,51,7527,0,2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2043,7568,7568,7578,6322,23490257,19403931,4086326,2202712,941795,941819,1642,193,1449,1680,229,1451,9266161,2043,19403931,4750031,2388849,0,988199,5276007,6000845,0,941795,468044,192042,0,0,0,281709,0,5926,4642
2044,7568,7568,7578,6287,26651898,22226951,4424947,2589015,1012540,823392,2745,184,2561,2792,228,2564,0,2044,22226951,4377905,3336062,0,1314503,5754959,7443522,0,1012540,550662,131206,0,0,0,330672,0,4823,3495
2045,7568,7568,7578,6337,16395642,14894519,1501123,85490,314552,1101081,4601,148,4453,4649,189,4460,0,2045,14894519,2279754,1233624,0,1941,4178822,7200378,0,314552,169863,42938,0,0,0,101751,0,2967,1688
