"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6951,6183594,5604582,579012,58580,157968,362464,6449,67,6382,6475,84,6391,0,2010,5604582,795806,347453,0,35703,2082596,2343024,0,157968,71769,43240,0,0,0,42959,0,1119,476
2011,7568,7568,7578,6324,21153528,17825742,3327786,1072345,857722,1397719,3740,172,3568,3784,209,3575,0,2011,17825742,3865836,988089,0,103638,5463339,7404840,0,857722,395098,224468,0,0,0,238156,0,3828,2540
2012,7568,7568,7578,6323,34648020,29455938,5192082,1942385,1037355,2212342,1298,196,1102,1338,233,1105,0,2012,29455938,8525403,3667263,0,1982248,7599884,7681140,0,1037355,476444,273454,0,0,0,287457,0,6270,4985
2013,7568,7568,7578,6915,7100910,6492943,607967,41199,121423,445345,6283,94,6189,6308,112,6196,0,2013,6492943,947069,363575,0,270178,1999919,2912202,0,121423,66117,16034,0,0,0,39272,0,1285,607
2014,7568,7568,7578,6322,37615482,31191986,6423496,2821831,1149386,2452279,761,191,570,798,227,571,0,2014,31191986,9171658,4793575,0,1756029,7806162,7664562,0,1149386,632070,137867,0,0,0,379449,0,6807,5524
2015,7568,7568,7578,6322,17429070,14895943,2533127,794077,560887,1178163,2565,187,2378,2607,223,2384,10246977,2015,14895943,3711124,1591249,0,265055,4320288,5008227,0,560887,257220,148782,0,0,0,154885,0,5003,3715
2016,7568,7568,7578,6795,7996122,7319150,676972,83296,163029,430647,6121,132,5989,6143,147,5996,0,2016,7319150,917534,506316,0,165396,2226420,3503484,0,163029,85747,26161,0,0,0,51121,0,1447,652
2017,7568,7568,7578,6366,17207951,15766379,1441572,159372,334158,948042,4449,152,4297,4498,194,4304,27643,2017,15766379,2562602,1184066,0,896191,4111026,7012494,0,334158,141828,107075,0,0,0,85255,0,3119,1868
2018,7568,7568,7578,6328,30276954,26655321,3621633,1140350,563490,1917793,2089,180,1909,2131,219,1912,0,2018,26655321,6492692,4584072,0,426239,6631226,8521092,0,563490,322193,48121,0,0,0,193176,0,5479,4197
2019,7568,7568,7578,6323,3748037,3523450,224587,29066,60987,134534,2293,196,2097,2334,232,2102,25476704,2019,3523450,373580,269403,0,108400,1019080,1752987,0,60987,23216,24233,0,0,0,13538,0,5275,3989
2020,7568,7568,7578,7262,2912202,2455495,456707,78710,121022,256975,7041,55,6986,7050,55,6995,0,2020,2455495,499603,181800,0,40953,1136331,596808,0,121022,63827,19358,0,0,0,37837,0,527,212
2021,7568,7568,7578,6322,38312241,31270645,7041596,3181974,1274615,2585007,630,191,439,665,227,438,27147,2021,31270645,10202927,4573412,0,1545887,7466215,7482204,0,1274615,691387,167741,0,0,0,415487,0,6938,5657
2022,7568,7568,7578,6303,37096179,32080572,5015607,2816152,941071,1258384,779,183,596,827,228,599,419985,2022,32080572,6279952,2967482,0,6792340,8553068,7487730,0,941071,570560,28840,0,0,0,341671,0,6789,5476
2023,7568,7568,7578,6310,35924526,29403064,6521462,3772805,1162411,1586246,1067,192,875,1109,231,878,0,2023,29403064,8451894,4210987,0,2313370,6944609,7482204,0,1162411,719143,12504,0,0,0,430764,0,6501,5201
2024,7568,7568,7578,6275,35040366,27121760,7918606,4486498,1680062,1752046,1227,182,1045,1274,226,1048,0,2024,27121760,8442653,3489514,0,553434,7131851,7504308,0,1680062,846740,323416,0,0,0,509906,0,6341,5001
2025,7568,7568,7578,6470,15645230,13412345,2232885,570604,640049,1022232,4616,138,4478,4658,175,4483,669459,2025,13412345,2592245,912354,0,13156,3928340,5966250,0,640049,274659,199760,0,0,0,165630,0,2952,1812
2026,7568,7568,7578,6369,16091712,14335064,1756648,216997,438282,1101369,4656,143,4513,4703,179,4524,0,2026,14335064,2358121,1206475,0,9473,3814813,6946182,0,438282,204592,110533,0,0,0,123157,0,2912,1666
