"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6340,18313164,16525000,1788164,330553,376376,1081235,4254,153,4101,4301,193,4108,0
2011,7568,7568,7578,6339,21579030,19491651,2087379,282674,349695,1455010,3663,163,3500,3710,204,3506,0
2012,7568,7568,7578,6322,29293326,24500127,4793199,2503361,934236,1355602,2267,205,2062,2307,241,2066,0
2013,7568,7568,7578,6322,27551893,23518401,4033492,1199924,893936,1939632,2559,185,2374,2602,222,2380,127841
2014,7568,7568,7578,6609,10432611,9808082,624529,15537,102783,506209,5680,130,5550,5706,149,5557,477
2015,7568,7568,7578,6322,40710042,35029708,5680334,1769798,960751,2949785,201,190,11,237,226,11,0
2016,7568,7568,7578,6585,11093722,10183052,910670,128542,205478,576650,5560,125,5435,5583,143,5440,2486
2017,7568,7568,7578,7578,0,0,0,0,0,0,7568,34,7534,7578,39,7539,0
2018,7568,7568,7578,6322,26712684,23801220,2911464,725710,476777,1708977,2734,180,2554,2773,215,2558,0
2019,7568,7568,7578,6286,16324616,14098536,2226080,918741,360921,946418,380,183,197,425,229,196,23445902
2020,7568,7568,7578,6267,32503932,27698046,4805886,1873854,945802,1986230,1686,182,1504,1732,226,1506,0
2021,7568,7568,7578,6335,19556514,16806340,2750174,1150111,651388,948675,4029,160,3869,4078,201,3877,0
2022,7568,7568,7578,6326,19689138,17798167,1890971,474220,380279,1036472,4005,165,3840,4051,204,3847,0
2023,7568,7568,7578,6316,22993686,20211544,2782142,672608,544316,1565218,3407,161,3246,3454,200,3254,0
2024,7568,7568,7578,6299,34979580,28614770,6364810,2893461,1034141,2437208,1238,188,1050,1282,230,1052,0
2025,7568,7568,7578,6322,33313634,27844180,5469454,2207320,1222914,2039220,1016,193,823,1054,229,825,2896665
2026,7568,7568,7578,6723,8659242,7967758,691484,71964,150539,468981,6001,129,5872,6016,137,5879,0
2027,7568,7568,7578,6317,40312170,33022765,7289405,3975770,1323554,1990081,273,190,83,310,227,83,0
2028,7568,7568,7578,6344,19241532,18831608,409924,137029,90202,182693,4086,157,3929,4135,198,3937,0
2029,7568,7568,7578,6321,18489996,16534040,1955956,330233,503850,1121873,4222,174,4048,4269,212,4057,0
2030,7568,7568,7578,7148,4448430,3968730,479700,33392,127005,319303,6763,85,6678,6797,113,6684,0
2031,7568,7568,7578,6330,23723118,19972318,3750800,1110539,779519,1860742,3275,165,3110,3322,202,3120,0
2032,7568,7568,7578,6303,37283922,31366507,5917415,3181429,1388093,1347893,821,188,633,866,229,637,0
2033,7568,7568,7578,6922,6084126,5598652,485474,64487,117538,303449,6467,108,6359,6489,125,6364,0
2034,7568,7568,7578,6322,39632472,33277764,6354708,3376371,1107264,1871073,396,191,205,430,227,203,0
2035,7568,7568,7578,6309,36626328,28226768,8399560,4603628,1578233,2217699,940,188,752,983,228,755,0
2036,7568,7568,7578,6438,14339970,12797980,1541990,305544,351199,885247,4973,125,4848,5028,174,4854,0
2037,7568,7568,7578,6322,38273076,31536555,6736521,3101274,1171047,2464200,642,192,450,679,227,452,0
2038,7568,7568,7578,6332,23013624,20850752,2162872,505215,364852,1292805,2855,166,2689,2899,203,2696,3037947
2039,7568,7568,7578,6396,18346320,16174420,2171900,625028,446518,1100354,4248,164,4084,4293,204,4089,0
2040,7568,7568,7578,6365,14240502,13005233,1235269,148863,295262,791144,4991,157,4834,5037,193,4844,0
2041,7568,7568,7578,6360,14721264,13526800,1194464,211913,245015,737536,4904,156,4748,4952,194,4758,0
2042,7568,7568,7578,6292,21931992,19047703,2884289,804265,677138,1402886,3533,155,3378,3586,201,3385,366293
2043,7568,7568,7578,6510,11489516,10491453,998063,174473,228678,594912,5267,96,5171,5296,119,5177,1228672
2044,7568,7568,7578,6306,33161526,27821840,5339686,2299661,1040676,1999349,1567,193,1374,1612,234,1378,0
2045,7568,7568,7578,6322,28840194,23564269,5275925,3060967,1079492,1135466,2349,195,2154,2388,231,2157,0
2046,7568,7568,7578,6322,30995334,25085103,5910231,3404672,1437638,1067921,1959,195,1764,1999,231,1768,0
2047,7568,7568,7578,7578,0,0,0,0,0,0,7568,21,7547,7578,24,7554,0
2048,7568,7568,7578,6322,40068459,31676369,8392090,4645552,1690035,2056503,190,190,0,226,226,0,702621
2049,7568,7568,7578,6322,39726414,35059317,4667097,2685401,875847,1105849,379,192,187,415,228,187,0
2050,7568,7568,7578,6324,21213196,18302371,2910825,884664,654030,1372131,2913,175,2738,2953,212,2741,4524223
2051,7568,7568,7578,6365,9802306,8923451,878855,175397,227137,476321,4945,155,4790,4990,192,4798,4713488
2052,7568,7568,7578,6500,11825640,10600849,1224791,214384,283798,726609,5428,126,5302,5458,153,5305,0
2053,7568,7568,7578,6322,23900383,20713744,3186639,1234946,578932,1372761,2696,176,2520,2736,212,2524,3029574
2054,7568,7568,7578,6285,40008240,33162025,6846215,3537987,1325784,1982444,328,182,146,375,229,146,0
2055,7568,7568,7578,7334,1166238,937051,229187,48277,64442,116468,7164,64,7100,7163,58,7105,1071540
2056,7568,7568,7578,6347,16069608,14684910,1384698,285759,344949,753990,4660,141,4519,4711,183,4528,0
2057,7568,7568,7578,6324,20151301,17343577,2807724,842307,783767,1181650,3061,169,2892,3104,206,2898,4769223
2058,7568,7568,7578,7578,0,0,0,0,0,0,7568,35,7533,7578,40,7538,0
2059,7568,7568,7578,7578,0,0,0,0,0,0,7568,37,7531,7578,40,7538,0
2060,7568,7568,7578,6593,10952532,10159494,793038,105704,227967,459367,5586,109,5477,5608,122,5486,0
2061,7568,7568,7578,6354,13057704,12338476,719228,48132,189102,481994,4659,147,4512,4707,190,4517,3030320
2062,7568,7568,7578,7443,1237824,888290,349534,28455,111820,209259,7344,46,7298,7353,47,7306,0
2063,7568,7568,7578,7567,99468,67003,32465,2356,7147,22962,7550,69,7481,7560,74,7486,0
2064,7568,7568,7578,6322,19182576,17403817,1778759,495192,490643,792924,3354,177,3177,3396,213,3183,4110971
2065,7568,7568,7578,7578,0,0,0,0,0,0,7568,33,7535,7578,38,7540,0
2066,7568,7568,7578,6322,35398268,28625937,6772331,3699731,1396912,1675688,895,192,703,932,227,705,1477459
2067,7568,7568,7578,7399,1558332,1134238,424094,124709,125666,173719,7286,80,7206,7294,76,7218,0
2068,7568,7568,7578,7468,953199,589054,364145,79049,83523,201573,7389,50,7339,7400,56,7344,35955
2069,7568,7568,7578,6285,31878619,26434413,5444206,3215345,1124273,1104588,1799,184,1615,1849,231,1618,875
2070,7568,7568,7578,6771,5314006,4936349,377657,60715,117467,199475,6224,117,6107,6244,130,6114,2124012
2071,7568,7568,7578,7282,2468319,2211229,257090,1916,61717,193457,7100,67,7033,7097,53,7044,118602
2072,7568,7568,7578,6341,19633878,16909597,2724281,814994,692296,1216991,4015,154,3861,4064,195,3869,0
2073,7568,7568,7578,6359,19180746,16648815,2531931,674674,676123,1181134,4097,164,3933,4146,205,3941,0
2074,7568,7568,7578,7578,0,0,0,0,0,0,7568,51,7517,7578,54,7524,0
2075,7568,7568,7578,7578,0,0,0,0,0,0,7568,32,7536,7578,37,7541,0
2076,7568,7568,7578,6322,18353581,14843208,3510373,1609042,845524,1055807,1887,195,1692,1926,231,1695,13078059
2077,7568,7568,7578,7578,0,0,0,0,0,0,7568,9,7559,7578,13,7565,0
2078,7568,7568,7578,7514,563652,350404,213248,59219,51486,102543,7466,50,7416,7476,53,7423,0
2079,7568,7568,7578,6374,15544638,13757525,1787113,573421,503831,709861,4755,161,4594,4805,203,4602,0
2080,7568,7568,7578,6349,17373744,15409509,1964235,520140,568065,876030,4424,142,4282,4470,183,4287,0
