"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,16525000,2612018,1489409,0,557443,4682330,7183800,0,376376,205250,48432,0,0,0,122694,0,3314,2039
2011,19491651,4196675,2284772,0,257459,5165547,7587198,0,349695,168620,79722,0,0,0,101353,0,3905,2629
2012,24500127,5719885,2597973,0,2288586,6433583,7460100,0,934236,563750,32692,0,0,0,337794,0,5301,4015
2013,23518401,6122537,2833096,0,475743,6615873,7471152,0,893936,391738,265641,0,0,0,236557,0,5009,3720
2014,9808082,1170301,919280,0,341749,2270728,5106024,0,102783,63978,767,0,0,0,38038,0,1888,903
2015,35029708,11382643,6525800,0,892818,8525203,7703244,0,960751,444550,247982,0,0,0,268219,0,7367,6085
2016,10183052,1295875,763845,0,454359,2408221,5260752,0,205478,112074,26531,0,0,0,66873,0,2008,1002
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,23801220,5435150,4073219,0,730481,6113322,7449048,0,476777,284178,22416,0,0,0,170183,0,4834,3549
2019,14098536,3738237,2681618,0,408648,3330303,3939730,0,360921,222812,5452,0,0,0,132657,0,7188,5861
2020,27698046,7994268,4719840,0,595244,6889912,7498782,0,945802,470193,192548,0,0,0,283061,0,5882,4535
2021,16806340,2963228,2262002,0,179588,4267456,7134066,0,651388,347037,96187,0,0,0,208164,0,3539,2257
2022,17798167,2933501,1947624,0,438247,5107111,7371684,0,380279,231234,10685,0,0,0,138360,0,3563,2275
2023,20211544,4466583,2398096,0,494000,5420395,7432470,0,544316,294959,72429,0,0,0,176928,0,4161,2862
2024,28614770,8730060,4338175,0,810478,7237275,7498782,0,1034141,644844,2965,0,0,0,386332,0,6330,5017
2025,27844180,8071981,4068227,0,1036640,7246325,7421007,0,1222914,519559,389153,0,0,0,314202,0,6552,5268
2026,7967758,974631,519664,0,159841,2268590,4045032,0,150539,83768,16969,0,0,0,49802,0,1567,707
2027,33022765,10198319,5527562,0,2259531,7394895,7642458,0,1323554,753569,117710,0,0,0,452275,0,7295,6007
2028,18831608,2364040,1091159,0,3628653,4597112,7150644,0,90202,53323,5483,0,0,0,31396,0,3482,2209
2029,16534040,2682769,1572616,0,112441,4838738,7327476,0,503850,228622,137625,0,0,0,137603,0,3346,2052
2030,3968730,696590,686610,0,6759,1545409,1033362,0,127005,56723,36330,0,0,0,33952,0,805,351
2031,19972318,5125527,1536413,0,257495,5708829,7344054,0,779519,395885,145462,0,0,0,238172,0,4293,3008
2032,31366507,7954198,2321816,0,5002449,8506372,7581672,0,1388093,639517,362903,0,0,0,385673,0,6747,5437
2033,5598652,627897,342764,0,20077,2077006,2530908,0,117538,65153,13697,0,0,0,38688,0,1101,433
2034,33277764,10331796,4020297,0,3923158,7520309,7482204,0,1107264,667827,38984,0,0,0,400453,0,7172,5892
2035,28226768,9606187,3791323,0,290750,7056304,7482204,0,1578233,864415,194309,0,0,0,519509,0,6628,5326
2036,12797980,2033538,698813,0,248302,3368485,6448842,0,351199,197342,35784,0,0,0,118073,0,2595,1410
2037,31536555,9895470,5294265,0,1530582,7328508,7487730,0,1171047,675399,90377,0,0,0,405271,0,6926,5643
2038,20850752,4608499,2627598,0,1545643,5386479,6682533,0,364852,203414,39656,0,0,0,121782,0,4713,3433
2039,16174420,2837275,2528482,0,477152,3567687,6763824,0,446518,250212,46581,0,0,0,149725,0,3320,2103
2040,13005233,1680308,946462,0,54391,3350260,6973812,0,295262,148348,57917,0,0,0,88997,0,2577,1328
2041,13526800,1664975,1401229,0,150704,3280820,7029072,0,245015,153554,0,0,0,0,91461,0,2664,1408
2042,19047703,3856930,2622097,0,205642,4976860,7386174,0,677138,316663,169750,0,0,0,190725,0,4035,2706
2043,10491453,1387466,780969,0,312342,2709226,5301450,0,228678,125503,28291,0,0,0,74884,0,2301,1214
2044,27821840,7795810,4550818,0,1279533,6713475,7482204,0,1040676,574496,121281,0,0,0,344899,0,6001,4694
2045,23564269,5218353,4063674,0,805508,6011108,7465626,0,1079492,633679,65900,0,0,0,379913,0,5219,3934
2046,25085103,5988873,4872951,0,604537,6158642,7460100,0,1437638,669953,363381,0,0,0,404304,0,5609,4323
2047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2048,31676369,10065639,5512022,0,1458772,7157932,7482004,0,1690035,838674,346333,0,0,0,505028,0,7378,6096
2049,35059317,9322716,3916738,0,6542121,7690544,7587198,0,875847,518296,47027,0,0,0,310524,0,7189,5907
2050,18302371,4395495,2281854,0,356519,4973353,6295150,0,654030,297671,177109,0,0,0,179250,0,4655,3371
2051,8923451,1117034,559754,0,170033,2313878,4762752,0,227137,115973,41773,0,0,0,69391,0,2623,1375
2052,10600849,1449800,706335,0,0,2576102,5868612,0,283798,157745,31660,0,0,0,94393,0,2140,1042
2053,20713744,4596516,1970304,0,1703308,5565097,6878519,0,578932,362279,0,0,0,0,216653,0,4872,3586
2054,33162025,10147800,5815974,0,2365069,7339926,7493256,0,1325784,710191,188900,0,0,0,426693,0,7240,5910
2055,937051,245904,130350,0,28154,477752,54891,0,64442,32267,13268,0,0,0,18907,0,404,171
2056,14684910,1976175,1453690,0,447696,3673283,7134066,0,344949,177085,61744,0,0,0,106120,0,2908,1636
2057,17343577,3906616,2253001,0,243523,4723128,6217309,0,783767,291701,315173,0,0,0,176893,0,4507,3220
2058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2060,10159494,1140967,886299,0,383796,2332952,5415480,0,227967,96508,73664,0,0,0,57795,0,1982,985
2061,12338476,1476248,1050910,0,696966,3218190,5896162,0,189102,72213,73630,0,0,0,43259,0,2909,1647
2062,888290,406407,178141,0,6828,296914,0,0,111820,43294,42628,0,0,0,25898,0,224,90
2063,67003,40512,12698,0,13793,0,0,0,7147,3958,1060,0,0,0,2129,0,18,7
2064,17403817,3161631,2096112,0,1171761,4676915,6297398,0,490643,190666,184845,0,0,0,115132,0,4214,2926
2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2066,28625937,8682564,3924422,0,1404844,6920773,7693334,0,1396912,712121,256305,0,0,0,428486,0,6673,5390
2067,1134238,382037,239225,0,0,512976,0,0,125666,63151,24752,0,0,0,37763,0,282,105
2068,589054,341910,140660,0,13560,92924,0,0,83523,52424,0,0,0,0,31099,0,179,68
2069,26434413,6396641,4877901,0,1706818,5965323,7487730,0,1124273,638156,103112,0,0,0,383005,0,5769,4436
2070,4936349,457476,350880,0,0,1509177,2618816,0,117467,50337,37207,0,0,0,29923,0,1344,527
2071,2211229,475749,380639,0,25994,1049272,279575,0,61717,27848,17283,0,0,0,16586,0,468,185
2072,16909597,3331293,1834182,0,84024,4503928,7156170,0,692296,318573,181690,0,0,0,192033,0,3553,2277
2073,16648815,3331311,1640680,0,170822,4471404,7034598,0,676123,292501,207248,0,0,0,176374,0,3471,2213
2074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
