"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6340,18313164,16525000,1788164,330553,376376,1081235,4254,153,4101,4301,193,4108,0,2010,16525000,2612018,1489409,0,557443,4682330,7183800,0,376376,205250,48432,0,0,0,122694,0,3314,2039
2011,7568,7568,7578,6339,21579030,19491651,2087379,282674,349695,1455010,3663,163,3500,3710,204,3506,0,2011,19491651,4196675,2284772,0,257459,5165547,7587198,0,349695,168620,79722,0,0,0,101353,0,3905,2629
2012,7568,7568,7578,6322,29293326,24500127,4793199,2503361,934236,1355602,2267,205,2062,2307,241,2066,0,2012,24500127,5719885,2597973,0,2288586,6433583,7460100,0,934236,563750,32692,0,0,0,337794,0,5301,4015
2013,7568,7568,7578,6322,27551893,23518401,4033492,1199924,893936,1939632,2559,185,2374,2602,222,2380,127841,2013,23518401,6122537,2833096,0,475743,6615873,7471152,0,893936,391738,265641,0,0,0,236557,0,5009,3720
2014,7568,7568,7578,6609,10432611,9808082,624529,15537,102783,506209,5680,130,5550,5706,149,5557,477,2014,9808082,1170301,919280,0,341749,2270728,5106024,0,102783,63978,767,0,0,0,38038,0,1888,903
2015,7568,7568,7578,6322,40710042,35029708,5680334,1769798,960751,2949785,201,190,11,237,226,11,0,2015,35029708,11382643,6525800,0,892818,8525203,7703244,0,960751,444550,247982,0,0,0,268219,0,7367,6085
2016,7568,7568,7578,6585,11093722,10183052,910670,128542,205478,576650,5560,125,5435,5583,143,5440,2486,2016,10183052,1295875,763845,0,454359,2408221,5260752,0,205478,112074,26531,0,0,0,66873,0,2008,1002
2017,7568,7568,7578,7578,0,0,0,0,0,0,7568,34,7534,7578,39,7539,0,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7568,7568,7578,6322,26712684,23801220,2911464,725710,476777,1708977,2734,180,2554,2773,215,2558,0,2018,23801220,5435150,4073219,0,730481,6113322,7449048,0,476777,284178,22416,0,0,0,170183,0,4834,3549
2019,7568,7568,7578,6286,16324616,14098536,2226080,918741,360921,946418,380,183,197,425,229,196,23445902,2019,14098536,3738237,2681618,0,408648,3330303,3939730,0,360921,222812,5452,0,0,0,132657,0,7188,5861
