"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,15388930,2221287,1488443,0,782346,4050140,6846714,0,127769,76341,6038,0,0,0,45390,0,2945,1709
2011,14345623,2126675,968711,0,332852,3849631,7067754,0,369298,189246,66579,0,0,0,113473,0,2866,1594
2012,23643243,6101415,3035103,0,598492,6437081,7471152,0,1005434,512029,185369,0,0,0,308036,0,5143,3856
2013,9791574,1530492,765245,0,3062,2436485,5056290,0,138230,74007,20081,0,0,0,44142,0,1919,931
2014,12033900,1575577,891812,0,380773,2980040,6205698,0,248046,134734,32865,0,0,0,80447,0,2382,1253
2015,196414,107659,32615,0,56140,0,0,0,27256,16655,828,0,0,0,9773,0,76,29
2016,1627622,485599,237637,0,125610,745620,33156,0,60865,24791,21322,0,0,0,14752,0,342,148
2017,7528396,814255,633954,0,477970,1791304,3810913,0,61127,37456,1645,0,0,0,22026,0,1736,859
2018,35455548,10276267,7423149,0,1702686,8272838,7780608,0,1038988,427552,352632,0,0,0,258804,0,7355,6072
2019,7591787,1077663,354642,0,24709,1890805,4243968,0,255906,89216,112665,0,0,0,54025,0,1515,692
2020,1496086,375910,231689,0,152881,669294,66312,0,47576,20609,14796,0,0,0,12171,0,308,132
2021,5281219,661145,328679,0,123775,1626052,2541568,0,116101,51935,33304,0,0,0,30862,0,1231,532
2022,21800020,5184535,1722399,0,1455325,5999765,7437996,0,795647,442966,86842,0,0,0,265839,0,4645,3361
2023,24401034,5017095,2673981,0,3079888,6169970,7460100,0,823488,468017,74717,0,0,0,280754,0,5113,3825
2024,27633998,8274718,3714963,0,1019650,7092729,7531938,0,1848151,952652,322311,0,0,0,573188,0,6566,5257
2025,28075182,8735999,3892232,0,583403,7298454,7565094,0,1104782,509559,287774,0,0,0,307449,0,6098,4811
2026,18420107,3921421,1850879,0,402261,4890440,7355106,0,887681,307125,393625,0,0,0,186931,0,3851,2574
2027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2028,20551835,4490127,1810487,0,3782119,4887442,5581660,0,360506,185682,63526,0,0,0,111298,0,5821,4538
2029,13349354,3404466,2031314,0,449042,3469489,3995043,0,453471,234667,78307,0,0,0,140497,0,6831,5548
2030,1253263,395245,236320,0,101261,520437,0,0,99322,47824,23017,0,0,0,28481,0,287,113
2031,22132060,5909856,2151825,0,235893,6424120,7410366,0,1517305,455287,783062,0,0,0,278956,0,4808,3523
2032,6794,4608,1596,0,590,0,0,0,705,277,288,0,0,0,140,0,2,1
2033,24913266,6163755,2816101,0,1660149,6780005,7493256,0,1002575,552520,118218,0,0,0,331837,0,5392,4106
2034,11374330,1756871,985373,0,6342,2787267,5838477,0,296262,120414,103337,0,0,0,72511,0,2419,1267
2035,5580809,748383,534691,0,54077,1784458,2459200,0,148264,50908,66616,0,0,0,30740,0,1146,482
2036,7528726,1071262,587588,0,67939,1914122,3887815,0,246557,129488,39655,0,0,0,77414,0,1924,1017
2037,16854777,3564707,2486382,0,1235993,4177620,5390075,0,432563,221438,78397,0,0,0,132728,0,5060,3777
2038,4875959,627971,298089,0,75497,1311503,2562899,0,108334,49751,29061,0,0,0,29522,0,2361,1223
2039,25229215,6025640,4468828,0,1309784,5992493,7432470,0,695462,349605,135794,0,0,0,210063,0,5198,3912
2040,16817838,2914348,2010066,0,183582,4526042,7183800,0,393516,161984,133698,0,0,0,97834,0,3342,2067
2041,7289660,828031,563249,0,194166,2007320,3696894,0,123600,53500,38069,0,0,0,32031,0,1410,620
2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2043,8667939,1025129,484691,0,285067,2093804,4779248,0,172907,102126,9916,0,0,0,60865,0,2101,1003
2044,22720829,5258221,2814899,0,1266839,5942874,7437996,0,986663,353627,418000,0,0,0,215036,0,4718,3403
2045,12029403,1662894,803414,0,2,3020309,6542784,0,381731,165763,116175,0,0,0,99793,0,2418,1222
2046,9717034,1295440,475719,0,497587,2530148,4918140,0,356598,152961,111575,0,0,0,92062,0,1959,992
2047,62674,46179,10506,0,5989,0,0,0,16644,6507,6304,0,0,0,3833,0,20,7
2048,6666429,940290,493218,0,201140,1731361,3300420,0,204144,68436,94342,0,0,0,41366,0,2250,1197
2049,5744137,711478,387958,0,109466,1893807,2641428,0,125649,42069,58369,0,0,0,25211,0,1115,470
2050,9699143,1243393,391099,0,364681,2395010,5304960,0,226623,123312,29554,0,0,0,73757,0,1928,929
2051,10360527,1466594,1140217,0,15209,2713975,5024532,0,186644,92851,38491,0,0,0,55302,0,2929,1647
2052,19089626,4663328,2940186,0,328476,5023386,6134250,0,755300,312143,254575,0,0,0,188582,0,5021,3724
2053,10168227,1431912,644516,0,466224,2458765,5166810,0,250883,148288,14128,0,0,0,88467,0,2040,1034
2054,21021081,4459322,2253903,0,1053922,5788308,7465626,0,905373,533244,52349,0,0,0,319780,0,4566,3263
2055,13750593,2106096,1670756,0,125905,3778199,6069637,0,500646,297021,25907,0,0,0,177718,0,3623,2336
2056,10817447,1423462,1041535,0,10409,2429221,5912820,0,325749,144830,93921,0,0,0,86998,0,2167,1064
2057,1702119,502743,270415,0,39703,789790,99468,0,163870,79050,37521,0,0,0,47299,0,405,187
2058,28961143,8939498,5419893,0,351650,6668531,7581571,0,1900816,807916,603995,0,0,0,488905,0,6971,5684
2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2060,9149428,1372829,544696,0,168247,2361030,4702626,0,272606,128543,66928,0,0,0,77135,0,1840,900
2061,17304286,5295109,2091693,0,179177,4712644,5025663,0,990997,542215,123312,0,0,0,325470,0,6749,5465
2062,8831740,1206010,706705,0,141261,2120292,4657472,0,263396,125886,62117,0,0,0,75393,0,2069,1039
2063,12327588,1730753,968783,0,107640,3093674,6426738,0,387489,164278,124492,0,0,0,98719,0,2468,1288
2064,14911447,2276883,1217785,0,36192,4224417,7156170,0,628128,297699,151410,0,0,0,179019,0,3127,1855
2065,102438,69762,23698,0,8978,0,0,0,15742,7425,3977,0,0,0,4340,0,37,14
2066,10526256,1524469,720432,0,267368,2487987,5526000,0,388515,185305,91820,0,0,0,111390,0,2151,1112
2067,7768372,840513,453301,0,101737,2278055,4094766,0,169821,77476,45953,0,0,0,46392,0,1518,652
2068,16816998,3723522,1924789,0,730720,4611873,5826094,0,582451,324634,63261,0,0,0,194556,0,4760,3471
2069,15674972,2225762,907921,0,741693,4626848,7172748,0,574996,298151,97853,0,0,0,178992,0,3227,1948
2070,14114956,2340799,1122970,0,17721,3786752,6846714,0,506404,192909,196675,0,0,0,116820,0,2862,1627
2071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2072,9237242,1242263,837205,0,273486,2363443,4520845,0,255417,129765,48047,0,0,0,77605,0,3042,1770
2073,5995662,897379,352368,0,166762,1717203,2861950,0,211475,93376,62317,0,0,0,55782,0,3298,2027
2074,255651,172484,63258,0,19909,0,0,0,61003,21596,26411,0,0,0,12996,0,77,28
2075,6542231,765440,350654,0,633707,1648456,3143974,0,88109,54821,1106,0,0,0,32182,0,2949,1690
2076,6149822,941743,1010851,0,187649,1695562,2314017,0,176643,99766,17783,0,0,0,59094,0,4819,3522
2077,4422615,580707,463992,0,0,1719042,1658874,0,154584,58768,60420,0,0,0,35396,0,998,409
2078,1171470,368414,280965,0,68528,453563,0,0,117346,45789,44228,0,0,0,27329,0,273,109
2079,2260,1854,406,0,0,0,0,0,438,138,228,0,0,0,72,0,1,0
2080,15415050,2086124,1497993,0,842648,3942635,7045650,0,480535,184366,184715,0,0,0,111454,0,3055,1796
2081,1070454,314600,217819,0,64100,473935,0,0,52632,22296,17033,0,0,0,13303,0,300,118
2082,16411168,3105737,1611379,0,1188348,4522300,5983404,0,579536,263408,157629,0,0,0,158499,0,4280,3001
2083,25429,17406,4773,0,3250,0,0,0,4141,2353,791,0,0,0,997,0,11,4
2084,25653519,6392106,4900444,0,533674,6356143,7471152,0,939683,358483,363625,0,0,0,217575,0,5332,4046
2085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2087,4890,3178,1570,0,142,0,0,0,430,286,0,0,0,0,144,0,2,1
2088,15694209,2326143,1711886,0,457867,4128797,7069516,0,384109,111121,205079,0,0,0,67909,0,3107,1795
2089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2090,4936677,706792,392505,0,181871,1399087,2256422,0,166583,81857,36120,0,0,0,48606,0,3605,2325
2091,8072154,1066352,616235,0,1424,2046415,4341728,0,270061,131687,59543,0,0,0,78831,0,2498,1303
2092,7879951,835450,388893,0,83125,2278781,4293702,0,250207,107320,78405,0,0,0,64482,0,1563,675
2093,2929314,306172,163926,0,177344,771552,1510320,0,36875,23421,0,0,0,0,13454,0,2466,1291
2094,10229075,1442195,919171,0,296433,2639524,4931752,0,401925,188837,99596,0,0,0,113492,0,3035,2238
2095,14114975,2445151,1316802,0,25441,4028689,6298892,0,449046,180024,160430,0,0,0,108592,0,3333,2056
2096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2097,12349709,2094899,1188103,0,40527,3421205,5604975,0,266505,110218,89973,0,0,0,66314,0,3170,1889
2098,706576,381656,122562,0,8308,194050,0,0,117879,62810,17556,0,0,0,37513,0,205,78
2099,118477,34335,83982,0,160,0,0,0,0,0,0,0,0,0,0,0,163,109
