"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6387,16274070,15388930,885140,51324,127769,706047,4623,132,4491,4678,179,4499,0,2010,15388930,2221287,1488443,0,782346,4050140,6846714,0,127769,76341,6038,0,0,0,45390,0,2945,1709
2011,7568,7568,7578,6349,15837516,14345623,1491893,259754,369298,862841,4702,138,4564,4755,184,4571,0,2011,14345623,2126675,968711,0,332852,3849631,7067754,0,369298,189246,66579,0,0,0,113473,0,2866,1594
2012,7568,7568,7578,6322,28420218,23643243,4776975,1929087,1005434,1842454,2425,193,2232,2466,230,2236,0,2012,23643243,6101415,3035103,0,598492,6437081,7471152,0,1005434,512029,185369,0,0,0,308036,0,5143,3856
2013,7568,7568,7578,6603,10590402,9791574,798828,20859,138230,639739,5649,123,5526,5672,139,5533,13992,2013,9791574,1530492,765245,0,3062,2436485,5056290,0,138230,74007,20081,0,0,0,44142,0,1919,931
2014,7568,7568,7578,6473,13159522,12033900,1125622,119372,248046,758204,5186,132,5054,5220,160,5060,3410,2014,12033900,1575577,891812,0,380773,2980040,6205698,0,248046,134734,32865,0,0,0,80447,0,2382,1253
2015,7568,7568,7578,7529,311144,196414,114730,27381,27256,60093,7492,33,7459,7500,38,7462,108832,2015,196414,107659,32615,0,56140,0,0,0,27256,16655,828,0,0,0,9773,0,76,29
2016,7568,7568,7578,7379,1889892,1627622,262270,693,60865,200712,7226,100,7126,7231,102,7129,0,2016,1627622,485599,237637,0,125610,745620,33156,0,60865,24791,21322,0,0,0,14752,0,342,148
2017,7568,7568,7578,6710,7889390,7528396,360994,14729,61127,285138,5832,120,5712,5851,132,5719,1711178,2017,7528396,814255,633954,0,477970,1791304,3810913,0,61127,37456,1645,0,0,0,22026,0,1736,859
2018,7568,7568,7578,6322,40643730,35455548,5188182,1879050,1038988,2270144,213,191,22,250,227,23,0,2018,35455548,10276267,7423149,0,1702686,8272838,7780608,0,1038988,427552,352632,0,0,0,258804,0,7355,6072
2019,7568,7568,7578,6770,8371890,7591787,780103,46150,255906,478047,6053,109,5944,6078,124,5954,0,2019,7591787,1077663,354642,0,24709,1890805,4243968,0,255906,89216,112665,0,0,0,54025,0,1515,692
2020,7568,7568,7578,7396,1702008,1496086,205922,1958,47576,156388,7260,77,7183,7264,77,7187,0,2020,1496086,375910,231689,0,152881,669294,66312,0,47576,20609,14796,0,0,0,12171,0,308,132
2021,7568,7568,7578,6896,5733583,5281219,452364,28752,116101,307511,6337,89,6248,6364,111,6253,1074047,2021,5281219,661145,328679,0,123775,1626052,2541568,0,116101,51935,33304,0,0,0,30862,0,1231,532
2022,7568,7568,7578,6325,25668270,21800020,3868250,1630037,795647,1442566,2923,173,2750,2964,211,2753,0,2022,21800020,5184535,1722399,0,1455325,5999765,7437996,0,795647,442966,86842,0,0,0,265839,0,4645,3361
2023,7568,7568,7578,6323,28254438,24401034,3853404,2171706,823488,858210,2455,182,2273,2498,220,2278,0,2023,24401034,5017095,2673981,0,3079888,6169970,7460100,0,823488,468017,74717,0,0,0,280754,0,5113,3825
2024,7568,7568,7578,6302,36283716,27633998,8649718,5465582,1848151,1335985,1002,194,808,1045,235,810,0,2024,27633998,8274718,3714963,0,1019650,7092729,7531938,0,1848151,952652,322311,0,0,0,573188,0,6566,5257
2025,7568,7568,7578,6322,33551151,28075182,5475969,1977351,1104782,2393836,1470,196,1274,1511,232,1279,146397,2025,28075182,8735999,3892232,0,583403,7298454,7565094,0,1104782,509559,287774,0,0,0,307449,0,6098,4811
2026,7568,7568,7578,6336,21280626,18420107,2860519,797578,887681,1175260,3717,164,3553,3762,205,3557,0,2026,18420107,3921421,1850879,0,402261,4890440,7355106,0,887681,307125,393625,0,0,0,186931,0,3851,2574
2027,7568,7568,7578,7578,0,0,0,0,0,0,7568,11,7557,7578,15,7563,0,2027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2028,7568,7568,7578,6322,22176345,20551835,1624510,789513,360506,474491,1747,198,1549,1784,233,1551,10018084,2028,20551835,4490127,1810487,0,3782119,4887442,5581660,0,360506,185682,63526,0,0,0,111298,0,5821,4538
2029,7568,7568,7578,6322,15690450,13349354,2341096,903347,453471,984278,737,192,545,774,228,546,22107011,2029,13349354,3404466,2031314,0,449042,3469489,3995043,0,453471,234667,78307,0,0,0,140497,0,6831,5548
2030,7568,7568,7578,7398,1585962,1253263,332699,77071,99322,156306,7281,35,7246,7285,32,7253,0,2030,1253263,395245,236320,0,101261,520437,0,0,99322,47824,23017,0,0,0,28481,0,287,113
2031,7568,7568,7578,6325,26569008,22132060,4436948,1567905,1517305,1351738,2760,177,2583,2802,213,2589,0,2031,22132060,5909856,2151825,0,235893,6424120,7410366,0,1517305,455287,783062,0,0,0,278956,0,4808,3523
2032,7568,7568,7578,7576,11052,6794,4258,354,705,3199,7566,25,7541,7575,29,7546,0,2032,6794,4608,1596,0,590,0,0,0,705,277,288,0,0,0,140,0,2,1
2033,7568,7568,7578,6322,29774277,24913266,4861011,2459726,1002575,1398710,2176,198,1978,2216,233,1983,21915,2033,24913266,6163755,2816101,0,1660149,6780005,7493256,0,1002575,552520,118218,0,0,0,331837,0,5392,4106
2034,7568,7568,7578,6464,12519338,11374330,1145008,81414,296262,767332,5149,118,5031,5197,158,5039,850018,2034,11374330,1756871,985373,0,6342,2787267,5838477,0,296262,120414,103337,0,0,0,72511,0,2419,1267
2035,7568,7568,7578,6932,6062963,5580809,482154,16174,148264,317716,6422,92,6330,6450,114,6336,271189,2035,5580809,748383,534691,0,54077,1784458,2459200,0,148264,50908,66616,0,0,0,30740,0,1146,482
2036,7568,7568,7578,6690,8497267,7528726,968541,243862,246557,478122,5644,119,5525,5673,136,5537,2142157,2036,7528726,1071262,587588,0,67939,1914122,3887815,0,246557,129488,39655,0,0,0,77414,0,1924,1017
2037,7568,7568,7578,6324,18841964,16854777,1987187,746984,432563,807640,2508,187,2321,2547,223,2324,9144161,2037,16854777,3564707,2486382,0,1235993,4177620,5390075,0,432563,221438,78397,0,0,0,132728,0,5060,3777
