"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6322,40406112,35596584,4809528,2003639,712733,2093156,256,192,64,292,228,64,0,2010,35596584,8980851,7983268,0,2934014,7934421,7764030,0,712733,442334,5647,0,0,0,264752,0,7312,6030
2011,7568,7568,7578,6331,19838340,17823229,2015111,318855,454539,1241717,3978,163,3815,4024,198,3826,0,2011,17823229,3512626,1383987,0,577886,5048884,7299846,0,454539,212618,113907,0,0,0,128014,0,3590,2307
2012,7568,7568,7578,6322,40174020,34920605,5253415,2738810,886142,1628463,298,190,108,335,226,109,0,2012,34920605,9488350,3514602,0,6355377,7903240,7659036,0,886142,554248,0,0,0,0,331894,0,7270,5987
2013,7568,7568,7578,6292,27873144,23965145,3907999,1092142,643573,2172284,2524,174,2350,2575,219,2356,0,2013,23965145,6477871,2691029,0,799771,6508744,7487730,0,643573,402576,0,0,0,0,240997,0,5044,3717
2014,7568,7568,7578,6279,31768974,26620566,5148408,1903006,840853,2404549,1819,179,1640,1867,223,1644,0,2014,26620566,7816708,3774926,0,817010,6735244,7476678,0,840853,525879,0,0,0,0,314974,0,5749,4412
2015,7568,7568,7578,6305,23169889,18867064,4302825,2213449,908080,1181296,1251,189,1062,1294,230,1064,11767363,2015,18867064,5458508,1831044,0,1157447,5057204,5362861,0,908080,471985,152440,0,0,0,283655,0,6317,5011
2016,7568,7568,7578,6324,23728644,20623247,3105397,1036285,576455,1492657,3274,176,3098,3318,213,3105,0,2016,20623247,4464509,1833278,0,1034893,5869149,7421418,0,576455,358633,3130,0,0,0,214692,0,4294,3006
2017,7568,7568,7578,6319,29515037,25664513,3850524,2038860,798551,1013113,1829,200,1629,1867,236,1631,2203572,2017,25664513,6051267,3113176,0,4691194,5189176,6619700,0,798551,448418,81298,0,0,0,268835,0,5739,4452
2018,7568,7568,7578,6322,40721094,38417193,2303901,1449470,426407,428024,199,190,9,235,226,9,0,2018,38417193,10725565,5320803,0,7836467,7052154,7482204,0,426407,259621,11741,0,0,0,155045,0,7369,6087
2019,7568,7568,7578,6310,9944488,8690453,1254035,498892,284533,470610,551,193,358,592,232,360,28894305,2019,8690453,1885985,1025741,0,479391,2322788,2976548,0,284533,134686,69661,0,0,0,80186,0,7017,5718
2020,7568,7568,7578,6322,26839782,23366640,3473142,1662700,835088,975354,2711,178,2533,2752,214,2538,0,2020,23366640,4899340,1983853,0,2704082,6324791,7454574,0,835088,416637,167793,0,0,0,250658,0,4857,3570
2021,7568,7568,7578,6322,39610368,32217460,7392908,4497699,1271992,1623217,400,195,205,436,230,206,0,2021,32217460,9489356,4547620,0,3257217,7391329,7531938,0,1271992,795423,0,0,0,0,476569,0,7168,5886
2022,7568,7568,7578,6284,40560840,40355439,205401,166192,33856,5353,228,180,48,276,228,48,0,2022,40355439,8604001,3946248,0,13007615,7282215,7515360,0,33856,21541,55,0,0,0,12260,0,7340,6008
2023,7568,7568,7578,6301,21706128,19281153,2424975,699342,473691,1251942,3640,163,3477,3692,207,3485,0,2023,19281153,3746943,2366006,0,738844,5007942,7421418,0,473691,286096,16417,0,0,0,171178,0,3928,2609
2024,7568,7568,7578,6331,38206764,30206018,8000746,4635842,1375863,1989041,654,187,467,663,195,468,0,2024,30206018,9092102,5074704,0,1578443,6845941,7614828,0,1375863,860345,0,0,0,0,515518,0,6914,5668
2025,7568,7568,7578,6306,38179134,31089159,7089975,3233500,1468034,2388441,659,187,472,700,228,472,0,2025,31089159,10137556,5202790,0,750985,7521150,7476678,0,1468034,675963,384181,0,0,0,407890,0,6909,5606
2026,7568,7568,7578,6322,34344090,29218994,5125096,1758039,989860,2377197,1353,199,1154,1390,234,1156,0,2026,29218994,8743808,4705745,0,1161063,7131700,7476678,0,989860,484645,213274,0,0,0,291941,0,6215,4932
2027,7568,7568,7578,6325,20048328,18194996,1853332,595636,402415,855281,3940,171,3769,3981,203,3778,0,2027,18194996,3010940,1399242,0,1440256,4983926,7360632,0,402415,227009,39494,0,0,0,135912,0,3628,2344
2028,7568,7568,7578,6322,39610713,33353906,6256807,2382412,1285623,2588772,341,190,151,376,226,150,325689,2028,33353906,10792107,6931220,0,455329,7604630,7570620,0,1285623,538464,421331,0,0,0,325828,0,7227,5946
2029,7568,7568,7578,6607,8480111,7717330,762781,162408,161989,438384,5605,124,5481,5630,144,5486,2378977,2029,7717330,973559,344047,0,351880,1934733,4113111,0,161989,101588,0,0,0,0,60401,0,1963,977
2030,7568,7568,7578,6288,38179134,33816226,4362908,1665946,837218,1859744,659,182,477,708,228,480,0,2030,33816226,9149198,7292755,0,2792196,7083295,7498782,0,837218,419343,165563,0,0,0,252312,0,6909,5580
2031,7568,7568,7578,6322,38560428,31813537,6746891,2728275,1611734,2406882,590,191,399,626,227,399,0,2031,31813537,10076543,3833177,0,2305541,7994500,7603776,0,1611734,645510,574983,0,0,0,391241,0,6978,5696
2032,7568,7568,7578,6467,14190768,12917857,1272911,166573,274514,831824,5000,126,4874,5040,163,4877,0,2032,12917857,1959012,999035,0,456829,3313861,6189120,0,274514,152974,30015,0,0,0,91525,0,2568,1427
2033,7568,7568,7578,6322,36279524,30521012,5758512,3159864,1324465,1274183,922,191,731,962,227,735,446272,2033,30521012,7618230,4098778,0,3833904,7344220,7625880,0,1324465,621042,329049,0,0,0,374374,0,6646,5360
2034,7568,7568,7578,6322,30907629,25290749,5616880,2517912,1203032,1895936,1894,197,1697,1933,233,1700,446895,2034,25290749,7078386,3151048,0,866677,6723486,7471152,0,1203032,614126,219405,0,0,0,369501,0,5674,4389
2035,7568,7568,7578,6371,17213490,15127009,2086481,949199,479048,658234,4453,151,4302,4502,193,4309,0,2035,15127009,2494731,1312466,0,532437,3846719,6940656,0,479048,282624,27414,0,0,0,169010,0,3115,1869
2036,7568,7568,7578,6319,39798252,32844517,6953735,4455728,1267734,1230273,366,190,176,402,226,176,0,2036,32844517,7789010,4170850,0,5939829,7468150,7476678,0,1267734,789112,5942,0,0,0,472680,0,7202,5917
2037,7568,7568,7578,6312,38593584,31484851,7108733,3819605,1268836,2020292,584,187,397,624,227,397,0,2037,31484851,8662122,6290002,0,2361364,6683633,7487730,0,1268836,765329,44690,0,0,0,458817,0,6984,5688
2038,7568,7568,7578,6322,31291670,26680253,4611417,1936520,924258,1750639,1904,195,1709,1947,231,1716,7594,2038,26680253,7519769,2632684,0,2042890,7019284,7465626,0,924258,496476,129380,0,0,0,298402,0,5664,4375
2039,7568,7568,7578,6272,40809510,33075586,7733924,4638392,1479567,1615965,183,182,1,227,226,1,0,2039,33075586,8902378,7711426,0,2444373,6540731,7476678,0,1479567,834890,143506,0,0,0,501171,0,7385,6045
2040,7568,7568,7578,6322,31006386,26035011,4971375,1738219,968631,2264525,1957,197,1760,1995,233,1762,0,2040,26035011,7443035,3683702,0,732945,6709703,7465626,0,968631,487006,188580,0,0,0,293045,0,5611,4327
2041,7568,7568,7578,6275,39157236,33108856,6048380,3842970,1060280,1145130,482,185,297,527,229,298,0,2041,33108856,8926695,6054385,0,3735290,6799762,7592724,0,1060280,663201,0,0,0,0,397079,0,7086,5748
2042,7568,7568,7578,6309,32561281,27398008,5163273,2844855,970469,1347949,1674,189,1485,1718,229,1489,8963,2042,27398008,5897985,2816397,0,3603901,7603047,7476678,0,970469,606923,0,0,0,0,363546,0,5894,4591
2043,7568,7568,7578,6280,27877810,23982800,3895010,1597363,641850,1655797,789,184,605,835,228,607,9591210,2043,23982800,6387440,4413033,0,1528495,5538352,6115480,0,641850,401694,0,0,0,0,240156,0,6779,5445
2044,7568,7568,7578,6268,39190392,32892152,6298240,3194157,1069498,2034585,476,186,290,520,230,290,0,2044,32892152,9856792,4622532,0,3722630,7224572,7465626,0,1069498,652988,25270,0,0,0,391240,0,7092,5748
