"cnrmcm3","gfdlcm21","miroc32med","mpiecham5","ncarccsm3","ncarpcm1"
4952.80509273813,5526,5526,5526,5526,5526
2435.52491356518,4812.26698618551,5526,5526,5526,5526
5526,5526,5526,5526,5526,5526
5394.67691676917,5503.61835003855,5526,5500.47774006788,5518.70870244919,5526
5525.88842398884,5526,5526,5525.74735169491,5524.56842989085,5526
4952.15610972569,178.969134596601,3483.72376574056,5526,4094,3667.862751306
3722.14514813808,5526,5526,5524.76195219123,5526,5526
5526,5351.45044900577,5517.13722346906,NA,4544.57949308756,5142.88848231399
5526,5526,5526,5526,5526,5526
1434.81983924721,1529.10972813626,710.528341232227,2271.09293266555,5526,1417.1993729514
3607.51550639774,5526,5526,5526,5526,5526
5526,5526,5522.08720092246,5526,4657.6628757108,5526
5521.87651122625,5526,5464.1595227574,5526,5526,5526
5526,5526,5526,5526,5526,5526
5526,5526,5526,5526,5526,5526
3547.79654092333,5526,5299.87466124661,5084.49847374847,5501.99262053132,5526
5526,5525.82419127989,5526,5526,5526,5526
5526,5526,5526,5526,NA,5526
4794.14207650273,5526,5526,5526,3809.71396667239,5480.93441261934
3406.64452815226,3741.41239892183,2770.45197073401,5526,2296.94773825209,4319.97503820683
5526,5526,5526,5526,5526,5526
5526,5526,5526,5526,5526,5526
5258.03442437923,5526,5523.07655826558,5526,5526,5526
5526,5526,5526,5526,5521.93564540059,5458.85103821848
5526,5526,5526,5526,5175.41876808599,5447.2381036306
5526,5526,5526,5526,5290.54363001745,5526
5506.89127654132,4913.4067294751,5526,5526,4416.45893970894,5526
5526,5420.16307916819,4916.90243902439,5526,3723.70830039526,5526
5165.31620159453,2465.75896414343,2545.91596497137,4883.00954805856,2245.74714104193,5524.65925141243
5526,5526,5525.66666666667,5526,5526,5526
5526,5526,5425.85761957731,5526,5526,5526
5526,5526,5526,5526,5526,5526
4415.67958656331,NA,NA,5435.43791821561,NA,5524.47930098405
4987.97386823703,3963.9313196085,2910.67923380967,4993.27075184702,4494.67396477868,4112.37793184835
5526,5526,5526,5526,5526,5526
5526,5526,5526,5526,5526,5526
5526,5523.8035334533,5526,5526,5526,5526
4302.00676144244,5526,5099.26086956522,NA,5526,5526
5526,5526,4882.27587628866,5430.80224993223,3238.04977777778,2272.54425581012
5526,5526,NA,5526,5526,5526
5526,5526,5526,4557.07755102041,5526,5526
3727.83689933357,5409.63632394674,3642,3737.05909264201,3832.19460566746,5526
4595.56503449436,5526,5099,5526,4420.50906193985,5526
5507.55760598504,1962.58794587946,4509.53639417693,4905.66153530378,5526,3771.41580547112
5526,5526,NA,5526,5526,5526
4434.70596393897,1803.92749244713,NA,2886.72772277228,4400.63124482473,4084.64928909953
5526,NA,5526,5526,5526,5526
5526,5526,5526,4471.11182604837,5526,5275
2619.04930351906,5525.7711686494,5526,NA,5286.12881939463,5526
4012.20233196159,5463.11865373645,5526,NA,NA,5526
5526,5526,5329.19314079422,5526,5526,5526
5525.92177152318,3557.25242718447,5526,4488.72602268821,3309.71699511039,5343.21100713012
5526,4456.34333446983,5526,5526,4742.70130497825,5526
5526,5526,5526,5526,5525.17585089141,5526
5526,5526,5313.097899729,4552.10631229236,5474.16021746083,5526
5500.86217948718,2882.69225764476,5337.84696356275,NA,4396,5493.03213166144
5526,5526,5360.96326530612,5304.70073430241,5525.8140399814,5526
5526,5470.19021406728,NA,5526,5526,NA
NA,5085.09381139489,4421,5325.13407821229,4127.48697478992,4216.30700753253
5526,5526,NA,5525.84832726642,5526,5526
NA,3606.56382978723,3634.71325709445,3953.87351190476,5526,5526
5526,NA,3106.90950226244,5274.1858974359,NA,5526
5519.56949960286,5526,5526,5526,3364.25509533202,5526
5526,4901.76832706767,3717,5526,2037.09460278957,NA
5526,NA,NA,NA,5469.50649350649,5525.98097412481
NA,2143.60869565217,NA,NA,2350.46185147508,800.603571428571
NA,5526,4929.18740777177,3230.69547614857,1442.54139863042,NA
5526,5526,5281.10023155805,NA,4892.73146292585,5526
5526,5526,5526,5526,5526,5526
5526,3168.98792756539,2132.82572298326,5526,4521,5526
5526,NA,NA,5526,5526,4472.18234375
3171.99487704918,NA,NA,3246.73284200829,4219.2,4024.32634833391
5341.2059052059,4037.37391059882,NA,5526,4363.34135514019,5526
4053.86240374958,NA,3175.82776248525,2465.13933649289,3969,4984.99455603529
5526,5526,5526,NA,5524.73705926482,5526
5086.83333333333,NA,5526,4717.62008733624,NA,5526
5245.39300291545,NA,NA,5526,NA,5526
NA,NA,NA,3362,4722,5526
3688.2625698324,5526,NA,NA,5423.25748310267,5414.26935558646
5526,5526,NA,4240.04174950298,NA,5097.88056645624
4400.21439848437,4788.79340659341,2775.32836438923,3517,1542.86712898752,5526
4796.65957446809,5526,4826.46127946128,2688.02602934217,3621.87029623699,5526
4995.02710975076,5526,NA,NA,5526,5526
NA,2795.44424841214,NA,NA,1254.59610705596,3801.16459810875
5526,NA,5275.11004784689,NA,3817.36013179572,5526
2388.40305843801,5526,NA,NA,4728.98109810981,2802.16782729805
5526,NA,NA,NA,NA,5526
4421,4999,4398.84406482698,NA,4253.05772870662,5526
NA,5526,2865.6269035533,NA,5526,5526
5526,NA,5526,NA,5526,5526
