"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6357,16431939,14778078,1653861,623124,398763,631974,4388,149,4239,4438,194,4244,1144480
2011,7568,7568,7578,6322,25705182,21192010,4513172,2274518,812647,1426007,1689,197,1492,1725,232,1493,6799751
2012,7568,7568,7578,6323,15111875,13574535,1537340,146524,489393,901423,4655,162,4493,4704,204,4500,989639
2013,7568,7568,7578,6322,29391143,23603985,5787158,3219739,1083779,1483640,980,201,779,1018,237,781,7030071
2014,7568,7568,7578,6320,22281884,18541375,3740509,1972494,660653,1107362,663,190,473,699,226,473,15910867
2015,7568,7568,7578,6314,40732146,33724411,7007735,3683460,1187683,2136592,197,188,9,235,226,9,0
2016,7568,7568,7578,6272,8319024,7624724,694300,462520,137025,94755,214,183,31,258,227,31,32394440
2017,7568,7568,7578,6268,29932428,25591853,4340575,1359783,925843,2054949,2151,175,1976,2200,219,1981,1914
2018,7568,7568,7578,6350,13384413,11979796,1404617,227212,275096,902309,4692,142,4550,4741,183,4558,2518991
2019,7568,7568,7578,6288,34764066,30606934,4157132,1412851,774416,1969865,1277,188,1089,1325,232,1093,0
2020,7568,7568,7578,6314,35366400,32750206,2616194,1105676,476787,1033731,1168,197,971,1205,233,972,0
2021,7568,7568,7578,6317,25730959,21149858,4581101,2446562,874332,1260207,727,191,536,766,229,537,12100990
2022,7568,7568,7578,6268,19680113,16198238,3481875,2278148,666235,537492,1127,189,938,1173,233,940,15952242
2023,7568,7568,7578,6310,29746458,27777943,1968515,869743,418059,680713,2185,193,1992,2228,230,1998,0
2024,7568,7568,7578,6324,18628299,18505309,122990,37108,27554,58328,3343,181,3162,3385,217,3168,4735431
2025,7568,7568,7578,6285,29858607,25857960,4000647,2349882,820787,829978,1132,185,947,1184,232,952,5718862
2026,7568,7568,7578,6337,11220882,10000649,1220233,209919,262564,747750,4312,157,4155,4360,196,4164,6798604
2027,7568,7568,7578,6449,13953150,12974803,978347,17696,218014,742637,5043,112,4931,5098,161,4937,0
2028,7568,7568,7578,7571,71838,46980,24858,687,5359,18812,7555,22,7533,7567,25,7542,0
2029,7568,7568,7578,6643,9454986,8793197,661789,25315,139295,497179,5857,114,5743,5878,129,5749,0
2030,7568,7568,7578,6322,20378078,17038793,3339285,1346706,695325,1297254,2403,186,2217,2443,222,2221,8186924
2031,7568,7568,7578,6286,37480530,30352902,7127628,3638074,1660775,1828779,785,186,599,831,231,600,2328
2032,7568,7568,7578,6355,17226513,15008818,2217695,727679,474468,1015548,4294,155,4139,4338,194,4144,868625
2033,7568,7568,7578,6312,37306026,30552632,6753394,3256711,1543182,1953501,817,187,630,859,227,632,0
2034,7568,7568,7578,6572,13577382,12089413,1487969,341110,340804,806055,5111,120,4991,5134,137,4997,0
2035,7568,7568,7578,6281,25760137,21464541,4295596,1592651,966470,1736475,2906,181,2725,2953,223,2730,2075
2036,7568,7568,7578,6324,33504138,28786155,4717983,1753681,822000,2142302,1505,195,1310,1543,228,1315,0
2037,7568,7568,7578,6365,12871924,11778097,1093827,124610,241430,727787,4503,150,4353,4554,192,4362,4080895
2038,7568,7568,7578,6310,27110556,22605634,4504922,1761515,964659,1778748,2662,182,2480,2706,222,2484,0
2039,7568,7568,7578,6304,20518038,17337044,3180994,1111349,722951,1346694,3855,182,3673,3904,225,3679,0
2040,7568,7568,7578,6344,14408425,12838560,1569865,357298,398850,813717,3819,159,3660,3866,202,3664,6328041
2041,7568,7568,7578,6335,24778584,21983373,2795211,839596,683726,1271889,3084,191,2893,3126,227,2899,0
2042,7568,7568,7578,7522,513918,297431,216487,26106,48322,142059,7475,12,7463,7487,16,7471,0
2043,7568,7568,7578,6456,14378652,12852152,1526500,247554,467892,811054,4966,140,4826,5010,180,4830,0
2044,7568,7568,7578,7473,914823,687224,227599,8294,62890,156415,7391,36,7355,7400,40,7360,63279
2045,7568,7568,7578,7578,0,0,0,0,0,0,7568,23,7545,7578,27,7551,0
