"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,17414755,3081738,1397776,0,608085,4988628,7338528,0,529491,309402,34922,0,0,0,185167,0,3591,2305
2011,9306924,1216977,671435,0,326661,2606847,4485004,0,237335,148510,332,0,0,0,88493,0,3055,1783
2012,32834728,11090190,4379120,0,2468917,7403245,7493256,0,1352675,792663,84505,0,0,0,475507,0,7352,6050
2013,32693782,10916357,6632065,0,561165,7030153,7554042,0,1558860,771129,323295,0,0,0,464436,0,7364,6082
2014,1402481,503535,200167,0,28878,669901,0,0,100736,53558,15513,0,0,0,31665,0,329,142
2015,18695945,3816251,2343920,0,487096,5038930,7009748,0,545415,268130,116119,0,0,0,161166,0,4255,2971
2016,17221283,2918409,1494749,0,467400,4957989,7382736,0,636826,217683,286899,0,0,0,132244,0,3461,2172
2017,71518,54037,17481,0,0,0,0,0,14406,6756,3675,0,0,0,3975,0,29,10
2018,15161321,3087829,1310414,0,173292,4047002,6542784,0,802085,316696,293810,0,0,0,191579,0,3217,2023
2019,7912760,916303,315949,0,0,2381280,4299228,0,167181,74222,48395,0,0,0,44564,0,1548,656
2020,32886218,9177244,6467174,0,2653107,7062281,7526412,0,966470,544278,95591,0,0,0,326601,0,6924,5640
2021,15693236,2659913,1550092,0,30944,4318221,7134066,0,500879,201024,178429,0,0,0,121426,0,3172,1906
2022,13430790,2278785,1103266,0,11672,3552867,6484200,0,490445,191908,182625,0,0,0,115912,0,2862,1647
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1444398,485186,227401,0,94173,637638,0,0,65446,29621,18269,0,0,0,17556,0,313,132
2025,3234508,678995,205898,0,79415,1468930,801270,0,113094,64773,9832,0,0,0,38489,0,675,293
2026,30258646,9420655,4532716,0,771235,8010726,7523314,0,1970591,729207,798236,0,0,0,443148,0,6983,6107
2027,1281211,467102,223413,0,18305,572391,0,0,92133,40707,27184,0,0,0,24242,0,294,119
2028,107860,68949,37260,0,1651,0,0,0,29298,15242,5099,0,0,0,8957,0,39,15
2029,4209531,444439,223532,0,59128,1357092,2125340,0,54672,32568,2945,0,0,0,19159,0,1367,569
2030,12554584,1860136,1111606,0,576239,3154569,5852034,0,314339,110880,136421,0,0,0,67038,0,2456,1360
2031,29910,17004,9202,0,3704,0,0,0,5741,1589,3435,0,0,0,717,0,8,3
2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2033,7498881,1031542,451693,0,39828,1953510,4022308,0,178982,95908,25876,0,0,0,57198,0,2526,1311
2034,25072683,6363244,5605220,0,477633,5754859,6871727,0,1206465,390474,577699,0,0,0,238292,0,5858,4571
2035,72313,55711,12269,0,4333,0,0,0,12650,6100,3015,0,0,0,3535,0,26,10
2036,286446,183010,58655,0,44781,0,0,0,49174,21883,14201,0,0,0,13090,0,97,39
2037,22263423,3446807,2082503,0,2984873,6421764,7327476,0,546978,299057,68698,0,0,0,179223,0,4489,3212
2038,15238727,2356592,1572558,0,107954,4073083,7128540,0,270178,95414,117103,0,0,0,57661,0,2954,1684
2039,121404,62307,40869,0,18228,0,0,0,6871,2113,3522,0,0,0,1236,0,27,13
2040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2041,11162750,1450184,1407637,0,390231,2648420,5266278,0,128523,50252,48046,0,0,0,30225,0,2130,1112
2042,1381,960,234,0,187,0,0,0,103,34,51,0,0,0,18,0,1,0
2043,1021286,405529,151194,0,194406,270157,0,0,104953,57224,13889,0,0,0,33840,0,256,104
2044,12046484,1409165,1108787,0,229480,2893305,6405747,0,293339,138973,71196,0,0,0,83170,0,2422,1236
2045,22277496,4545952,2582744,0,1993575,5706177,7449048,0,551438,272545,115130,0,0,0,163763,0,4456,3168
2046,10492409,1431650,959245,0,248331,2492963,5360220,0,336750,175003,57006,0,0,0,104741,0,2128,1096
2047,17164635,3025534,1902226,0,288924,4681261,7266690,0,560423,309150,65894,0,0,0,185379,0,3555,2278
2048,12773993,2451230,1288051,0,522198,3324188,5188326,0,367311,192394,59699,0,0,0,115218,0,3657,2395
2049,1018429,421188,182873,0,0,414368,0,0,111842,63363,10875,0,0,0,37604,0,264,103
2050,545907,275376,209659,0,50184,10688,0,0,76488,27185,32996,0,0,0,16307,0,146,56
2051,3155,2170,523,0,462,0,0,0,539,148,318,0,0,0,73,0,1,0
2052,13500,7216,1729,0,4555,0,0,0,343,242,1,0,0,0,100,0,5,1
2053,11498428,1545167,1166507,0,72529,3009229,5704996,0,415193,206165,85425,0,0,0,123603,0,2907,1619
2054,8453060,1325614,1181364,0,11742,2020729,3913611,0,318949,162014,59925,0,0,0,97010,0,2406,1386
2055,3378,2295,1028,0,55,0,0,0,437,141,225,0,0,0,71,0,1,0
2056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2057,7956429,1015816,428135,0,37168,2325284,4150026,0,178685,79672,51364,0,0,0,47649,0,1564,692
2058,9219972,1270471,892199,0,438117,2115495,4503690,0,266611,120382,73987,0,0,0,72242,0,1829,911
2059,3605073,458417,298911,0,380,978257,1869108,0,94704,31939,43890,0,0,0,18875,0,1664,765
2060,1900205,422649,288055,0,108695,926078,154728,0,75321,34450,20340,0,0,0,20531,0,396,155
2061,10382103,1485992,1028924,0,175227,2552780,5139180,0,254284,93861,103749,0,0,0,56674,0,2050,1051
2062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2064,1521544,518356,240250,0,61063,696349,5526,0,122863,48488,45266,0,0,0,29109,0,347,155
2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
