"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6328,19843866,17414755,2429111,880670,529491,1018950,3977,159,3818,4023,198,3825,0,2010,17414755,3081738,1397776,0,608085,4988628,7338528,0,529491,309402,34922,0,0,0,185167,0,3591,2305
2011,7568,7568,7578,6343,10384606,9306924,1077682,377736,237335,462611,4513,142,4371,4560,180,4380,6524280,2011,9306924,1216977,671435,0,326661,2606847,4485004,0,237335,148510,332,0,0,0,88493,0,3055,1783
2012,7568,7568,7578,6309,40627152,32834728,7792424,4063019,1352675,2376730,216,185,31,259,226,33,0,2012,32834728,11090190,4379120,0,2468917,7403245,7493256,0,1352675,792663,84505,0,0,0,475507,0,7352,6050
2013,7568,7568,7578,6322,40693464,32693782,7999682,3960409,1558860,2480413,204,190,14,240,226,14,0,2013,32693782,10916357,6632065,0,561165,7030153,7554042,0,1558860,771129,323295,0,0,0,464436,0,7364,6082
2014,7568,7568,7578,7381,1818054,1402481,415573,35423,100736,279414,7239,80,7159,7239,74,7165,0,2014,1402481,503535,200167,0,28878,669901,0,0,100736,53558,15513,0,0,0,31665,0,329,142
2015,7568,7568,7578,6325,21185533,18695945,2489588,683750,545415,1260423,3313,171,3142,3354,207,3147,2330257,2015,18695945,3816251,2343920,0,487096,5038930,7009748,0,545415,268130,116119,0,0,0,161166,0,4255,2971
2016,7568,7568,7578,6324,19125486,17221283,1904203,370443,636826,896934,4107,164,3943,4152,198,3954,0,2016,17221283,2918409,1494749,0,467400,4957989,7382736,0,636826,217683,286899,0,0,0,132244,0,3461,2172
2017,7568,7568,7578,7559,123105,71518,51587,5268,14406,31913,7539,36,7503,7549,41,7508,37149,2017,71518,54037,17481,0,0,0,0,0,14406,6756,3675,0,0,0,3975,0,29,10
2018,7568,7568,7578,6422,17777142,15161321,2615821,789065,802085,1024671,4351,170,4181,4399,209,4190,0,2018,15161321,3087829,1310414,0,173292,4047002,6542784,0,802085,316696,293810,0,0,0,191579,0,3217,2023
2019,7568,7568,7578,6700,8554248,7912760,641488,37238,167181,437069,6020,103,5917,6044,117,5927,0,2019,7912760,916303,315949,0,0,2381280,4299228,0,167181,74222,48395,0,0,0,44564,0,1548,656
2020,7568,7568,7578,6322,38262024,32886218,5375806,2584937,966470,1824399,644,198,446,682,233,449,0,2020,32886218,9177244,6467174,0,2653107,7062281,7526412,0,966470,544278,95591,0,0,0,326601,0,6924,5640
2021,7568,7568,7578,6346,17527980,15693236,1834744,204015,500879,1129850,4396,156,4240,4440,195,4245,492,2021,15693236,2659913,1550092,0,30944,4318221,7134066,0,500879,201024,178429,0,0,0,121426,0,3172,1906
2022,7568,7568,7578,6404,15122539,13430790,1691749,215391,490445,985913,4706,153,4553,4757,200,4557,695312,2022,13430790,2278785,1103266,0,11672,3552867,6484200,0,490445,191908,182625,0,0,0,115912,0,2862,1647
2023,7568,7568,7578,7578,0,0,0,0,0,0,7568,45,7523,7578,49,7529,0,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,7568,7568,7578,7390,1729638,1444398,285240,2808,65446,216986,7255,64,7191,7258,62,7196,0,2024,1444398,485186,227401,0,94173,637638,0,0,65446,29621,18269,0,0,0,17556,0,313,132
2025,7568,7568,7578,7207,3730050,3234508,495542,57788,113094,324660,6893,71,6822,6914,88,6826,0,2025,3234508,678995,205898,0,79415,1468930,801270,0,113094,64773,9832,0,0,0,38489,0,675,293
2026,7568,7568,7578,6730,37622999,30258646,7364353,3468513,1970591,1925249,585,193,392,623,231,392,965411,2026,30258646,9420655,4532716,0,771235,8010726,7523314,0,1970591,729207,798236,0,0,0,443148,0,6983,6107
2027,7568,7568,7578,7400,1624644,1281211,343433,12777,92133,238523,7274,40,7234,7281,40,7241,0,2027,1281211,467102,223413,0,18305,572391,0,0,92133,40707,27184,0,0,0,24242,0,294,119
2028,7568,7568,7578,7553,205725,107860,97865,40903,29298,27664,7529,32,7497,7538,36,7502,9789,2028,107860,68949,37260,0,1651,0,0,0,29298,15242,5099,0,0,0,8957,0,39,15
2029,7568,7568,7578,6786,4492714,4209531,283183,13970,54672,214541,6201,108,6093,6217,116,6101,3076980,2029,4209531,444439,223532,0,59128,1357092,2125340,0,54672,32568,2945,0,0,0,19159,0,1367,569
2030,7568,7568,7578,6503,13571856,12554584,1017272,117030,314339,585903,5112,130,4982,5143,152,4991,0,2030,12554584,1860136,1111606,0,576239,3154569,5852034,0,314339,110880,136421,0,0,0,67038,0,2456,1360
2031,7568,7568,7578,7573,44208,29910,14298,1010,5741,7547,7560,26,7534,7570,34,7536,0,2031,29910,17004,9202,0,3704,0,0,0,5741,1589,3435,0,0,0,717,0,8,3
2032,7568,7568,7578,7578,0,0,0,0,0,0,7568,42,7526,7578,47,7531,0,2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2033,7568,7568,7578,6404,8272692,7498881,773811,100740,178982,494089,5042,144,4898,5093,188,4905,5712504,2033,7498881,1031542,451693,0,39828,1953510,4022308,0,178982,95908,25876,0,0,0,57198,0,2526,1311
2034,7568,7568,7578,6318,29225535,25072683,4152852,1497448,1206465,1448939,1710,197,1513,1747,232,1515,3154011,2034,25072683,6363244,5605220,0,477633,5754859,6871727,0,1206465,390474,577699,0,0,0,238292,0,5858,4571
2035,7568,7568,7578,7562,122122,72313,49809,2857,12650,34302,7542,43,7499,7552,48,7504,21554,2035,72313,55711,12269,0,4333,0,0,0,12650,6100,3015,0,0,0,3535,0,26,10
2036,7568,7568,7578,7517,455234,286446,168788,15808,49174,103806,7471,58,7413,7478,63,7415,80788,2036,286446,183010,58655,0,44781,0,0,0,49174,21883,14201,0,0,0,13090,0,97,39
2037,7568,7568,7578,6336,24806214,22263423,2542791,1106796,546978,889017,3079,165,2914,3124,207,2917,0,2037,22263423,3446807,2082503,0,2984873,6421764,7327476,0,546978,299057,68698,0,0,0,179223,0,4489,3212
2038,7568,7568,7578,6347,16323804,15238727,1085077,24161,270178,790738,4614,151,4463,4663,192,4471,0,2038,15238727,2356592,1572558,0,107954,4073083,7128540,0,270178,95414,117103,0,0,0,57661,0,2954,1684
2039,7568,7568,7578,7563,149202,121404,27798,0,6871,20927,7541,56,7485,7550,60,7490,0,2039,121404,62307,40869,0,18228,0,0,0,6871,2113,3522,0,0,0,1236,0,27,13
2040,7568,7568,7578,7578,0,0,0,0,0,0,7568,28,7540,7578,34,7544,0,2040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2041,7568,7568,7578,6576,11770380,11162750,607630,3940,128523,475167,5438,139,5299,5464,159,5305,0,2041,11162750,1450184,1407637,0,390231,2648420,5266278,0,128523,50252,48046,0,0,0,30225,0,2130,1112
2042,7568,7568,7578,7578,2085,1381,704,0,103,601,7567,39,7528,7578,42,7536,3441,2042,1381,960,234,0,187,0,0,0,103,34,51,0,0,0,18,0,1,0
2043,7568,7568,7578,7425,1414656,1021286,393370,104016,104953,184401,7312,68,7244,7321,71,7250,0,2043,1021286,405529,151194,0,194406,270157,0,0,104953,57224,13889,0,0,0,33840,0,256,104
