"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6324,31779288,26439709,5339579,2597646,929816,1812117,1814,191,1623,1853,228,1625,17316
2011,7568,7568,7578,6313,31492674,27077853,4414821,2158966,799661,1456194,1869,199,1670,1909,235,1674,0
2012,7568,7568,7578,6313,35966697,29317466,6649231,3150947,1386640,2111644,1055,191,864,1092,228,864,24141
2013,7568,7568,7578,6323,30768768,25903776,4864992,1628619,1541843,1694530,2000,192,1808,2039,228,1811,0
2014,7568,7568,7578,7576,16578,9763,6815,109,1652,5054,7565,24,7541,7575,19,7556,0
2015,7568,7568,7578,6377,17821350,16295864,1525486,255877,304584,965025,4343,155,4188,4386,192,4194,0
2016,7568,7568,7578,6381,104994,98864,6130,4686,659,785,5090,142,4948,5139,183,4956,13654746
2017,7568,7568,7578,6322,40109542,33887773,6221769,3889741,1246055,1085973,302,190,112,338,226,112,42374
2018,7568,7568,7578,6322,32183424,27043212,5140212,2510663,1241966,1387583,1744,197,1547,1784,232,1552,0
2019,7568,7568,7578,7573,44208,25110,19098,3838,5537,9723,7560,56,7504,7570,66,7504,0
2020,7568,7568,7578,7454,1127304,796377,330927,48376,84238,198313,7364,41,7323,7373,44,7329,0
2021,7568,7568,7578,6325,21860856,19440768,2420088,349534,574470,1496084,3612,163,3449,3655,198,3457,0
2022,7568,7568,7578,6666,10029690,8977301,1052389,220183,291553,540653,5753,120,5633,5775,134,5641,0
2023,7568,7568,7578,6322,29585372,24791596,4793776,2079018,817675,1897083,1412,202,1210,1448,236,1212,4442452
2024,7568,7568,7578,6341,21871908,20132514,1739394,348345,358199,1032850,3610,166,3444,3658,208,3450,0
2025,7568,7568,7578,6326,7756388,6692880,1063508,337281,250802,475425,2882,171,2711,2922,205,2717,18194885
2026,7568,7568,7578,6323,34012530,27971893,6040637,2833618,1251727,1955292,1413,189,1224,1451,226,1225,0
2027,7568,7568,7578,6323,26441910,21583785,4858125,2123500,1224666,1509959,2783,182,2601,2823,218,2605,0
2028,7568,7568,7578,7177,4100292,3650366,449926,4938,120056,324932,6826,81,6745,6862,110,6752,0
2029,7568,7568,7578,7038,5614416,5202278,412138,5446,98332,308360,6552,87,6465,6577,105,6472,0
2030,7568,7568,7578,7578,0,0,0,0,0,0,7568,10,7558,7578,13,7565,0
2031,7568,7568,7578,6322,38267550,29782997,8484553,4795389,1536888,2152276,643,194,449,680,230,450,0
2032,7568,7568,7578,6540,11151468,10232328,919140,35825,236558,646757,5550,117,5433,5572,133,5439,0
2033,7568,7568,7578,7350,2005588,1690095,315493,41894,74642,198957,7205,61,7144,7206,56,7150,350
2034,7568,7568,7578,6329,20002239,17197741,2804498,904252,774491,1125755,3608,169,3439,3653,208,3445,1886728
2035,7568,7568,7578,7571,71838,39454,32384,5672,9200,17512,7555,53,7502,7567,61,7506,0
2036,7568,7568,7578,6478,9056540,8299435,757105,85921,208162,463022,5184,96,5088,5227,132,5095,4135957
2037,7568,7568,7578,6323,17160231,14543030,2617201,888897,548270,1180034,3168,169,2999,3210,204,3006,7178584
2038,7568,7568,7578,6370,19661508,16613593,3047915,1166965,706766,1174184,4010,152,3858,4060,194,3866,0
2039,7568,7568,7578,6482,12473018,11358232,1114786,261300,242919,610567,5188,114,5074,5222,144,5078,681898
2040,7568,7568,7578,6333,26430858,22098664,4332194,1629761,1282996,1419437,2785,183,2602,2827,222,2605,0
2041,7568,7568,7578,7568,47024,25937,21087,6926,4487,9674,7552,81,7471,7563,89,7474,41392
2042,7568,7568,7578,6340,16589052,14639224,1949828,418855,625370,905603,4566,158,4408,4613,198,4415,0
2043,7568,7568,7578,6836,7299846,6711552,588294,50893,174461,362940,6247,93,6154,6274,111,6163,0
2044,7568,7568,7578,7576,19392,12270,7122,187,1429,5506,7564,40,7524,7575,48,7527,2712
2045,7568,7568,7578,7578,0,0,0,0,0,0,7568,35,7533,7578,38,7540,0
2046,7568,7568,7578,6381,13988643,12660163,1328480,399547,343395,585538,4731,135,4596,4779,180,4599,1695908
2047,7568,7568,7578,6683,3790712,3669243,121469,14117,27655,79697,5932,111,5821,5955,128,5827,5281724
2048,7568,7568,7578,6325,19429416,17722083,1707333,241674,445387,1020272,4052,156,3896,4098,192,3906,0
2049,7568,7568,7578,7578,0,0,0,0,0,0,7568,35,7533,7578,39,7539,0
2050,7568,7568,7578,7578,0,0,0,0,0,0,7568,15,7553,7578,3,7575,0
2051,7568,7568,7578,6345,19683612,17248755,2434857,743739,734816,956302,4006,163,3843,4048,199,3849,0
2052,7568,7568,7578,7065,3589718,3225746,363972,65996,99148,198828,6646,76,6570,6670,92,6578,1511786
2053,7568,7568,7578,6430,17655570,14882031,2773539,974023,638123,1161393,4373,146,4227,4428,196,4232,0
2054,7568,7568,7578,7130,2410132,2218345,191787,3134,45216,143437,6775,67,6708,6805,95,6710,1981934
2055,7568,7568,7578,6688,8885808,8093411,792397,144376,232717,415304,5960,110,5850,5980,125,5855,0
2056,7568,7568,7578,6507,13223718,11960394,1263324,239587,323559,700178,5175,145,5030,5204,169,5035,0
2057,7568,7568,7578,7251,3011670,2644881,366789,34955,107127,224707,7023,64,6959,7030,67,6963,0
2058,7568,7568,7578,7573,30114,19528,10586,2331,3695,4560,7561,34,7527,7570,36,7534,8568
2059,7568,7568,7578,7578,0,0,0,0,0,0,7568,8,7560,7578,12,7566,0
2060,7568,7568,7578,7578,0,0,0,0,0,0,7568,25,7543,7578,28,7550,0
2061,7568,7568,7578,6572,4700117,4351910,348207,92785,113399,142023,5697,100,5597,5727,126,5601,5669169
2062,7568,7568,7578,7088,4907088,4406103,500985,41053,122320,337612,6680,62,6618,6712,82,6630,0
2063,7568,7568,7578,7436,1270980,868296,402684,64209,114594,223881,7338,56,7282,7347,61,7286,0
2064,7568,7568,7578,6349,15721194,13701903,2019291,749409,827800,442082,4265,150,4115,4315,195,4120,2540424
2065,7568,7568,7578,7578,0,0,0,0,0,0,7568,20,7548,7578,13,7565,0
2066,7568,7568,7578,7574,17080,8826,8254,1959,1986,4309,7563,40,7523,7572,43,7529,10550
2067,7568,7568,7578,7546,175850,94940,80910,22603,22764,35543,7518,38,7480,7527,42,7485,100450
2068,7568,7568,7578,7152,3945820,3535073,410747,115844,135374,159529,6833,99,6734,6863,121,6742,116394
2069,7568,7568,7578,6828,3031210,2843063,188147,11113,67699,109335,6221,99,6122,6241,109,6132,4430351
2070,7568,7568,7578,7578,0,0,0,0,0,0,7568,24,7544,7578,28,7550,0
2071,7568,7568,7578,7494,314750,177066,137684,41066,42969,53649,7433,38,7395,7442,46,7396,431260
2072,7568,7568,7578,7578,0,0,0,0,0,0,7568,2,7566,7578,3,7575,0
2073,7568,7568,7578,7578,0,0,0,0,0,0,7568,0,7568,7578,0,7578,0
2074,7568,7568,7578,7578,0,0,0,0,0,0,7568,40,7528,7578,44,7534,0
2075,7568,7568,7578,7578,0,0,0,0,0,0,7568,10,7558,7578,13,7565,0
2076,7568,7568,7578,7578,0,0,0,0,0,0,7568,9,7559,7578,12,7566,0
2077,7568,7568,7578,7578,0,0,0,0,0,0,7568,21,7547,7578,25,7553,0
2078,7568,7568,7578,7578,0,0,0,0,0,0,7568,21,7547,7578,23,7555,0
2079,7568,7568,7578,7578,0,0,0,0,0,0,7568,9,7559,7578,12,7566,0
2080,7568,7568,7578,7578,0,0,0,0,0,0,7568,24,7544,7578,24,7554,0
2081,7568,7568,7578,7578,0,0,0,0,0,0,7568,43,7525,7578,47,7531,0
