"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,26439709,6925493,2864070,0,2553529,6664147,7432470,0,929816,578931,4084,0,0,0,346801,0,5754,4471
2011,27077853,7158558,2262269,0,2942591,7243283,7471152,0,799661,499278,1399,0,0,0,298984,0,5699,4404
2012,29317466,8966170,5461397,0,576527,6836694,7476678,0,1386640,662358,324952,0,0,0,399330,0,6513,5221
2013,25903776,7440211,3854218,0,516695,6643604,7449048,0,1541843,451998,812746,0,0,0,277099,0,5568,4284
2014,9763,7216,1396,0,1151,0,0,0,1652,547,877,0,0,0,228,0,3,1
2015,16295864,2919446,1199767,0,813121,4494712,6868818,0,304584,171138,31159,0,0,0,102287,0,3225,1991
2016,98864,11844,41449,0,0,45571,0,0,659,373,120,0,0,0,166,0,2478,1242
2017,33887773,9212749,4337490,0,5707140,7148190,7482204,0,1246055,692324,137981,0,0,0,415750,0,7266,5984
2018,27043212,7031895,3207522,0,2359208,6967909,7476678,0,1241966,567522,331908,0,0,0,342536,0,5824,4538
2019,25110,18110,7000,0,0,0,0,0,5537,2539,1822,0,0,0,1176,0,8,3
2020,796377,359354,113635,0,99459,223929,0,0,84238,44908,12870,0,0,0,26460,0,204,81
2021,19440768,4398458,2147771,0,220985,5290818,7382736,0,574470,214640,229679,0,0,0,130151,0,3956,2670
2022,8977301,1237756,516298,0,276407,2271844,4674996,0,291553,138532,69942,0,0,0,83079,0,1815,891
2023,24791596,7153425,4026975,0,603382,6061584,6946230,0,817675,483167,44870,0,0,0,289638,0,6156,4874
2024,20132514,3939381,2587335,0,1356094,5071430,7178274,0,358199,158673,104003,0,0,0,95523,0,3958,2683
2025,6692880,1365660,491269,0,137703,1936527,2761721,0,250802,120583,58155,0,0,0,72064,0,4686,3404
2026,27971893,8056985,2566581,0,2237972,7495527,7614828,0,1251727,623529,252770,0,0,0,375428,0,6155,4872
2027,21583785,5596092,1833029,0,213996,6502672,7437996,0,1224666,546332,348398,0,0,0,329936,0,4785,3500
2028,3650366,745496,349603,0,0,1693211,862056,0,120056,45134,47752,0,0,0,27170,0,742,315
2029,5202278,795550,403006,0,185218,1967294,1851210,0,98332,40174,34129,0,0,0,24029,0,1016,461
2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031,29782997,9686828,3913730,0,901476,7632979,7647984,0,1536888,883018,123797,0,0,0,530073,0,6925,5642
2032,10232328,1474512,733489,0,15,2476208,5548104,0,236558,99507,77245,0,0,0,59806,0,2018,968
2033,1690095,387429,306742,0,99392,797064,99468,0,74642,42411,7220,0,0,0,25011,0,363,144
2034,17197741,3534591,1993865,0,132922,4713884,6822479,0,774491,316317,266971,0,0,0,191203,0,3960,2676
2035,39454,29682,8005,0,1767,0,0,0,9200,4469,2258,0,0,0,2473,0,13,4
2036,8299435,1102503,404249,0,299297,2181540,4311846,0,208162,88561,66578,0,0,0,53023,0,2384,1251
2037,14543030,3278872,1256008,0,281948,4315988,5410214,0,548270,296740,73636,0,0,0,177894,0,4400,3113
2038,16613593,3500742,1561859,0,240753,4353005,6957234,0,706766,364667,123092,0,0,0,219007,0,3558,2310
2039,11358232,1461218,786930,0,493927,2872657,5743500,0,242919,148752,5448,0,0,0,88719,0,2380,1260
2040,22098664,5867566,2326768,0,526425,6061481,7316424,0,1282996,463021,538526,0,0,0,281449,0,4783,3506
2041,25937,16859,7412,0,1666,0,0,0,4487,2990,353,0,0,0,1144,0,16,5
2042,14639224,2333471,1054094,0,11422,4073015,7167222,0,625370,243330,234830,0,0,0,147210,0,3002,1727
2043,6711552,817539,426468,0,67688,2172673,3227184,0,174461,70433,61590,0,0,0,42438,0,1321,562
2044,12270,8264,2099,0,1907,0,0,0,1429,599,598,0,0,0,232,0,4,1
2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2046,12660163,1571740,1208512,0,657733,2881603,6340575,0,343395,177023,60372,0,0,0,106000,0,2837,1602
2047,3669243,349131,383768,0,156390,901810,1878144,0,27655,14156,5430,0,0,0,8069,0,1636,728
2048,17722083,3153096,2058582,0,124219,5025554,7360632,0,445387,169737,172983,0,0,0,102667,0,3516,2227
2049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2051,17248755,3173496,1190049,0,1052837,4720411,7111962,0,734816,293435,264032,0,0,0,177349,0,3562,2297
2052,3225746,457322,242209,0,82755,1380671,1062789,0,99148,49047,20917,0,0,0,29184,0,922,395
2053,14882031,3108835,1178141,0,140391,3867672,6586992,0,638123,340769,92839,0,0,0,204515,0,3195,2002
2054,2218345,338621,223869,0,49359,980462,626034,0,45216,20255,13175,0,0,0,11786,0,793,325
2055,8093411,934122,513174,0,0,2252945,4393170,0,232717,104194,66071,0,0,0,62452,0,1608,708
2056,11960394,1645610,976130,0,541758,2961440,5835456,0,323559,158058,70775,0,0,0,94726,0,2393,1303
2057,2644881,485122,218746,0,106046,1370783,464184,0,107127,47875,30773,0,0,0,28479,0,545,221
2058,19528,10065,7791,0,1672,0,0,0,3695,1055,2265,0,0,0,375,0,7,3
2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2061,4351910,401480,414151,0,105662,1014073,2416544,0,113399,47534,37656,0,0,0,28209,0,1871,845
2062,4406103,692858,330701,0,78933,1900007,1403604,0,122320,61983,23304,0,0,0,37033,0,888,376
2063,868296,409759,153184,0,16678,288675,0,0,114594,55005,26882,0,0,0,32707,0,230,89
2064,13701903,2167457,1223705,0,430426,3663468,6216847,0,827800,252715,420820,0,0,0,154265,0,3303,2034
2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2066,8826,6773,1916,0,137,0,0,0,1986,676,1052,0,0,0,258,0,5,2
2067,94940,67487,25389,0,2064,0,0,0,22764,11942,3773,0,0,0,7049,0,50,19
2068,3535073,457391,542578,0,54328,1513276,967500,0,135374,60288,39229,0,0,0,35857,0,735,289
2069,2843063,319714,330098,0,20251,881104,1291896,0,67699,20501,35171,0,0,0,12027,0,1347,587
2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2071,177066,114127,62854,0,85,0,0,0,42969,20143,10931,0,0,0,11895,0,135,52
2072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2082,581302,207978,137454,0,155818,80052,0,0,65402,31618,15027,0,0,0,18757,0,183,69
2083,890962,282137,175884,0,0,432941,0,0,92719,45369,20181,0,0,0,27169,0,303,117
2084,11136,6661,4475,0,0,0,0,0,2304,1080,831,0,0,0,393,0,8,3
2085,49946,23740,18810,0,7396,0,0,0,11315,4666,4232,0,0,0,2417,0,33,12
2086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2091,13094,8633,4461,0,0,0,0,0,3128,1220,1499,0,0,0,409,0,18,7
2092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2098,461739,247107,154013,0,49278,11341,0,0,91355,34755,35704,0,0,0,20896,0,144,52
2099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
