"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6324,31779288,26439709,5339579,2597646,929816,1812117,1814,191,1623,1853,228,1625,17316,2010,26439709,6925493,2864070,0,2553529,6664147,7432470,0,929816,578931,4084,0,0,0,346801,0,5754,4471
2011,7568,7568,7578,6313,31492674,27077853,4414821,2158966,799661,1456194,1869,199,1670,1909,235,1674,0,2011,27077853,7158558,2262269,0,2942591,7243283,7471152,0,799661,499278,1399,0,0,0,298984,0,5699,4404
2012,7568,7568,7578,6313,35966697,29317466,6649231,3150947,1386640,2111644,1055,191,864,1092,228,864,24141,2012,29317466,8966170,5461397,0,576527,6836694,7476678,0,1386640,662358,324952,0,0,0,399330,0,6513,5221
2013,7568,7568,7578,6323,30768768,25903776,4864992,1628619,1541843,1694530,2000,192,1808,2039,228,1811,0,2013,25903776,7440211,3854218,0,516695,6643604,7449048,0,1541843,451998,812746,0,0,0,277099,0,5568,4284
2014,7568,7568,7578,7576,16578,9763,6815,109,1652,5054,7565,24,7541,7575,19,7556,0,2014,9763,7216,1396,0,1151,0,0,0,1652,547,877,0,0,0,228,0,3,1
2015,7568,7568,7578,6377,17821350,16295864,1525486,255877,304584,965025,4343,155,4188,4386,192,4194,0,2015,16295864,2919446,1199767,0,813121,4494712,6868818,0,304584,171138,31159,0,0,0,102287,0,3225,1991
2016,7568,7568,7578,6381,104994,98864,6130,4686,659,785,5090,142,4948,5139,183,4956,13654746,2016,98864,11844,41449,0,0,45571,0,0,659,373,120,0,0,0,166,0,2478,1242
2017,7568,7568,7578,6322,40109542,33887773,6221769,3889741,1246055,1085973,302,190,112,338,226,112,42374,2017,33887773,9212749,4337490,0,5707140,7148190,7482204,0,1246055,692324,137981,0,0,0,415750,0,7266,5984
2018,7568,7568,7578,6322,32183424,27043212,5140212,2510663,1241966,1387583,1744,197,1547,1784,232,1552,0,2018,27043212,7031895,3207522,0,2359208,6967909,7476678,0,1241966,567522,331908,0,0,0,342536,0,5824,4538
2019,7568,7568,7578,7573,44208,25110,19098,3838,5537,9723,7560,56,7504,7570,66,7504,0,2019,25110,18110,7000,0,0,0,0,0,5537,2539,1822,0,0,0,1176,0,8,3
2020,7568,7568,7578,7454,1127304,796377,330927,48376,84238,198313,7364,41,7323,7373,44,7329,0,2020,796377,359354,113635,0,99459,223929,0,0,84238,44908,12870,0,0,0,26460,0,204,81
2021,7568,7568,7578,6325,21860856,19440768,2420088,349534,574470,1496084,3612,163,3449,3655,198,3457,0,2021,19440768,4398458,2147771,0,220985,5290818,7382736,0,574470,214640,229679,0,0,0,130151,0,3956,2670
2022,7568,7568,7578,6666,10029690,8977301,1052389,220183,291553,540653,5753,120,5633,5775,134,5641,0,2022,8977301,1237756,516298,0,276407,2271844,4674996,0,291553,138532,69942,0,0,0,83079,0,1815,891
2023,7568,7568,7578,6322,29585372,24791596,4793776,2079018,817675,1897083,1412,202,1210,1448,236,1212,4442452,2023,24791596,7153425,4026975,0,603382,6061584,6946230,0,817675,483167,44870,0,0,0,289638,0,6156,4874
2024,7568,7568,7578,6341,21871908,20132514,1739394,348345,358199,1032850,3610,166,3444,3658,208,3450,0,2024,20132514,3939381,2587335,0,1356094,5071430,7178274,0,358199,158673,104003,0,0,0,95523,0,3958,2683
2025,7568,7568,7578,6326,7756388,6692880,1063508,337281,250802,475425,2882,171,2711,2922,205,2717,18194885,2025,6692880,1365660,491269,0,137703,1936527,2761721,0,250802,120583,58155,0,0,0,72064,0,4686,3404
2026,7568,7568,7578,6323,34012530,27971893,6040637,2833618,1251727,1955292,1413,189,1224,1451,226,1225,0,2026,27971893,8056985,2566581,0,2237972,7495527,7614828,0,1251727,623529,252770,0,0,0,375428,0,6155,4872
