"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6303,38980404,31707886,7272518,3707971,1331448,2233099,514,189,325,557,230,327,0
2011,7568,7568,7578,6322,32724972,27981920,4743052,2107561,806341,1829150,1646,194,1452,1685,230,1455,0
2012,7568,7568,7578,6296,21098268,18615513,2482755,396256,565638,1520861,3750,156,3594,3802,201,3601,0
2013,7568,7568,7578,6323,29475684,25983284,3492400,1237457,732316,1522627,2234,198,2036,2276,235,2041,0
2014,7568,7568,7578,6431,11881722,10662628,1219094,200679,318558,699857,5043,134,4909,5089,175,4914,2073488
2015,7568,7568,7578,6705,8687831,7968538,719293,25342,132335,561616,5855,112,5743,5871,119,5752,781623
2016,7568,7568,7578,6322,38930670,32975036,5955634,2808412,1227706,1919516,523,198,325,562,235,327,0
2017,7568,7568,7578,6478,7653998,7039877,614121,117314,158645,338162,5329,100,5229,5370,138,5232,4741376
2018,7568,7568,7578,6322,34073316,28012377,6060939,2775014,1088853,2197072,1402,200,1202,1441,235,1206,0
2019,7568,7568,7578,6313,37245240,30059634,7185606,3524432,1230691,2430483,828,188,640,868,226,642,0
2020,7568,7568,7578,6322,26845308,24283380,2561928,558947,542600,1460381,2710,183,2527,2752,219,2533,0
2021,7568,7568,7578,6348,18434736,16696078,1738658,442255,362331,934072,4232,169,4063,4279,208,4071,0
2022,7568,7568,7578,6337,17213490,15147063,2066427,541207,441550,1083670,4453,164,4289,4502,203,4299,0
2023,7568,7568,7578,6318,23850216,20459949,3390267,1548684,729467,1112116,3252,178,3074,3297,216,3081,0
2024,7568,7568,7578,6324,25740108,21625677,4114431,1643163,890185,1581083,2910,173,2737,2952,209,2743,0
2025,7568,7568,7578,6322,38278602,31183081,7095521,3564209,1273044,2258268,641,193,448,677,229,448,0
2026,7568,7568,7578,6323,20891611,17438333,3453278,1343292,698440,1411546,2302,189,2113,2343,225,2118,8230263
2027,7568,7568,7578,6322,36107964,31691127,4416837,1350452,813918,2252467,980,193,787,1019,229,790,297374
2028,7568,7568,7578,7503,674172,445239,228933,11699,53628,163606,7446,45,7401,7455,50,7405,0
2029,7568,7568,7578,6464,13468203,12109158,1359045,223816,304860,830369,5121,119,5002,5168,159,5009,53919
2030,7568,7568,7578,6319,29884608,24671641,5212967,2198075,888117,2126775,2160,188,1972,2200,226,1974,0
2031,7568,7568,7578,6267,31177692,26487225,4690467,2027423,941653,1721391,1926,187,1739,1975,231,1744,0
2032,7568,7568,7578,6314,37184454,30726041,6458413,3745755,1132958,1579700,839,194,645,878,231,647,0
2033,7568,7568,7578,6320,35510076,28245357,7264719,3704125,1322352,2238242,1142,182,960,1180,218,962,0
2034,7568,7568,7578,6322,30392252,23899324,6492928,3450002,1341416,1701510,1002,196,806,1041,231,810,5905638
2035,7568,7568,7578,7440,971900,672801,299099,57161,73723,168215,7342,103,7239,7353,108,7245,276976
2036,7568,7568,7578,7546,281826,173423,108403,12673,30301,65429,7517,49,7468,7527,54,7473,0
2037,7568,7568,7578,6366,17886927,15518088,2368839,1054303,550187,764349,4016,165,3851,4065,209,3856,1745590
2038,7568,7568,7578,6322,37301454,30842089,6459365,3703520,1141865,1613980,207,192,15,241,227,14,3379602
2039,7568,7568,7578,6340,18523152,16603180,1919972,268388,395919,1255665,4216,156,4060,4264,193,4071,0
2040,7568,7568,7578,7577,3648,2146,1502,158,159,1185,7566,30,7536,7577,34,7543,7404
2041,7568,7568,7578,6594,10941480,9849392,1092088,124707,224912,742469,5588,108,5480,5608,124,5484,0
2042,7568,7568,7578,6319,36702124,28065468,8636656,5204969,1663125,1768562,760,189,571,800,226,574,921527
2043,7568,7568,7578,6523,13294957,11700562,1594395,356200,408981,829214,4969,132,4837,4989,146,4843,1070989
2044,7568,7568,7578,6314,18904446,16834100,2070346,425898,549892,1094556,4147,165,3982,4192,199,3993,0
2045,7568,7568,7578,7578,0,0,0,0,0,0,7568,29,7539,7578,31,7547,0
2046,7568,7568,7578,7578,0,0,0,0,0,0,7568,37,7531,7578,40,7538,0
2047,7568,7568,7578,6322,37726002,31324581,6401421,3605471,1216256,1579694,741,191,550,778,227,551,0
2048,7568,7568,7578,6319,26707158,22007738,4699420,2139610,947114,1612696,2735,184,2551,2775,219,2556,0
2049,7568,7568,7578,7179,4514742,3701034,813708,231661,205563,376484,6751,85,6666,6786,112,6674,0
