"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6303,38980404,31707886,7272518,3707971,1331448,2233099,514,189,325,557,230,327,0,2010,31707886,9994594,6240880,0,534330,7295624,7642458,0,1331448,722920,174175,0,0,0,434353,0,7054,5746
2011,7568,7568,7578,6322,32724972,27981920,4743052,2107561,806341,1829150,1646,194,1452,1685,230,1455,0,2011,27981920,6937106,3798980,0,2400257,7158911,7686666,0,806341,500641,5810,0,0,0,299890,0,5922,4637
2012,7568,7568,7578,6296,21098268,18615513,2482755,396256,565638,1520861,3750,156,3594,3802,201,3601,0,2012,18615513,3910681,1511312,0,203695,5557355,7432470,0,565638,252490,160916,0,0,0,152232,0,3818,2494
2013,7568,7568,7578,6323,29475684,25983284,3492400,1237457,732316,1522627,2234,198,2036,2276,235,2041,0,2013,25983284,5652824,4957197,0,1205383,6646994,7520886,0,732316,349778,171831,0,0,0,210707,0,5334,4047
2014,7568,7568,7578,6431,11881722,10662628,1219094,200679,318558,699857,5043,134,4909,5089,175,4914,2073488,2014,10662628,1488283,852013,0,1086,2811568,5509678,0,318558,152322,74896,0,0,0,91340,0,2525,1342
2015,7568,7568,7578,6705,8687831,7968538,719293,25342,132335,561616,5855,112,5743,5871,119,5752,781623,2015,7968538,1250421,602714,0,35364,2184403,3895636,0,132335,72465,16830,0,0,0,43040,0,1713,834
2016,7568,7568,7578,6322,38930670,32975036,5955634,2808412,1227706,1919516,523,198,325,562,235,327,0,2016,32975036,9129842,2920970,0,4255222,8849712,7819290,0,1227706,568967,315467,0,0,0,343272,0,7045,5760
2017,7568,7568,7578,6478,7653998,7039877,614121,117314,158645,338162,5329,100,5229,5370,138,5232,4741376,2017,7039877,791398,445297,0,226701,1763881,3812600,0,158645,79091,32464,0,0,0,47090,0,2239,1108
2018,7568,7568,7578,6322,34073316,28012377,6060939,2775014,1088853,2197072,1402,200,1202,1441,235,1206,0,2018,28012377,8767022,3228675,0,1325211,7142953,7548516,0,1088853,633743,74793,0,0,0,380317,0,6166,4881
2019,7568,7568,7578,6313,37245240,30059634,7185606,3524432,1230691,2430483,828,188,640,868,226,642,0,2019,30059634,9652464,3511256,0,1811409,7513885,7570620,0,1230691,750322,30583,0,0,0,449786,0,6740,5445
2020,7568,7568,7578,6322,26845308,24283380,2561928,558947,542600,1460381,2710,183,2527,2752,219,2533,0,2020,24283380,5764189,4004777,0,1065275,6000091,7449048,0,542600,228206,176543,0,0,0,137851,0,4858,3570
2021,7568,7568,7578,6348,18434736,16696078,1738658,442255,362331,934072,4232,169,4063,4279,208,4071,0,2021,16696078,2550398,991830,0,1211742,4808042,7134066,0,362331,213939,20583,0,0,0,127809,0,3336,2069
2022,7568,7568,7578,6337,17213490,15147063,2066427,541207,441550,1083670,4453,164,4289,4502,203,4299,0,2022,15147063,2432225,1163545,0,137785,4224182,7189326,0,441550,270623,9101,0,0,0,161826,0,3115,1835
2023,7568,7568,7578,6318,23850216,20459949,3390267,1548684,729467,1112116,3252,178,3074,3297,216,3081,0,2023,20459949,4069016,1708702,0,2015219,5322958,7344054,0,729467,413255,68369,0,0,0,247843,0,4316,3021
2024,7568,7568,7578,6324,25740108,21625677,4114431,1643163,890185,1581083,2910,173,2737,2952,209,2743,0,2024,21625677,5297649,2846217,0,374948,5702023,7404840,0,890185,460644,152500,0,0,0,277041,0,4658,3372
2025,7568,7568,7578,6322,38278602,31183081,7095521,3564209,1273044,2258268,641,193,448,677,229,448,0,2025,31183081,10111745,3599580,0,2385924,7454426,7631406,0,1273044,730006,104977,0,0,0,438061,0,6927,5645
2026,7568,7568,7578,6323,20891611,17438333,3453278,1343292,698440,1411546,2302,189,2113,2343,225,2118,8230263,2026,17438333,4584958,1737074,0,311682,4998084,5806535,0,698440,364075,115590,0,0,0,218775,0,5266,3980
