"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6305,25802763,21220692,4582071,2161295,821286,1599490,1317,185,1132,1362,228,1134,8763873
2011,7568,7568,7578,6310,21693813,16835633,4858180,2888654,960355,1009171,900,189,711,941,229,712,15194028
2012,7568,7568,7578,6324,25126722,21490796,3635926,1332497,787280,1516149,3021,173,2848,3066,210,2856,0
2013,7568,7568,7578,6322,36963414,31577913,5385501,1596405,1243409,2545687,879,194,685,913,229,684,0
2014,7568,7568,7578,7530,425502,236228,189274,31660,47990,109624,7491,73,7418,7502,78,7424,0
2015,7568,7568,7578,6322,36786634,28225505,8561129,5343081,2044161,1173887,330,194,136,367,230,137,3214399
2016,7568,7568,7578,7475,562894,377372,185522,10861,35959,138702,7397,96,7301,7408,103,7305,382052
2017,7568,7568,7578,7202,2308313,2063194,245119,14012,71894,159213,6921,89,6832,6946,107,6839,1274845
2018,7568,7568,7578,6327,22070844,18615380,3455464,1286329,907546,1261589,3574,171,3403,3619,212,3407,0
2019,7568,7568,7578,6464,7401965,6804185,597780,16065,151778,429937,5122,114,5008,5168,152,5016,6141427
2020,7568,7568,7578,7368,1989360,1790157,199203,123,46663,152417,7208,66,7142,7209,61,7148,0
2021,7568,7568,7578,7438,1287163,1092327,194836,1168,46652,147016,7335,46,7289,7345,49,7296,395
2022,7568,7568,7578,6858,7399314,6664684,734630,110616,199908,424106,6229,92,6137,6251,106,6145,0
2023,7568,7568,7578,6366,18136332,15883703,2252629,524923,579212,1148494,4286,154,4132,4336,195,4141,0
2024,7568,7568,7578,6312,38383596,32156413,6227183,2479179,1109961,2638043,622,193,429,660,231,429,0
2025,7568,7568,7578,6471,13483440,12513037,970403,58687,300604,611112,5128,111,5017,5169,145,5024,0
2026,7568,7568,7578,7380,1751742,1407813,343929,19494,92716,231719,7251,51,7200,7254,41,7213,0
2027,7568,7568,7578,6324,28121903,23787558,4334345,2121161,889812,1323372,2374,187,2187,2413,223,2190,580141
2028,7568,7568,7578,6383,13381172,11954697,1426475,196585,400733,829157,4630,151,4479,4681,195,4486,2866119
2029,7568,7568,7578,6655,4799725,4376885,422840,54996,100302,267542,5810,116,5694,5833,133,5700,4942613
2030,7568,7568,7578,7578,0,0,0,0,0,0,7568,21,7547,7578,25,7553,0
2031,7568,7568,7578,6916,6575940,6008924,567016,23121,130822,413073,6378,96,6282,6404,116,6288,0
2032,7568,7568,7578,6325,17453384,14832227,2621157,1031526,471720,1117911,1308,194,1114,1342,228,1114,17182683
2033,7568,7568,7578,6315,18708925,15883746,2825179,1286097,676044,863038,3608,174,3434,3654,213,3441,3183711
