"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6305,25802763,21220692,4582071,2161295,821286,1599490,1317,185,1132,1362,228,1134,8763873,2010,21220692,6109427,3631712,0,752050,4977837,5749666,0,821286,491562,35366,0,0,0,294358,0,6251,4943
2011,7568,7568,7578,6310,21693813,16835633,4858180,2888654,960355,1009171,900,189,711,941,229,712,15194028,2011,16835633,5233849,2218594,0,774997,4154433,4453760,0,960355,529146,113674,0,0,0,317535,0,6668,5369
2012,7568,7568,7578,6324,25126722,21490796,3635926,1332497,787280,1516149,3021,173,2848,3066,210,2856,0,2012,21490796,5042216,2216395,0,869733,5941034,7421418,0,787280,410638,129775,0,0,0,246867,0,4547,3258
2013,7568,7568,7578,6322,36963414,31577913,5385501,1596405,1243409,2545687,879,194,685,913,229,684,0,2013,31577913,10042892,5573482,0,872534,7584697,7504308,0,1243409,436823,540821,0,0,0,265765,0,6689,5409
2014,7568,7568,7578,7530,425502,236228,189274,31660,47990,109624,7491,73,7418,7502,78,7424,0,2014,236228,180118,54544,0,1566,0,0,0,47990,26338,5968,0,0,0,15684,0,77,28
2015,7568,7568,7578,6322,36786634,28225505,8561129,5343081,2044161,1173887,330,194,136,367,230,137,3214399,2015,28225505,9003452,2449144,0,2419265,7080877,7272767,0,2044161,934673,545279,0,0,0,564209,0,7238,5955
2016,7568,7568,7578,7475,562894,377372,185522,10861,35959,138702,7397,96,7301,7408,103,7305,382052,2016,377372,227537,97558,0,7585,44692,0,0,35959,22602,0,0,0,0,13357,0,171,67
2017,7568,7568,7578,7202,2308313,2063194,245119,14012,71894,159213,6921,89,6832,6946,107,6839,1274845,2017,2063194,349880,157836,0,65839,1036630,453009,0,71894,29684,24686,0,0,0,17524,0,647,256
2018,7568,7568,7578,6327,22070844,18615380,3455464,1286329,907546,1261589,3574,171,3403,3619,212,3407,0,2018,18615380,4046561,2048750,0,161143,4976190,7382736,0,907546,406018,256622,0,0,0,244906,0,3994,2708
2019,7568,7568,7578,6464,7401965,6804185,597780,16065,151778,429937,5122,114,5008,5168,152,5016,6141427,2019,6804185,1029320,494323,0,393,1810079,3470070,0,151778,58746,57844,0,0,0,35188,0,2446,1296
2020,7568,7568,7578,7368,1989360,1790157,199203,123,46663,152417,7208,66,7142,7209,61,7148,0,2020,1790157,463776,316297,0,109935,811733,88416,0,46663,16884,19737,0,0,0,10042,0,360,159
2021,7568,7568,7578,7438,1287163,1092327,194836,1168,46652,147016,7335,46,7289,7345,49,7296,395,2021,1092327,336969,150866,0,91623,507343,5526,0,46652,19788,15208,0,0,0,11656,0,233,93
2022,7568,7568,7578,6858,7399314,6664684,734630,110616,199908,424106,6229,92,6137,6251,106,6145,0,2022,6664684,919037,299013,0,170124,1789604,3486906,0,199908,96607,45594,0,0,0,57707,0,1339,607
2023,7568,7568,7578,6366,18136332,15883703,2252629,524923,579212,1148494,4286,154,4132,4336,195,4141,0,2023,15883703,3064930,1130974,0,500105,4202830,6984864,0,579212,260959,161064,0,0,0,157189,0,3282,2030
2024,7568,7568,7578,6312,38383596,32156413,6227183,2479179,1109961,2638043,622,193,429,660,231,429,0,2024,32156413,10173568,4719768,0,1330313,8212942,7719822,0,1109961,569770,197564,0,0,0,342627,0,6946,5652
2025,7568,7568,7578,6471,13483440,12513037,970403,58687,300604,611112,5128,111,5017,5169,145,5024,0,2025,12513037,1636036,645654,0,552563,3445456,6233328,0,300604,102091,136784,0,0,0,61729,0,2440,1302
2026,7568,7568,7578,7380,1751742,1407813,343929,19494,92716,231719,7251,51,7200,7254,41,7213,0,2026,1407813,422998,149448,0,35728,716749,82890,0,92716,43181,23743,0,0,0,25792,0,317,126
2027,7568,7568,7578,6324,28121903,23787558,4334345,2121161,889812,1323372,2374,187,2187,2413,223,2190,580141,2027,23787558,5131741,3018899,0,2074140,6130884,7431894,0,889812,497383,93928,0,0,0,298501,0,5194,3911
2028,7568,7568,7578,6383,13381172,11954697,1426475,196585,400733,829157,4630,151,4479,4681,195,4486,2866119,2028,11954697,1969223,972139,0,90721,3186712,5735902,0,400733,162975,139416,0,0,0,98342,0,2938,1702
2029,7568,7568,7578,6655,4799725,4376885,422840,54996,100302,267542,5810,116,5694,5833,133,5700,4942613,2029,4376885,551693,254667,0,50821,1190495,2329209,0,100302,51955,17713,0,0,0,30634,0,1758,822
2030,7568,7568,7578,7578,0,0,0,0,0,0,7568,21,7547,7578,25,7553,0,2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031,7568,7568,7578,6916,6575940,6008924,567016,23121,130822,413073,6378,96,6282,6404,116,6288,0,2031,6008924,886126,408028,0,0,2123076,2591694,0,130822,61772,32322,0,0,0,36728,0,1190,512
2032,7568,7568,7578,6325,17453384,14832227,2621157,1031526,471720,1117911,1308,194,1114,1342,228,1114,17182683,2032,14832227,4080015,1805260,0,655747,3850282,4440923,0,471720,261589,53455,0,0,0,156676,0,6260,4983
2033,7568,7568,7578,6315,18708925,15883746,2825179,1286097,676044,863038,3608,174,3434,3654,213,3441,3183711,2033,15883746,2935857,1755298,0,271737,4268255,6652599,0,676044,360829,98545,0,0,0,216670,0,3960,2661
2034,7568,7568,7578,7142,3424696,3098471,326225,9475,73613,243137,6823,75,6748,6855,103,6752,694032,2034,3098471,497458,332522,0,0,1393637,874854,0,73613,36821,14895,0,0,0,21897,0,745,287
2035,7568,7568,7578,6373,14842836,13608006,1234830,218922,288354,727554,4882,145,4737,4928,186,4742,0,2035,13608006,1758074,1142892,0,442863,3345625,6918552,0,288354,158635,34815,0,0,0,94904,0,2686,1445
2036,7568,7568,7578,6352,7983807,7264136,719671,70149,165896,483626,4713,153,4560,4758,192,4566,7823352,2036,7264136,1044136,669840,0,4214,1905626,3640320,0,165896,81408,35991,0,0,0,48497,0,2855,1594
2037,7568,7568,7578,6772,8200584,7633991,566593,20055,112838,433700,6084,105,5979,6102,116,5986,0,2037,7633991,941310,646809,0,197557,2167999,3680316,0,112838,61952,13927,0,0,0,36959,0,1484,670
2038,7568,7568,7578,7492,205381,126251,79130,17752,20203,41175,7433,47,7386,7441,48,7393,540629,2038,126251,74393,31989,0,19869,0,0,0,20203,11259,2346,0,0,0,6598,0,135,51
2039,7568,7568,7578,6853,7136514,6786008,350506,1212,76929,272365,6276,104,6172,6303,128,6175,3078,2039,6786008,796057,638018,0,115014,2136833,3100086,0,76929,31851,25989,0,0,0,19089,0,1292,550
2040,7568,7568,7578,7065,5067342,4725665,341677,4184,71814,265679,6651,70,6581,6678,89,6589,0,2040,4725665,629692,441199,0,153528,1777134,1724112,0,71814,34227,17380,0,0,0,20207,0,917,387
