"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6310,36704049,29794065,6909984,3174431,1318513,2417040,684,186,498,726,227,499,1337637
2011,7568,7568,7578,6322,31824234,26201859,5622375,2646665,1109056,1866654,1809,195,1614,1852,232,1620,0
2012,7568,7568,7578,6321,32918382,27222238,5696144,2654767,1214534,1826843,1611,196,1415,1651,232,1419,0
2013,7568,7568,7578,6419,18136116,16734407,1401709,141852,205345,1054512,4130,162,3968,4179,204,3975,863748
2014,7568,7568,7578,6324,23560910,21337950,2222960,538550,345447,1338963,2040,192,1848,2082,230,1852,7005208
2015,7568,7568,7578,6322,29541996,26417096,3124900,755866,635283,1733751,2222,198,2024,2263,234,2029,0
2016,7568,7568,7578,6335,20095545,17413675,2681870,646041,586680,1449149,3352,163,3189,3398,201,3197,3211569
2017,7568,7568,7578,6827,6816576,6306386,510190,29915,93844,386431,6088,108,5980,6114,122,5992,1368232
2018,7568,7568,7578,6267,26154558,23253117,2901441,675428,573658,1652355,2835,158,2677,2885,202,2683,0
2019,7568,7568,7578,6309,30669300,25944260,4725040,1638607,940477,2145956,2018,197,1821,2059,234,1825,0
2020,7568,7568,7578,6503,13063464,12346797,716667,84966,143041,488660,5204,116,5088,5239,142,5097,0
2021,7568,7568,7578,6322,24721957,20472742,4249215,2048132,833827,1367256,311,190,121,346,226,120,15411701
2022,7568,7568,7578,6324,28585998,23954043,4631955,1573971,887454,2170530,2395,187,2208,2436,224,2212,0
2023,7568,7568,7578,6322,39433926,33126415,6307511,2426283,1070443,2810785,326,198,128,364,234,130,585366
2024,7568,7568,7578,6326,25193034,20039029,5154005,3099713,1036761,1017531,3009,171,2838,3054,209,2845,0
2025,7568,7568,7578,6313,33658866,29282073,4376793,1354269,901290,2121234,1477,196,1281,1515,232,1283,0
2026,7568,7568,7578,7574,27630,17200,10430,352,1802,8276,7563,56,7507,7571,59,7512,0
2027,7568,7568,7578,6332,23341824,20379586,2962238,1058528,599799,1303911,3344,158,3186,3387,197,3190,0
2028,7568,7568,7578,6288,31047184,28091514,2955670,1840905,570103,544662,590,186,404,637,232,405,7529570
2029,7568,7568,7578,6330,19412838,16656252,2756586,1053966,668598,1034022,4055,175,3880,4102,213,3889,0
2030,7568,7568,7578,6266,37101564,29122010,7979554,5026643,1733634,1219277,854,188,666,900,232,668,0
2031,7568,7568,7578,6323,31343472,25146893,6196579,3277914,1277936,1640729,1896,193,1703,1937,229,1708,0
2032,7568,7568,7578,6323,27160290,23890023,3270267,881903,549108,1839256,2653,174,2479,2695,213,2482,0
2033,7568,7568,7578,6328,25396471,22263390,3133081,1255941,596369,1280771,2972,179,2793,3015,215,2800,1025
2034,7568,7568,7578,6312,24344607,20624911,3719696,1744459,624357,1350880,325,186,139,367,226,141,15716980
2035,7568,7568,7578,6290,28948014,24005441,4942573,2003225,886041,2053307,1726,193,1533,1774,236,1538,3342341
2036,7568,7568,7578,6310,24056077,20669121,3386956,1300081,567985,1518890,1841,195,1646,1882,232,1650,7610824
2037,7568,7568,7578,6294,29365164,25016203,4348961,1316800,765631,2266530,2254,193,2061,2302,237,2065,0
2038,7568,7568,7578,7333,2436966,2058925,378041,3841,93641,280559,7127,74,7053,7125,69,7056,0
2039,7568,7568,7578,6328,21577142,19989834,1587308,280794,290732,1015782,3659,177,3482,3700,210,3490,23992
2040,7568,7568,7578,6345,13352762,12081869,1270893,145616,263976,861301,4469,167,4302,4513,205,4308,3787478
2041,7568,7568,7578,6323,28934136,25680775,3253361,1519241,586409,1147711,1428,196,1232,1466,229,1237,5008035
2042,7568,7568,7578,6277,36692640,30363114,6329526,2789888,1431202,2108436,928,188,740,973,232,741,0
2043,7568,7568,7578,6707,4779745,4460638,319107,6802,78574,233731,5952,93,5859,5978,110,5868,4169559
2044,7568,7568,7578,6360,13682262,12782875,899387,317682,216766,364939,4532,154,4378,4578,196,4382,3106677
2045,7568,7568,7578,6290,30892409,26908460,3983949,1373011,822731,1788207,1439,190,1249,1489,235,1254,2980795
2046,7568,7568,7578,6323,33846750,27200964,6645786,3011092,1290161,2344533,1443,194,1249,1484,232,1252,0
2047,7568,7568,7578,6324,21871908,18318066,3553842,1418646,880599,1254597,3610,181,3429,3653,216,3437,0
2048,7568,7568,7578,6312,22009684,19259982,2749702,1124449,547183,1078070,3538,173,3365,3584,214,3370,260096
2049,7568,7568,7578,6290,30177486,24560396,5617090,2967218,1413382,1236490,2107,188,1919,2155,232,1923,0
2050,7568,7568,7578,7571,40092,27452,12640,884,3013,8743,7556,37,7519,7567,42,7525,26220
2051,7568,7568,7578,7558,182358,115502,66856,3725,14579,48552,7535,34,7501,7546,39,7507,0
2052,7568,7568,7578,7576,11052,7980,3072,6,567,2499,7566,67,7499,7575,71,7504,0
2053,7568,7568,7578,7443,1022892,796491,226401,2724,54453,169224,7348,45,7303,7357,51,7306,192828
2054,7568,7568,7578,6324,26359020,22477683,3881337,1771909,894649,1214779,2798,174,2624,2841,213,2628,0
2055,7568,7568,7578,6322,31475212,26528012,4947200,2096847,1116506,1733847,1254,195,1059,1293,230,1063,3423515
2056,7568,7568,7578,7578,0,0,0,0,0,0,7568,50,7518,7578,53,7525,0
2057,7568,7568,7578,6312,20049891,17544659,2505232,1721636,502825,280771,1470,192,1278,1512,230,1282,13684053
2058,7568,7568,7578,6348,15500430,13956853,1543577,170213,311968,1061396,4763,156,4607,4809,195,4614,0
2059,7568,7568,7578,6322,32979168,27330454,5648714,2147843,1197158,2303713,1600,192,1408,1640,228,1412,0
2060,7568,7568,7578,6444,12300606,11124461,1176145,282478,253964,639703,5214,123,5091,5264,164,5100,710910
2061,7568,7568,7578,6314,28127265,26146497,1980768,1057048,426777,496943,2478,193,2285,2519,230,2289,75
2062,7568,7568,7578,6321,24369969,21329228,3040741,838051,706367,1496323,3143,186,2957,3185,222,2963,82581
2063,7568,7568,7578,6586,11542464,10487187,1055277,216711,261652,576914,5479,131,5348,5504,151,5353,1350
2064,7568,7568,7578,6324,20606454,17789820,2816634,850655,647484,1318495,3839,177,3662,3880,211,3669,0
2065,7568,7568,7578,6338,23318311,19997283,3321028,936626,645253,1739149,3272,177,3095,3313,216,3097,421460
2066,7568,7568,7578,6323,14328744,12704995,1623749,884834,293111,445804,2118,193,1925,2158,229,1929,15831466
2067,7568,7568,7578,6395,14246000,12686440,1559560,314098,430006,815456,4986,155,4831,5033,195,4838,22132
2068,7568,7568,7578,6348,17876610,16392524,1484086,113787,293736,1076563,4333,160,4173,4380,197,4183,0
2069,7568,7568,7578,6524,10854444,9840777,1013667,110910,220328,682429,5300,108,5192,5326,131,5195,1686257
2070,7568,7568,7578,6361,16158024,14526156,1631868,244924,511687,875257,4644,150,4494,4694,192,4502,0
2071,7568,7568,7578,7578,5526,3262,2264,183,389,1692,7567,44,7523,7578,50,7528,0
2072,7568,7568,7578,6337,16384590,14869954,1514636,328107,372815,813714,4603,163,4440,4648,200,4448,0
2073,7568,7568,7578,6329,20645851,17978500,2667351,846548,705922,1114881,3811,177,3634,3854,213,3641,115331
2074,7568,7568,7578,6527,250116,243171,6945,137,1738,5070,5681,95,5586,5704,109,5595,10236853
2075,7568,7568,7578,6476,8947585,8017744,929841,205474,211729,512638,5137,121,5016,5174,151,5023,4506020
2076,7568,7568,7578,6312,16787988,14743090,2044898,697927,439820,907151,4530,172,4358,4582,215,4367,0
2077,7568,7568,7578,6307,31028490,26601020,4427470,1605413,1059860,1762197,1953,194,1759,1995,234,1761,0
2078,7568,7568,7578,7574,35168,20033,15135,3140,4026,7969,7561,32,7529,7571,36,7535,3514
2079,7568,7568,7578,7577,8742,5158,3584,1155,898,1531,7566,10,7556,7577,12,7565,2310
2080,7568,7568,7578,7276,2811384,2401915,409469,45881,103919,259669,7059,74,6985,7067,71,6996,1350
2081,7568,7568,7578,6324,19221736,17389214,1832522,1018088,451765,362669,3458,174,3284,3501,210,3291,3496281
2082,7568,7568,7578,6370,16450902,14948367,1502535,145770,461816,894949,4591,153,4438,4641,195,4446,0
2083,7568,7568,7578,7370,1834632,1658970,175662,430,37428,137804,7236,64,7172,7239,57,7182,0
2084,7568,7568,7578,7578,0,0,0,0,0,0,7568,10,7558,7578,12,7566,0
2085,7568,7568,7578,7578,0,0,0,0,0,0,7568,61,7507,7578,66,7512,0
2086,7568,7568,7578,7055,5211018,4848203,362815,17599,98820,246396,6625,86,6539,6651,107,6544,0
2087,7568,7568,7578,7578,0,0,0,0,0,0,7568,46,7522,7578,50,7528,0
2088,7568,7568,7578,6312,9756546,8888329,868217,239010,181600,447607,4184,168,4016,4230,206,4024,8985208
