"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,29794065,9990473,3083414,0,1450216,7752982,7516980,0,1318513,686914,218474,0,0,0,413125,0,6884,5584
2011,26201859,7278590,2440982,0,2151037,6865624,7465626,0,1109056,620411,116207,0,0,0,372438,0,5759,4470
2012,27222238,7736891,5441319,0,111197,6461679,7471152,0,1214534,577722,288536,0,0,0,348276,0,5957,4670
2013,16734407,3374905,2829541,0,99069,3984804,6446088,0,205345,109530,30256,0,0,0,65559,0,3438,2240
2014,21337950,4800400,3398978,0,1300740,5595885,6241947,0,345447,177989,60574,0,0,0,106884,0,5528,4242
2015,26417096,6824536,3614384,0,1287915,7235687,7454574,0,635283,282770,181890,0,0,0,170623,0,5346,4059
2016,17413675,4273848,1827377,0,15733,4843872,6452845,0,586680,261483,167544,0,0,0,157653,0,4216,2937
2017,6306386,857264,391422,0,310512,1733644,3013544,0,93844,56404,4072,0,0,0,33368,0,1480,713
2018,23253117,5657392,2833554,0,1245742,6078433,7437996,0,573658,279360,126133,0,0,0,168165,0,4733,3382
2019,25944260,7368053,3448714,0,520919,7146474,7460100,0,940477,463086,198504,0,0,0,278887,0,5550,4250
2020,12346797,1695828,770823,0,958037,3009289,5912820,0,143041,84539,8250,0,0,0,50252,0,2364,1264
2021,20472742,5939514,3373284,0,1085718,4831030,5243196,0,833827,438466,132115,0,0,0,263246,0,7257,5976
2022,23954043,6942465,2868277,0,100253,6610578,7432470,0,887454,447422,170686,0,0,0,269346,0,5173,3888
2023,33126415,10678736,5350488,0,926438,8439879,7730874,0,1070443,559572,174413,0,0,0,336458,0,7242,5958
2024,20039029,4627952,1623160,0,287101,6095976,7404840,0,1036761,645981,3887,0,0,0,386893,0,4559,3272
2025,29282073,8264589,5175475,0,714642,7589903,7537464,0,901290,385717,282446,0,0,0,233127,0,6091,4798
2026,17200,12051,4945,0,204,0,0,0,1802,1025,423,0,0,0,354,0,5,3
2027,20379586,4254571,1983412,0,1247569,5522350,7371684,0,599799,327673,75488,0,0,0,196638,0,4224,2945
2028,28091514,5526870,3182468,0,7218636,5832669,6330871,0,570103,343312,21410,0,0,0,205381,0,6978,5651
2029,16656252,3020713,1795384,0,214480,4463979,7161696,0,668598,349706,108919,0,0,0,209973,0,3513,2228
2030,29122010,8356414,4074639,0,2048833,7077030,7565094,0,1733634,882407,320083,0,0,0,531144,0,6714,5366
2031,25146893,6876919,3653046,0,544236,6612592,7460100,0,1277936,684921,181337,0,0,0,411678,0,5672,4386
2032,23890023,5742546,3375311,0,846408,6471184,7454574,0,549108,327460,25409,0,0,0,196239,0,4915,3628
2033,22263390,5221462,2355896,0,1664052,5694504,7327476,0,596369,355703,27713,0,0,0,212953,0,4596,3313
2034,20624911,6359651,3593904,0,1437932,4470175,4763249,0,624357,388734,3145,0,0,0,232478,0,7243,5945
2035,24005441,7089175,2468100,0,817584,6631298,6999284,0,886041,514024,63694,0,0,0,308323,0,5842,4516
2036,20669121,5595813,2111599,0,1277422,5559917,6124370,0,567985,355382,0,0,0,0,212603,0,5727,4428
2037,25016203,6927335,3194583,0,509936,6907671,7476678,0,765631,414508,102138,0,0,0,248985,0,5314,3992
2038,2058925,617155,227359,0,123687,980204,110520,0,93641,37913,32966,0,0,0,22762,0,441,208
2039,19989834,3393040,2008120,0,1437643,5486469,7664562,0,290732,142608,62382,0,0,0,85742,0,3909,2628
2040,12081869,1839974,1180440,0,59233,3363632,5638590,0,263976,149616,24812,0,0,0,89548,0,3099,1832
2041,25680775,7102093,2580801,0,3331384,6114793,6551704,0,586409,353079,22061,0,0,0,211269,0,6140,4857
2042,30363114,9112078,5577977,0,905413,7241234,7526412,0,1431202,617177,441100,0,0,0,372925,0,6640,5304
2043,4460638,551437,283074,0,44080,1288717,2293330,0,78574,31812,27769,0,0,0,18993,0,1616,729
2044,12782875,1579754,985031,0,1000834,3227144,5990112,0,216766,122628,21181,0,0,0,72957,0,3036,1782
2045,26908460,7579189,3650338,0,1585740,6746037,7347156,0,822731,388791,199725,0,0,0,234215,0,6129,4801
2046,27200964,8525738,2148888,0,1543389,7456537,7526412,0,1290161,699171,170806,0,0,0,420184,0,6125,4839
2047,18318066,3890815,1410696,0,371819,5245422,7399314,0,880599,437556,179827,0,0,0,263216,0,3958,2671
2048,19259982,3568456,1918906,0,1298353,5052849,7421418,0,547183,342399,0,0,0,0,204784,0,4030,2728
2049,24560396,6066412,3295873,0,1085023,6641936,7471152,0,1413382,648520,373229,0,0,0,391633,0,5461,4135
2050,27452,15565,9444,0,2443,0,0,0,3013,1341,1179,0,0,0,493,0,12,4
2051,115502,80013,30115,0,5374,0,0,0,14579,8143,1684,0,0,0,4752,0,33,12
2052,7980,4692,2762,0,526,0,0,0,567,184,301,0,0,0,82,0,2,1
2053,796491,350432,178957,0,22492,244610,0,0,54453,23815,16461,0,0,0,14177,0,220,86
2054,22477683,5311768,1904501,0,1522053,6306891,7432470,0,894649,454705,166440,0,0,0,273504,0,4770,3483
2055,26528012,7718181,5269615,0,499939,6081980,6958297,0,1116506,474584,354983,0,0,0,286939,0,6314,5029
2056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2057,17544659,3664579,1794676,0,3092353,4226447,4766604,0,502825,308668,9711,0,0,0,184446,0,6098,4800
2058,13956853,2070572,891214,0,3324,3879781,7111962,0,311968,187423,12504,0,0,0,112041,0,2805,1539
2059,27330454,8326486,3625824,0,587245,7292117,7498782,0,1197158,550634,314332,0,0,0,332192,0,5968,4682
2060,11124461,1427292,733129,0,171423,2739367,6053250,0,253964,159145,0,0,0,0,94819,0,2354,1180
2061,26146497,4321884,2672008,0,5438626,6275983,7437996,0,426777,243839,37232,0,0,0,145706,0,5090,3795
2062,21329228,4860658,3505226,0,274306,5267620,7421418,0,706367,304194,218673,0,0,0,183500,0,4425,3136
2063,10487187,1434065,844269,0,551549,2451812,5205492,0,261652,134094,47245,0,0,0,80313,0,2089,1082
2064,17789820,3467986,1744027,0,162051,5027494,7388262,0,647484,335208,110923,0,0,0,201353,0,3729,2444
2065,19997283,4979666,2105660,0,136698,5564004,7211255,0,645253,344223,94159,0,0,0,206871,0,4296,3025
2066,12704995,2627007,1289420,0,1254715,3408291,4125562,0,293111,183598,0,0,0,0,109513,0,5450,4165
2067,12686440,1893236,1260031,0,30341,3125828,6377004,0,430006,195609,116742,0,0,0,117655,0,2582,1362
2068,16392524,2855686,1473141,0,291225,4654984,7117488,0,293736,144848,61963,0,0,0,86925,0,3235,1968
2069,9840777,1408640,508558,0,349808,2519267,5054504,0,220328,118692,30814,0,0,0,70822,0,2268,1198
2070,14526156,2215637,1290101,0,228618,3762728,7029072,0,511687,188865,208367,0,0,0,114455,0,2924,1667
2071,3262,2244,604,0,414,0,0,0,389,134,183,0,0,0,72,0,1,0
2072,14869954,2160364,880825,0,399243,4240196,7189326,0,372815,199035,54462,0,0,0,119318,0,2965,1689
2073,17978500,3473634,1924467,0,359300,4893623,7327476,0,705922,319378,194075,0,0,0,192469,0,3757,2475
2074,243171,16480,34778,0,0,85521,106392,0,1738,559,985,0,0,0,194,0,1887,823
2075,8017744,1178947,541863,0,155134,2053100,4088700,0,211729,122074,16859,0,0,0,72796,0,2431,1302
2076,14743090,2339309,1062027,0,241164,3999680,7100910,0,439820,274946,527,0,0,0,164347,0,3038,1730
2077,26601020,6957398,4333946,0,1024015,6820035,7465626,0,1059860,450375,337248,0,0,0,272237,0,5615,4312
2078,20033,14413,5620,0,0,0,0,0,4026,1730,1698,0,0,0,598,0,7,3
2079,5158,3086,1256,0,816,0,0,0,898,218,566,0,0,0,114,0,2,0
2080,2401915,536690,208079,0,67401,1092405,497340,0,103919,55011,16211,0,0,0,32697,0,509,209
2081,17389214,3377782,1548042,0,1627842,4444093,6391455,0,451765,225534,90825,0,0,0,135406,0,4110,2823
2082,14948367,2532656,1441986,0,152450,3869567,6951708,0,461816,151685,217876,0,0,0,92255,0,2977,1729
2083,1658970,398767,305196,0,132813,772460,49734,0,37428,16249,11490,0,0,0,9689,0,332,131
2084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2086,4848203,633570,430550,0,214480,1944959,1624644,0,98820,41701,32185,0,0,0,24934,0,943,404
2087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2088,8888329,1287916,667138,0,445637,2577845,3909793,0,181600,113708,257,0,0,0,67635,0,3384,2082
2089,13316424,1675072,1034104,0,103246,3480456,7023546,0,410722,244165,20602,0,0,0,145955,0,2713,1403
2090,11091997,1315917,792136,0,385857,2813562,5784525,0,274320,161705,16134,0,0,0,96481,0,2495,1307
2091,24661,16328,7757,0,576,0,0,0,2697,1637,488,0,0,0,572,0,7,3
2092,21641986,4772990,2460146,0,974279,6013153,7421418,0,1071961,555540,182341,0,0,0,334080,0,4739,3453
2093,10710321,1289958,932564,0,133960,2540487,5813352,0,319132,176844,36486,0,0,0,105802,0,2160,1071
2094,912587,322514,240315,0,1392,348366,0,0,116801,58289,23706,0,0,0,34806,0,256,98
2095,396847,218580,134858,0,43409,0,0,0,77976,37044,18810,0,0,0,22122,0,117,43
2096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
