"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6310,36704049,29794065,6909984,3174431,1318513,2417040,684,186,498,726,227,499,1337637,2010,29794065,9990473,3083414,0,1450216,7752982,7516980,0,1318513,686914,218474,0,0,0,413125,0,6884,5584
2011,7568,7568,7578,6322,31824234,26201859,5622375,2646665,1109056,1866654,1809,195,1614,1852,232,1620,0,2011,26201859,7278590,2440982,0,2151037,6865624,7465626,0,1109056,620411,116207,0,0,0,372438,0,5759,4470
2012,7568,7568,7578,6321,32918382,27222238,5696144,2654767,1214534,1826843,1611,196,1415,1651,232,1419,0,2012,27222238,7736891,5441319,0,111197,6461679,7471152,0,1214534,577722,288536,0,0,0,348276,0,5957,4670
2013,7568,7568,7578,6419,18136116,16734407,1401709,141852,205345,1054512,4130,162,3968,4179,204,3975,863748,2013,16734407,3374905,2829541,0,99069,3984804,6446088,0,205345,109530,30256,0,0,0,65559,0,3438,2240
2014,7568,7568,7578,6324,23560910,21337950,2222960,538550,345447,1338963,2040,192,1848,2082,230,1852,7005208,2014,21337950,4800400,3398978,0,1300740,5595885,6241947,0,345447,177989,60574,0,0,0,106884,0,5528,4242
2015,7568,7568,7578,6322,29541996,26417096,3124900,755866,635283,1733751,2222,198,2024,2263,234,2029,0,2015,26417096,6824536,3614384,0,1287915,7235687,7454574,0,635283,282770,181890,0,0,0,170623,0,5346,4059
2016,7568,7568,7578,6335,20095545,17413675,2681870,646041,586680,1449149,3352,163,3189,3398,201,3197,3211569,2016,17413675,4273848,1827377,0,15733,4843872,6452845,0,586680,261483,167544,0,0,0,157653,0,4216,2937
2017,7568,7568,7578,6827,6816576,6306386,510190,29915,93844,386431,6088,108,5980,6114,122,5992,1368232,2017,6306386,857264,391422,0,310512,1733644,3013544,0,93844,56404,4072,0,0,0,33368,0,1480,713
2018,7568,7568,7578,6267,26154558,23253117,2901441,675428,573658,1652355,2835,158,2677,2885,202,2683,0,2018,23253117,5657392,2833554,0,1245742,6078433,7437996,0,573658,279360,126133,0,0,0,168165,0,4733,3382
2019,7568,7568,7578,6309,30669300,25944260,4725040,1638607,940477,2145956,2018,197,1821,2059,234,1825,0,2019,25944260,7368053,3448714,0,520919,7146474,7460100,0,940477,463086,198504,0,0,0,278887,0,5550,4250
2020,7568,7568,7578,6503,13063464,12346797,716667,84966,143041,488660,5204,116,5088,5239,142,5097,0,2020,12346797,1695828,770823,0,958037,3009289,5912820,0,143041,84539,8250,0,0,0,50252,0,2364,1264
2021,7568,7568,7578,6322,24721957,20472742,4249215,2048132,833827,1367256,311,190,121,346,226,120,15411701,2021,20472742,5939514,3373284,0,1085718,4831030,5243196,0,833827,438466,132115,0,0,0,263246,0,7257,5976
2022,7568,7568,7578,6324,28585998,23954043,4631955,1573971,887454,2170530,2395,187,2208,2436,224,2212,0,2022,23954043,6942465,2868277,0,100253,6610578,7432470,0,887454,447422,170686,0,0,0,269346,0,5173,3888
2023,7568,7568,7578,6322,39433926,33126415,6307511,2426283,1070443,2810785,326,198,128,364,234,130,585366,2023,33126415,10678736,5350488,0,926438,8439879,7730874,0,1070443,559572,174413,0,0,0,336458,0,7242,5958
2024,7568,7568,7578,6326,25193034,20039029,5154005,3099713,1036761,1017531,3009,171,2838,3054,209,2845,0,2024,20039029,4627952,1623160,0,287101,6095976,7404840,0,1036761,645981,3887,0,0,0,386893,0,4559,3272
2025,7568,7568,7578,6313,33658866,29282073,4376793,1354269,901290,2121234,1477,196,1281,1515,232,1283,0,2025,29282073,8264589,5175475,0,714642,7589903,7537464,0,901290,385717,282446,0,0,0,233127,0,6091,4798
2026,7568,7568,7578,7574,27630,17200,10430,352,1802,8276,7563,56,7507,7571,59,7512,0,2026,17200,12051,4945,0,204,0,0,0,1802,1025,423,0,0,0,354,0,5,3
2027,7568,7568,7578,6332,23341824,20379586,2962238,1058528,599799,1303911,3344,158,3186,3387,197,3190,0,2027,20379586,4254571,1983412,0,1247569,5522350,7371684,0,599799,327673,75488,0,0,0,196638,0,4224,2945
2028,7568,7568,7578,6288,31047184,28091514,2955670,1840905,570103,544662,590,186,404,637,232,405,7529570,2028,28091514,5526870,3182468,0,7218636,5832669,6330871,0,570103,343312,21410,0,0,0,205381,0,6978,5651
2029,7568,7568,7578,6330,19412838,16656252,2756586,1053966,668598,1034022,4055,175,3880,4102,213,3889,0,2029,16656252,3020713,1795384,0,214480,4463979,7161696,0,668598,349706,108919,0,0,0,209973,0,3513,2228
2030,7568,7568,7578,6266,37101564,29122010,7979554,5026643,1733634,1219277,854,188,666,900,232,668,0,2030,29122010,8356414,4074639,0,2048833,7077030,7565094,0,1733634,882407,320083,0,0,0,531144,0,6714,5366
2031,7568,7568,7578,6323,31343472,25146893,6196579,3277914,1277936,1640729,1896,193,1703,1937,229,1708,0,2031,25146893,6876919,3653046,0,544236,6612592,7460100,0,1277936,684921,181337,0,0,0,411678,0,5672,4386
2032,7568,7568,7578,6323,27160290,23890023,3270267,881903,549108,1839256,2653,174,2479,2695,213,2482,0,2032,23890023,5742546,3375311,0,846408,6471184,7454574,0,549108,327460,25409,0,0,0,196239,0,4915,3628
2033,7568,7568,7578,6328,25396471,22263390,3133081,1255941,596369,1280771,2972,179,2793,3015,215,2800,1025,2033,22263390,5221462,2355896,0,1664052,5694504,7327476,0,596369,355703,27713,0,0,0,212953,0,4596,3313
2034,7568,7568,7578,6312,24344607,20624911,3719696,1744459,624357,1350880,325,186,139,367,226,141,15716980,2034,20624911,6359651,3593904,0,1437932,4470175,4763249,0,624357,388734,3145,0,0,0,232478,0,7243,5945
2035,7568,7568,7578,6290,28948014,24005441,4942573,2003225,886041,2053307,1726,193,1533,1774,236,1538,3342341,2035,24005441,7089175,2468100,0,817584,6631298,6999284,0,886041,514024,63694,0,0,0,308323,0,5842,4516
2036,7568,7568,7578,6310,24056077,20669121,3386956,1300081,567985,1518890,1841,195,1646,1882,232,1650,7610824,2036,20669121,5595813,2111599,0,1277422,5559917,6124370,0,567985,355382,0,0,0,0,212603,0,5727,4428
2037,7568,7568,7578,6294,29365164,25016203,4348961,1316800,765631,2266530,2254,193,2061,2302,237,2065,0,2037,25016203,6927335,3194583,0,509936,6907671,7476678,0,765631,414508,102138,0,0,0,248985,0,5314,3992
2038,7568,7568,7578,7333,2436966,2058925,378041,3841,93641,280559,7127,74,7053,7125,69,7056,0,2038,2058925,617155,227359,0,123687,980204,110520,0,93641,37913,32966,0,0,0,22762,0,441,208
2039,7568,7568,7578,6328,21577142,19989834,1587308,280794,290732,1015782,3659,177,3482,3700,210,3490,23992,2039,19989834,3393040,2008120,0,1437643,5486469,7664562,0,290732,142608,62382,0,0,0,85742,0,3909,2628
2040,7568,7568,7578,6345,13352762,12081869,1270893,145616,263976,861301,4469,167,4302,4513,205,4308,3787478,2040,12081869,1839974,1180440,0,59233,3363632,5638590,0,263976,149616,24812,0,0,0,89548,0,3099,1832
2041,7568,7568,7578,6323,28934136,25680775,3253361,1519241,586409,1147711,1428,196,1232,1466,229,1237,5008035,2041,25680775,7102093,2580801,0,3331384,6114793,6551704,0,586409,353079,22061,0,0,0,211269,0,6140,4857
