"cnrmcm3","gfdlcm21","miroc32med","mpiecham5","ncarccsm3","ncarpcm1"
5167.27641509434,5526,5522.99061522419,5526,4127.78163493841,5331.79096455549
4372.37319271985,3399.21636661211,5526,5526,3253.42126574685,5526
5187.73601098524,5526,5522.29341317365,5526,5526,5526
4461.31496660595,5526,5526,5526,5526,5275.19371727749
3226.92020275163,5526,5526,4705.63247524752,5526,4262.10383502171
5526,4978.97367802585,5526,5071.70519556334,5082.43078198397,5526
1131.22436769105,5526,42.3704600484262,5526,3291.77777777778,4766.49549335863
5525.64666789736,4245,5520.16818056702,3418.48950424297,3567.7171561051,4605.79459459459
4653.8292767733,5526,5526,5526,5526,5526
5526,5526,5526,5526,3026.15085854456,5526
5526,5526,5526,5526,5526,5526
3761.28621546558,5525.84489281211,5526,5526,5524.30472103004,3406.63593771531
3055.44371991927,5283.90600978337,5526,5526,5526,5526
5526,NA,4805.94087069526,5526,5526,5445.17067108534
4409.06485207101,5526,5526,5526,5526,5526
4639.31121814792,5526,1655.22577891592,5526,5526,5526
3446.21683046683,5387.79879707862,5526,3967.26376756551,5526,5526
5526,5526,5526,5480.86885245902,5414.30554485945,5526
5526,5275,5526,5526,4554.51735874745,4449.29550014331
5526,3286.55010972933,5526,5503.96526358807,2730.21899886234,5526
3945.41684414327,5526,NA,5526,NA,5526
5525.6567890314,5526,5526,5526,5526,5526
5261.6105681124,NA,5526,5526,2788.08051118211,5526
5526,3275.01662707838,5525.03581267218,5526,4724.47601010101,5525.77697998259
5526,4988.9953909184,5051.07045454545,4628.73164788303,4596.90738255034,3361.12204887478
5525.55491205491,4697,5526,4300.44247787611,5526,4955.15474152687
5526,4693.13402061856,3798.88422818792,5526,2796.42977232925,4200.46743495722
4199.64893964111,5526,3900.0525,5035.7339527027,5526,5526
5526,5526,5526,5067.44382556718,1521.34074074074,5526
5526,5526,5240.76386554622,5526,5523.61764705882,5519.8623688923
3843.27153907709,NA,5526,1824,5526,4308.73249435302
5526,5526,2939,5526,NA,4712.4
5526,2085,5526,5391.02878965922,NA,5526
5526,5526,5526,5115.4124663332,NA,2957.7629950495
5168.49152542373,5424.08464079273,4848,5526,5526,4506.67391304348
NA,5526,NA,NA,5526,5040.36694403655
5526,5525.89426691729,4930.78709904829,NA,5526,5526
5526,5526,2317.06112469438,5526,5525.53837798697,5526
5526,3940.44271260596,5526,5526,5310.57938718663,5461.46004962779
5526,5526,NA,5526,5526,5526
5080.44994699379,5248.43835616438,NA,4346.63121510237,5526,3341
5526,5526,5526,4710.77580718508,5220.93835616438,5526
5526,3595,3893.40347071584,5525.9400119976,5526,5526
5526,4466.50464396285,5526,4136.94971804511,477.039945373848,4649.50909090909
5526,4021.40689941812,3039.25851197982,NA,5526,5526
5526,5526,5526,5526,4627.6693877551,4984.98764649984
5526,NA,5526,3921.45161290323,4670.38651050081,NA
5526,5526,5526,2738,3421.17771260997,3287.94539193178
5526,5526,4302,5526,NA,5526
5526,2347.02163461538,NA,5519.01266439357,NA,5526
5526,5526,NA,4253.52459016393,5526,5225.40611724724
5526,5481.81609756098,2512.08818813469,5065.64988009592,4310.53623188406,5525.98526522593
5526,NA,5526,5526,5384.597866078,5507.33762711864
5526,NA,5526,NA,5526,5525.35375777884
5526,5526,4759.67120799273,5523.44723704596,4320,5526
5526,NA,NA,4371,4345,5427.91224394786
5526,5526,3416,5332.85113268608,5526,2629.12733944954
5526,NA,3517,NA,NA,5517.42835011619
5526,NA,5368.46258503401,NA,NA,5526
5526,NA,2250.3414996288,NA,5526,4785.91005291005
5526,NA,NA,2160,3182.8192371476,5526
5526,3373,2331.48148148148,5526,3542,5526
5526,2500.8380952381,NA,4732.88334674175,NA,5526
5526,3915.9135371179,NA,3562.59036144578,4297.85166240409,5495.30236891137
5526,NA,NA,4259.3167662787,NA,132.546899841017
5526,NA,NA,NA,NA,3680.61908679556
5526,NA,NA,NA,5049,5526
5526,NA,NA,NA,NA,5526
5526,NA,NA,1767.6892973614,5307.53333333333,5024
5526,NA,NA,NA,NA,4371
5526,NA,NA,1832.74380165289,NA,5523.34774066798
5526,NA,NA,4292.04125874126,2281.43284671533,4676.82141119221
5526,NA,4283.65573770492,3217.79150579151,NA,5526
5526,NA,3953.19471947195,4010.8025,2487,5526
5526,NA,2663,568.318463444857,NA,NA
5526,NA,2462,302.018398806564,NA,NA
5526,NA,NA,1492.99474421864,NA,5526
5526,NA,NA,4593.65629860031,1584.90700104493,NA
5526,NA,NA,NA,3994,2883.14007092199
5526,NA,NA,NA,NA,5526
5526,NA,NA,1429.41428571429,Inf,4889.87014028056
5526,NA,1401,0,NA,5526
5526,NA,NA,NA,NA,5526
5526,NA,NA,NA,NA,5526
5526,NA,NA,NA,NA,5064.1953125
5526,NA,Inf,0,NA,5526
5526,NA,NA,NA,NA,NA
5526,NA,NA,NA,NA,NA
5526,NA,0,NA,0,NA
5526,NA,NA,879,NA,NA
