"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6309,31218734,28279357,2939377,1690118,549515,699744,1206,189,1017,1249,229,1020,3945918
2011,7568,7568,7578,6309,11518191,10476232,1041959,528498,262071,251390,2805,176,2629,2849,215,2634,14849624
2012,7568,7568,7578,6324,23153940,19934459,3219481,855009,731934,1632538,3378,177,3201,3421,214,3207,0
2013,7568,7568,7578,6322,24551336,21032569,3518767,1425018,659089,1434660,3003,178,2825,3047,214,2833,675479
2014,7568,7568,7578,6275,40245135,33984084,6261051,2635254,1170845,2454952,283,182,101,327,226,101,11775
2015,7568,7568,7578,6553,9819086,8752809,1066277,207687,354889,503701,5536,120,5416,5557,136,5421,1417204
2016,7568,7568,7578,6337,14637567,13054233,1583334,398348,315490,869496,3553,181,3372,3599,219,3380,7574571
2017,7568,7568,7578,6329,22269780,18990584,3279196,961131,812316,1505749,3538,171,3367,3582,208,3374,0
2018,7568,7568,7578,6322,30752190,27726038,3026152,1079335,551888,1394929,2003,195,1808,2044,231,1813,0
2019,7568,7568,7578,6331,6165681,5665609,500072,72791,116757,310524,3626,175,3451,3673,211,3462,15677139
2020,7568,7568,7578,6324,17224819,15138237,2086582,918953,412591,755038,2834,175,2659,2876,210,2666,8961996
2021,7568,7568,7578,6285,38560428,30358029,8202399,5149634,1893978,1158787,590,184,406,637,230,407,0
2022,7568,7568,7578,6373,14503594,13248631,1254963,322749,336253,595961,4827,149,4678,4878,192,4686,646135
2023,7568,7568,7578,6462,13019256,11749840,1269416,143272,335118,791026,5212,126,5086,5259,167,5092,0
2024,7568,7568,7578,6291,25933518,22070892,3862626,1690655,727792,1444179,2875,168,2707,2925,211,2714,0
2025,7568,7568,7578,6266,24777944,20243167,4534777,2924316,1018026,592435,205,182,23,249,226,23,15947449
2026,7568,7568,7578,6330,32907330,26977274,5930056,2736505,1496979,1696572,1613,204,1409,1651,240,1411,0
2027,7568,7568,7578,7511,585756,424693,161063,968,31946,128149,7462,37,7425,7472,39,7433,0
2028,7568,7568,7578,7191,3246898,2910830,336068,24225,93329,218514,6887,103,6784,6918,127,6791,519324
2029,7568,7568,7578,6323,16522612,14391897,2130715,934337,478889,717489,2579,170,2409,2622,207,2415,11077174
2030,7568,7568,7578,7564,127098,78465,48633,5025,12413,31195,7545,34,7511,7556,38,7518,0
