"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,28279357,6632364,3509292,0,5028354,6180634,6928713,0,549515,338592,8469,0,0,0,202454,0,6362,5060
2011,10476232,1805661,1158354,0,1434603,2595719,3481895,0,262071,129403,55511,0,0,0,77157,0,4763,3460
2012,19934459,4717080,2303034,0,152496,5345957,7415892,0,731934,329711,203379,0,0,0,198844,0,4190,2903
2013,21032569,4539593,1926739,0,1358151,5800795,7407291,0,659089,411057,1989,0,0,0,246043,0,4565,3275
2014,33984084,10687743,7489368,0,1360646,6969649,7476678,0,1170845,589327,227059,0,0,0,354459,0,7285,5948
2015,8752809,1216609,517570,0,74454,2178592,4765584,0,354889,139185,131667,0,0,0,84037,0,2032,996
2016,13054233,2578406,1295744,0,637004,3460327,5082752,0,315490,171207,41958,0,0,0,102325,0,4015,2738
2017,18990584,4330234,1610894,0,344491,5371963,7333002,0,812316,362304,231460,0,0,0,218552,0,4030,2747
2018,27726038,6398533,5485141,0,2040090,6336648,7465626,0,551888,312106,52688,0,0,0,187094,0,5565,4278
2019,5665609,883128,566592,0,103455,1620234,2492200,0,116757,50670,35953,0,0,0,30134,0,3942,2658
2020,15138237,3157113,1488618,0,1349394,3920438,5222674,0,412591,246818,18241,0,0,0,147532,0,4734,3448
2021,30358029,8586814,5038609,0,2285807,6953543,7493256,0,1893978,910398,434664,0,0,0,548916,0,6978,5648
2022,13248631,1736202,1097489,0,276576,3486864,6651500,0,336253,169234,65588,0,0,0,101431,0,2741,1495
2023,11749840,1677631,962833,0,1006,2886094,6222276,0,335118,152212,91370,0,0,0,91536,0,2356,1203
2024,22070892,5069533,1913796,0,1373237,6254226,7460100,0,727792,455155,0,0,0,0,272637,0,4693,3366
2025,20243167,5238270,3423749,0,2493919,4395915,4691314,0,1018026,495969,223605,0,0,0,298452,0,7363,6017
2026,26977274,7955436,4527545,0,515082,6607527,7371684,0,1496979,596439,539087,0,0,0,361453,0,5955,4679
