"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6309,31218734,28279357,2939377,1690118,549515,699744,1206,189,1017,1249,229,1020,3945918,2010,28279357,6632364,3509292,0,5028354,6180634,6928713,0,549515,338592,8469,0,0,0,202454,0,6362,5060
2011,7568,7568,7578,6309,11518191,10476232,1041959,528498,262071,251390,2805,176,2629,2849,215,2634,14849624,2011,10476232,1805661,1158354,0,1434603,2595719,3481895,0,262071,129403,55511,0,0,0,77157,0,4763,3460
2012,7568,7568,7578,6324,23153940,19934459,3219481,855009,731934,1632538,3378,177,3201,3421,214,3207,0,2012,19934459,4717080,2303034,0,152496,5345957,7415892,0,731934,329711,203379,0,0,0,198844,0,4190,2903
2013,7568,7568,7578,6322,24551336,21032569,3518767,1425018,659089,1434660,3003,178,2825,3047,214,2833,675479,2013,21032569,4539593,1926739,0,1358151,5800795,7407291,0,659089,411057,1989,0,0,0,246043,0,4565,3275
2014,7568,7568,7578,6275,40245135,33984084,6261051,2635254,1170845,2454952,283,182,101,327,226,101,11775,2014,33984084,10687743,7489368,0,1360646,6969649,7476678,0,1170845,589327,227059,0,0,0,354459,0,7285,5948
2015,7568,7568,7578,6553,9819086,8752809,1066277,207687,354889,503701,5536,120,5416,5557,136,5421,1417204,2015,8752809,1216609,517570,0,74454,2178592,4765584,0,354889,139185,131667,0,0,0,84037,0,2032,996
2016,7568,7568,7578,6337,14637567,13054233,1583334,398348,315490,869496,3553,181,3372,3599,219,3380,7574571,2016,13054233,2578406,1295744,0,637004,3460327,5082752,0,315490,171207,41958,0,0,0,102325,0,4015,2738
2017,7568,7568,7578,6329,22269780,18990584,3279196,961131,812316,1505749,3538,171,3367,3582,208,3374,0,2017,18990584,4330234,1610894,0,344491,5371963,7333002,0,812316,362304,231460,0,0,0,218552,0,4030,2747
2018,7568,7568,7578,6322,30752190,27726038,3026152,1079335,551888,1394929,2003,195,1808,2044,231,1813,0,2018,27726038,6398533,5485141,0,2040090,6336648,7465626,0,551888,312106,52688,0,0,0,187094,0,5565,4278
2019,7568,7568,7578,6331,6165681,5665609,500072,72791,116757,310524,3626,175,3451,3673,211,3462,15677139,2019,5665609,883128,566592,0,103455,1620234,2492200,0,116757,50670,35953,0,0,0,30134,0,3942,2658
2020,7568,7568,7578,6324,17224819,15138237,2086582,918953,412591,755038,2834,175,2659,2876,210,2666,8961996,2020,15138237,3157113,1488618,0,1349394,3920438,5222674,0,412591,246818,18241,0,0,0,147532,0,4734,3448
2021,7568,7568,7578,6285,38560428,30358029,8202399,5149634,1893978,1158787,590,184,406,637,230,407,0,2021,30358029,8586814,5038609,0,2285807,6953543,7493256,0,1893978,910398,434664,0,0,0,548916,0,6978,5648
2022,7568,7568,7578,6373,14503594,13248631,1254963,322749,336253,595961,4827,149,4678,4878,192,4686,646135,2022,13248631,1736202,1097489,0,276576,3486864,6651500,0,336253,169234,65588,0,0,0,101431,0,2741,1495
2023,7568,7568,7578,6462,13019256,11749840,1269416,143272,335118,791026,5212,126,5086,5259,167,5092,0,2023,11749840,1677631,962833,0,1006,2886094,6222276,0,335118,152212,91370,0,0,0,91536,0,2356,1203
2024,7568,7568,7578,6291,25933518,22070892,3862626,1690655,727792,1444179,2875,168,2707,2925,211,2714,0,2024,22070892,5069533,1913796,0,1373237,6254226,7460100,0,727792,455155,0,0,0,0,272637,0,4693,3366
2025,7568,7568,7578,6266,24777944,20243167,4534777,2924316,1018026,592435,205,182,23,249,226,23,15947449,2025,20243167,5238270,3423749,0,2493919,4395915,4691314,0,1018026,495969,223605,0,0,0,298452,0,7363,6017
2026,7568,7568,7578,6330,32907330,26977274,5930056,2736505,1496979,1696572,1613,204,1409,1651,240,1411,0,2026,26977274,7955436,4527545,0,515082,6607527,7371684,0,1496979,596439,539087,0,0,0,361453,0,5955,4679
2027,7568,7568,7578,7511,585756,424693,161063,968,31946,128149,7462,37,7425,7472,39,7433,0,2027,424693,255702,167194,0,1797,0,0,0,31946,16119,6218,0,0,0,9609,0,106,39
2028,7568,7568,7578,7191,3246898,2910830,336068,24225,93329,218514,6887,103,6784,6918,127,6791,519324,2028,2910830,458622,243836,0,70425,1307619,830328,0,93329,41512,27273,0,0,0,24544,0,681,273
2029,7568,7568,7578,6323,16522612,14391897,2130715,934337,478889,717489,2579,170,2409,2622,207,2415,11077174,2029,14391897,2774087,1495677,0,1068117,4096751,4957265,0,478889,236787,100098,0,0,0,142004,0,4989,3701
2030,7568,7568,7578,7564,127098,78465,48633,5025,12413,31195,7545,34,7511,7556,38,7518,0,2030,78465,51443,20973,0,6049,0,0,0,12413,6256,2578,0,0,0,3579,0,23,8
2031,7568,7568,7578,6322,40444794,30965562,9479232,5211883,1858674,2408675,249,193,56,285,228,57,0,2031,30965562,11263608,3147582,0,697218,8181540,7675614,0,1858674,946808,341797,0,0,0,570069,0,7319,6037
2032,7568,7568,7578,6288,28395419,24793080,3602339,1863533,703094,1035712,2224,177,2047,2272,220,2052,1135825,2032,24793080,4944780,3364389,0,2902669,6141929,7439313,0,703094,418903,33276,0,0,0,250915,0,5344,4016
2033,7568,7568,7578,6309,36449496,33772484,2677012,813215,566808,1296989,972,190,782,1013,229,784,0,2033,33772484,8743541,6255548,0,3930594,7344019,7498782,0,566808,242273,178307,0,0,0,146228,0,6596,5296
2034,7568,7568,7578,6345,17600310,15637785,1962525,246732,492941,1222852,4383,151,4232,4431,193,4238,0,2034,15637785,2847052,1402770,0,74798,4168047,7145118,0,492941,209964,156458,0,0,0,126519,0,3185,1914
2035,7568,7568,7578,6973,6062022,5712546,349476,8500,80451,260525,6471,96,6375,6494,114,6380,0,2035,5712546,787016,614629,0,154410,2006877,2149614,0,80451,35619,23820,0,0,0,21012,0,1097,479
2036,7568,7568,7578,6324,21245858,18644943,2600915,1309824,592329,698762,3720,165,3555,3762,199,3563,18190,2036,18644943,2857211,1884107,0,1560651,4954712,7388262,0,592329,348024,35982,0,0,0,208323,0,3848,2562
2037,7568,7568,7578,6322,26966880,23701538,3265342,1736645,646291,882406,2688,179,2509,2731,215,2516,0,2037,23701538,4715280,3529078,0,2420357,5582249,7454574,0,646291,403469,1453,0,0,0,241369,0,4880,3591
2038,7568,7568,7578,6309,35995282,27599714,8395568,5060951,1625356,1709261,609,190,419,651,230,421,2463972,2038,27599714,8990092,2374474,0,1692462,7301036,7241650,0,1625356,914969,160793,0,0,0,549594,0,6959,5658
2039,7568,7568,7578,6327,22982634,19898166,3084468,1047025,696345,1341098,3409,167,3242,3455,205,3250,0,2039,19898166,3962105,3726215,0,252952,4579684,7377210,0,696345,344164,145206,0,0,0,206975,0,4159,2872
2040,7568,7568,7578,6637,9493668,8652695,840973,118846,212606,509521,5850,112,5738,5874,129,5745,0,2040,8652695,1052696,461502,0,19069,2333912,4785516,0,212606,106320,42713,0,0,0,63573,0,1718,763
2041,7568,7568,7578,6285,28364958,24715725,3649233,1193420,858286,1597527,2435,181,2254,2485,226,2259,0,2041,24715725,6228069,3221557,0,1335203,6465270,7465626,0,858286,373255,259558,0,0,0,225473,0,5133,3800
2042,7568,7568,7578,6370,11093104,10079113,1013991,123783,257434,632774,4979,137,4842,5026,178,4848,3227882,2042,10079113,1310948,757432,0,841,2552572,5457320,0,257434,122930,60926,0,0,0,73578,0,2589,1344
2043,7568,7568,7578,6459,13069476,11866740,1202736,141970,228649,832117,4910,127,4783,4954,163,4791,1621794,2043,11866740,1844833,992246,0,246504,3144285,5638872,0,228649,136968,9987,0,0,0,81694,0,2658,1505
2044,7568,7568,7578,6269,31072698,26024613,5048085,2057404,1275831,1714850,1945,182,1763,1993,226,1767,0,2044,26024613,7062122,4363484,0,838345,6300562,7460100,0,1275831,518188,443599,0,0,0,314044,0,5623,4276
2045,7568,7568,7578,6431,13433706,12700534,733172,79768,181895,471509,5137,118,5019,5190,168,5022,0,2045,12700534,1539204,774786,0,777235,3105207,6504102,0,181895,88101,41259,0,0,0,52535,0,2431,1241
2046,7568,7568,7578,6341,16821144,14965725,1855419,400091,431528,1023800,4524,159,4365,4569,195,4374,0,2046,14965725,2297726,1232444,0,127610,4151775,7156170,0,431528,241497,45286,0,0,0,144745,0,3044,1772
2047,7568,7568,7578,6308,25124439,20870575,4253864,1791537,786337,1675990,1640,189,1451,1682,229,1453,7655136,2047,20870575,6059098,2855898,0,731531,5316691,5907357,0,786337,450808,65187,0,0,0,270342,0,5928,4626
2048,7568,7568,7578,6324,22115052,19080975,3034077,721266,1047480,1265331,3566,177,3389,3610,214,3396,0,2048,19080975,4189341,1302069,0,615521,5558152,7415892,0,1047480,323269,526530,0,0,0,197681,0,4002,2714
2049,7568,7568,7578,7567,104994,57419,47575,9484,14334,23757,7549,15,7534,7561,18,7543,0,2049,57419,43327,14092,0,0,0,0,0,14334,6661,3846,0,0,0,3827,0,19,6
2050,7568,7568,7578,7246,3315600,2869646,445954,16003,93166,336785,6968,71,6897,6973,69,6904,0,2050,2869646,664357,199612,0,107101,1417814,480762,0,93166,50043,13392,0,0,0,29731,0,600,273
2051,7568,7568,7578,6281,20750215,17019665,3730550,2152644,758323,819583,2077,185,1892,2125,228,1897,9620575,2051,17019665,3990659,2200598,0,1071928,4424911,5331569,0,758323,449224,40221,0,0,0,268878,0,5491,4156
