"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,7014,5570208,5014964,555244,51411,152767,351066,6560,67,6493,6587,85,6502,0
2011,7568,7568,7578,6334,18042390,15707066,2335324,508577,646748,1179999,4303,163,4140,4351,202,4149,0
2012,7568,7568,7578,6323,34675650,29457260,5218390,1951525,1042782,2224083,1293,196,1097,1332,233,1099,0
2013,7568,7568,7578,6946,6796980,6196875,600105,39898,120682,439525,6338,94,6244,6364,112,6252,0
2014,7568,7568,7578,6322,37223136,30897998,6325138,2756968,1137599,2430571,832,192,640,869,228,641,0
2015,7568,7568,7578,6324,14278787,12383254,1895533,494082,433366,968085,3287,174,3113,3328,210,3118,9411104
2016,7568,7568,7578,6382,15058350,13685537,1372813,235517,326421,810875,4843,151,4692,4892,195,4697,0
2017,7568,7568,7578,6376,16647834,15281412,1366422,136535,319999,909888,4549,153,4396,4599,196,4403,35160
2018,7568,7568,7578,6329,30243798,26612207,3631591,1151596,565644,1914351,2095,177,1918,2137,217,1920,0
2019,7568,7568,7578,6324,4355884,4064081,291803,54825,77358,159620,2377,201,2176,2420,238,2182,24397209
2020,7568,7568,7578,7274,2740896,2289460,451436,79161,120798,251477,7072,55,7017,7074,48,7026,0
2021,7568,7568,7578,6322,36195164,29687796,6507368,2841666,1194445,2471257,1011,193,818,1050,229,821,38818
2022,7568,7568,7578,6303,32225672,28032273,4193399,2218133,813753,1161513,1560,187,1373,1607,232,1375,975988
2023,7568,7568,7578,6310,35073522,28779695,6293827,3601167,1129214,1563446,1221,192,1029,1264,231,1033,0
2024,7568,7568,7578,6276,27635526,22238146,5397380,2679662,1242218,1475500,2567,179,2388,2615,222,2393,0
2025,7568,7568,7578,6474,15594929,13374448,2220481,551199,640538,1028744,4654,137,4517,4689,169,4520,509161
2026,7568,7568,7578,6367,16865352,14871354,1993998,327537,487915,1178546,4516,151,4365,4564,191,4373,0
