"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,5014964,765610,334273,0,33067,2030804,1851210,0,152767,68695,42869,0,0,0,41203,0,1008,427
2011,15707066,2785988,730287,0,28441,4928816,7233534,0,646748,288860,183753,0,0,0,174135,0,3265,1983
2012,29457260,8557887,3685494,0,1987317,7545422,7681140,0,1042782,478681,275341,0,0,0,288760,0,6275,4991
2013,6196875,932462,358965,0,265003,1971387,2669058,0,120682,65674,15996,0,0,0,39012,0,1230,582
2014,30897998,9024729,4697922,0,1718754,7792031,7664562,0,1137599,624602,137884,0,0,0,375113,0,6736,5453
2015,12383254,2775675,1195033,0,155138,3577165,4680243,0,433366,196728,118299,0,0,0,118339,0,4281,2996
2016,13685537,1845266,1004751,0,383122,3589106,6863292,0,326421,171382,52332,0,0,0,102707,0,2725,1490
2017,15281412,2421916,1118270,0,847152,3958944,6935130,0,319999,135700,102710,0,0,0,81589,0,3019,1777
2018,26612207,6501135,4597984,0,426794,6576254,8510040,0,565644,323166,48801,0,0,0,193677,0,5473,4192
2019,4064081,471671,326015,0,138639,1168713,1959043,0,77358,30053,29667,0,0,0,17638,0,5191,3904
2020,2289460,488761,175542,0,38856,1061331,524970,0,120798,63211,19980,0,0,0,37607,0,496,200
2021,29687796,9389259,4223857,0,1377652,7220350,7476678,0,1194445,646842,158788,0,0,0,388815,0,6557,5272
2022,28032273,5183260,2450117,0,5337379,7643571,7417946,0,813753,492632,26156,0,0,0,294965,0,6008,4696
2023,28779695,8144380,4065425,0,2202334,6885352,7482204,0,1129214,698469,12213,0,0,0,418532,0,6347,5046
2024,22238146,5769639,2451803,0,299925,6267731,7449048,0,1242218,613779,258790,0,0,0,369649,0,5001,3661
2025,13374448,2576271,907291,0,11960,3904900,5974026,0,640538,273892,201413,0,0,0,165233,0,2914,1785
2026,14871354,2650682,1348078,0,23096,3875686,6973812,0,487915,229648,120139,0,0,0,138128,0,3052,1803
2027,8369589,1252206,776675,0,54816,2185600,4100292,0,278516,94874,126247,0,0,0,57395,0,1665,801
2028,16030967,2915097,1124248,0,795003,4267015,6929604,0,435600,205080,107244,0,0,0,123276,0,3243,2007
2029,9540192,1747555,698957,0,57565,2838172,4197943,0,339808,186248,42306,0,0,0,111254,0,3793,2505
2030,1612046,475812,369703,0,13554,703243,49734,0,121140,58613,27781,0,0,0,34746,0,370,160
2031,28106593,9348576,3307725,0,442870,7392594,7614828,0,1417501,713005,275117,0,0,0,429379,0,6382,5100
2032,14341269,1445609,835097,0,1563626,3827055,6669882,0,205192,120446,12971,0,0,0,71775,0,2750,1519
2033,29368989,8760486,3072248,0,1700113,8110794,7725348,0,1740032,673730,657657,0,0,0,408645,0,6553,5269
2034,2043159,449443,279455,0,126684,1021797,165780,0,147843,40657,82756,0,0,0,24430,0,430,176
2035,2017823,576088,266270,0,58638,923417,193410,0,118464,67353,10923,0,0,0,40188,0,455,207
2036,15868732,2854610,1233213,0,15140,4543287,7222482,0,667331,309592,171356,0,0,0,186383,0,3321,2042
2037,40007,23889,10582,0,5536,0,0,0,5070,3067,530,0,0,0,1473,0,13,5
2038,11861855,2462588,1051708,0,823738,3399498,4124323,0,495143,290475,30942,0,0,0,173726,0,5278,3990
2039,21001851,4485025,2610227,0,1088155,5430182,7388262,0,633991,336143,96122,0,0,0,201726,0,4362,3075
2040,28186899,7350802,3365652,0,2997306,6946319,7526820,0,1182923,564305,278568,0,0,0,340050,0,6247,4962
2041,9192635,1136556,1035135,0,98664,2153342,4768938,0,167809,77687,43777,0,0,0,46345,0,1791,842
2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2043,8087274,1088422,701342,0,88702,2367535,3841273,0,226051,99769,66619,0,0,0,59663,0,3064,1782
2044,12398596,1753762,1064537,0,154016,3093485,6332796,0,626404,222801,268566,0,0,0,135037,0,2544,1368
2045,193417,110244,58475,0,24698,0,0,0,16462,8906,2339,0,0,0,5217,0,49,19
2046,44071,32051,8671,0,3349,0,0,0,10450,4338,3654,0,0,0,2458,0,14,5
2047,819107,319777,163930,0,105621,229779,0,0,82757,38893,20909,0,0,0,22955,0,214,85
2048,10284973,1839052,606025,0,99397,2530255,5210244,0,374312,188946,72100,0,0,0,113266,0,2425,1382
2049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,9997966,1449885,603453,0,0,2484940,5459688,0,411290,137508,190382,0,0,0,83400,0,2014,969
2051,191206,106851,56733,0,27622,0,0,0,18360,8599,4711,0,0,0,5050,0,72,27
2052,30145,21929,6809,0,1407,0,0,0,6182,2413,2523,0,0,0,1246,0,10,5
2053,4539247,595042,317009,0,159942,1483006,1984248,0,80464,37600,20522,0,0,0,22342,0,1076,482
2054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2056,3663670,541262,305804,0,36956,1514194,1265454,0,125131,78262,378,0,0,0,46491,0,759,303
2057,19042321,4246582,2251116,0,92680,5146571,7305372,0,853790,280370,402459,0,0,0,170961,0,3946,2655
2058,74573,47123,18270,0,9180,0,0,0,19201,7425,7380,0,0,0,4396,0,23,8
2059,3353906,543503,257425,0,0,1696448,856530,0,93367,55906,4346,0,0,0,33115,0,684,260
2060,26522743,7656723,3894259,0,905078,6547514,7519169,0,1730991,746819,532615,0,0,0,451557,0,6309,5019
2061,2134293,465646,207489,0,31634,1147698,281826,0,140716,68054,32244,0,0,0,40418,0,470,192
2062,16567871,3326045,1679029,0,47741,4369938,7145118,0,818823,358022,244781,0,0,0,216020,0,3538,2265
2063,903887,418852,149146,0,0,335889,0,0,131583,59809,36129,0,0,0,35645,0,241,94
2064,16403573,2700191,1598954,0,323628,4623000,7157800,0,493599,276689,51053,0,0,0,165857,0,3501,2218
2065,5640242,746228,411614,0,88664,2029436,2364300,0,153894,59693,58404,0,0,0,35797,0,1157,499
2066,9400919,1186092,817969,0,549817,2203041,4644000,0,207372,71166,93427,0,0,0,42779,0,1882,938
2067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2068,5596,3824,1710,0,62,0,0,0,658,189,383,0,0,0,86,0,2,0
2069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2070,7809491,931128,532964,0,370524,1991207,3983668,0,211566,73256,94068,0,0,0,44242,0,2320,1237
2071,420957,170118,142003,0,69674,39162,0,0,17768,9314,2962,0,0,0,5492,0,163,61
2072,43294,31156,11366,0,772,0,0,0,10683,4530,3635,0,0,0,2518,0,14,5
2073,49009,27838,9428,0,11743,0,0,0,8800,4520,1830,0,0,0,2450,0,22,8
2074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2076,7386680,817764,455445,0,167445,1976820,3969206,0,138344,84209,4376,0,0,0,49759,0,1620,726
2077,11968560,1722269,866927,0,504,3160010,6218850,0,490038,224883,129858,0,0,0,135297,0,2545,1373
2078,4585944,623112,423206,0,63422,1834982,1641222,0,156403,67115,48978,0,0,0,40310,0,922,376
2079,4093073,551379,378393,0,14415,932256,2216630,0,138313,51568,56027,0,0,0,30718,0,2096,1042
