"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,7014,5570208,5014964,555244,51411,152767,351066,6560,67,6493,6587,85,6502,0,2010,5014964,765610,334273,0,33067,2030804,1851210,0,152767,68695,42869,0,0,0,41203,0,1008,427
2011,7568,7568,7578,6334,18042390,15707066,2335324,508577,646748,1179999,4303,163,4140,4351,202,4149,0,2011,15707066,2785988,730287,0,28441,4928816,7233534,0,646748,288860,183753,0,0,0,174135,0,3265,1983
2012,7568,7568,7578,6323,34675650,29457260,5218390,1951525,1042782,2224083,1293,196,1097,1332,233,1099,0,2012,29457260,8557887,3685494,0,1987317,7545422,7681140,0,1042782,478681,275341,0,0,0,288760,0,6275,4991
2013,7568,7568,7578,6946,6796980,6196875,600105,39898,120682,439525,6338,94,6244,6364,112,6252,0,2013,6196875,932462,358965,0,265003,1971387,2669058,0,120682,65674,15996,0,0,0,39012,0,1230,582
2014,7568,7568,7578,6322,37223136,30897998,6325138,2756968,1137599,2430571,832,192,640,869,228,641,0,2014,30897998,9024729,4697922,0,1718754,7792031,7664562,0,1137599,624602,137884,0,0,0,375113,0,6736,5453
2015,7568,7568,7578,6324,14278787,12383254,1895533,494082,433366,968085,3287,174,3113,3328,210,3118,9411104,2015,12383254,2775675,1195033,0,155138,3577165,4680243,0,433366,196728,118299,0,0,0,118339,0,4281,2996
2016,7568,7568,7578,6382,15058350,13685537,1372813,235517,326421,810875,4843,151,4692,4892,195,4697,0,2016,13685537,1845266,1004751,0,383122,3589106,6863292,0,326421,171382,52332,0,0,0,102707,0,2725,1490
2017,7568,7568,7578,6376,16647834,15281412,1366422,136535,319999,909888,4549,153,4396,4599,196,4403,35160,2017,15281412,2421916,1118270,0,847152,3958944,6935130,0,319999,135700,102710,0,0,0,81589,0,3019,1777
2018,7568,7568,7578,6329,30243798,26612207,3631591,1151596,565644,1914351,2095,177,1918,2137,217,1920,0,2018,26612207,6501135,4597984,0,426794,6576254,8510040,0,565644,323166,48801,0,0,0,193677,0,5473,4192
2019,7568,7568,7578,6324,4355884,4064081,291803,54825,77358,159620,2377,201,2176,2420,238,2182,24397209,2019,4064081,471671,326015,0,138639,1168713,1959043,0,77358,30053,29667,0,0,0,17638,0,5191,3904
2020,7568,7568,7578,7274,2740896,2289460,451436,79161,120798,251477,7072,55,7017,7074,48,7026,0,2020,2289460,488761,175542,0,38856,1061331,524970,0,120798,63211,19980,0,0,0,37607,0,496,200
2021,7568,7568,7578,6322,36195164,29687796,6507368,2841666,1194445,2471257,1011,193,818,1050,229,821,38818,2021,29687796,9389259,4223857,0,1377652,7220350,7476678,0,1194445,646842,158788,0,0,0,388815,0,6557,5272
2022,7568,7568,7578,6303,32225672,28032273,4193399,2218133,813753,1161513,1560,187,1373,1607,232,1375,975988,2022,28032273,5183260,2450117,0,5337379,7643571,7417946,0,813753,492632,26156,0,0,0,294965,0,6008,4696
2023,7568,7568,7578,6310,35073522,28779695,6293827,3601167,1129214,1563446,1221,192,1029,1264,231,1033,0,2023,28779695,8144380,4065425,0,2202334,6885352,7482204,0,1129214,698469,12213,0,0,0,418532,0,6347,5046
2024,7568,7568,7578,6276,27635526,22238146,5397380,2679662,1242218,1475500,2567,179,2388,2615,222,2393,0,2024,22238146,5769639,2451803,0,299925,6267731,7449048,0,1242218,613779,258790,0,0,0,369649,0,5001,3661
2025,7568,7568,7578,6474,15594929,13374448,2220481,551199,640538,1028744,4654,137,4517,4689,169,4520,509161,2025,13374448,2576271,907291,0,11960,3904900,5974026,0,640538,273892,201413,0,0,0,165233,0,2914,1785
2026,7568,7568,7578,6367,16865352,14871354,1993998,327537,487915,1178546,4516,151,4365,4564,191,4373,0,2026,14871354,2650682,1348078,0,23096,3875686,6973812,0,487915,229648,120139,0,0,0,138128,0,3052,1803
2027,7568,7568,7578,6716,9200790,8369589,831201,66938,278516,485747,5903,127,5776,5915,131,5784,0,2027,8369589,1252206,776675,0,54816,2185600,4100292,0,278516,94874,126247,0,0,0,57395,0,1665,801
2028,7568,7568,7578,6382,17920818,16030967,1889851,366195,435600,1088056,4325,151,4174,4375,195,4180,0,2028,16030967,2915097,1124248,0,795003,4267015,6929604,0,435600,205080,107244,0,0,0,123276,0,3243,2007
2029,7568,7568,7578,6324,11052148,9540192,1511956,490342,339808,681806,3775,177,3598,3819,214,3605,9947052,2029,9540192,1747555,698957,0,57565,2838172,4197943,0,339808,186248,42306,0,0,0,111254,0,3793,2505
2030,7568,7568,7578,7359,2044620,1612046,432574,68964,121140,242470,7198,68,7130,7199,64,7135,0,2030,1612046,475812,369703,0,13554,703243,49734,0,121140,58613,27781,0,0,0,34746,0,370,160
2031,7568,7568,7578,6326,35266932,28106593,7160339,3279483,1417501,2463355,1186,196,990,1226,233,993,0,2031,28106593,9348576,3307725,0,442870,7392594,7614828,0,1417501,713005,275117,0,0,0,429379,0,6382,5100
2032,7568,7568,7578,6388,15186802,14341269,845533,321096,205192,319245,4818,153,4665,4869,200,4669,9698,2032,14341269,1445609,835097,0,1563626,3827055,6669882,0,205192,120446,12971,0,0,0,71775,0,2750,1519
2033,7568,7568,7578,6322,36211878,29368989,6842889,3299633,1740032,1803224,1015,198,817,1053,232,821,0,2033,29368989,8760486,3072248,0,1700113,8110794,7725348,0,1740032,673730,657657,0,0,0,408645,0,6553,5269
2034,7568,7568,7578,7310,2376180,2043159,333021,27830,147843,157348,7138,71,7067,7134,60,7074,0,2034,2043159,449443,279455,0,126684,1021797,165780,0,147843,40657,82756,0,0,0,24430,0,430,176
2035,7568,7568,7578,7319,2514330,2017823,496507,74451,118464,303592,7113,75,7038,7112,68,7044,0,2035,2017823,576088,266270,0,58638,923417,193410,0,118464,67353,10923,0,0,0,40188,0,455,207
2036,7568,7568,7578,6333,18351846,15868732,2483114,726537,667331,1089246,4247,160,4087,4291,198,4093,0,2036,15868732,2854610,1233213,0,15140,4543287,7222482,0,667331,309592,171356,0,0,0,186383,0,3321,2042
2037,7568,7568,7578,7569,63349,40007,23342,3066,5070,15206,7555,48,7507,7564,51,7513,8489,2037,40007,23889,10582,0,5536,0,0,0,5070,3067,530,0,0,0,1473,0,13,5
2038,7568,7568,7578,6323,14256623,11861855,2394768,1399488,495143,500137,2290,189,2101,2333,227,2106,14952940,2038,11861855,2462588,1051708,0,823738,3399498,4124323,0,495143,290475,30942,0,0,0,173726,0,5278,3990
2039,7568,7568,7578,6324,24103327,21001851,3101476,946710,633991,1520775,3206,167,3039,3249,204,3045,1085,2039,21001851,4485025,2610227,0,1088155,5430182,7388262,0,633991,336143,96122,0,0,0,201726,0,4362,3075
2040,7568,7568,7578,6322,33492001,28186899,5305102,2432155,1182923,1690024,1321,192,1129,1360,227,1133,1029623,2040,28186899,7350802,3365652,0,2997306,6946319,7526820,0,1182923,564305,278568,0,0,0,340050,0,6247,4962
2041,7568,7568,7578,6641,9897066,9192635,704431,40191,167809,496431,5777,109,5668,5799,125,5674,0,2041,9192635,1136556,1035135,0,98664,2153342,4768938,0,167809,77687,43777,0,0,0,46345,0,1791,842
2042,7568,7568,7578,7578,0,0,0,0,0,0,7568,46,7522,7578,50,7528,0,2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
