"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6341,18628146,16717367,1910779,375699,401540,1133540,4197,152,4045,4246,192,4054,0
2011,7568,7568,7578,6349,19186097,17511666,1674431,160316,283947,1230168,4096,160,3936,4145,200,3945,175
2012,7568,7568,7578,6322,28845720,24150458,4695262,2431002,918910,1345350,2348,198,2150,2390,234,2156,0
2013,7568,7568,7578,6324,25832743,22202935,3629808,977881,818672,1833255,2854,177,2677,2895,214,2681,216821
2014,7568,7568,7578,6572,11454910,10743305,711605,25240,116906,569459,5494,130,5364,5517,147,5370,6014
2015,7568,7568,7578,6322,40566366,34920775,5645591,1753052,956938,2935601,227,191,36,264,227,37,0
2016,7568,7568,7578,6742,8570826,7958482,612344,63647,137553,411144,6017,117,5900,6034,130,5904,0
2017,7568,7568,7578,7578,0,0,0,0,0,0,7568,34,7534,7578,39,7539,0
2018,7568,7568,7578,6322,29099916,25757784,3342132,935590,542333,1864209,2302,195,2107,2343,230,2113,0
2019,7568,7568,7578,6286,14995628,12967215,2028413,830362,329910,868141,443,185,258,489,231,258,24430320
2020,7568,7568,7578,6267,26900568,23369568,3531000,1161915,723930,1645155,2700,168,2532,2747,211,2536,0
2021,7568,7568,7578,6337,19285740,16598814,2686926,1109212,639827,937887,4078,158,3920,4127,199,3928,0
2022,7568,7568,7578,6396,14091300,12992279,1099021,176046,230509,692466,5018,140,4878,5068,181,4887,0
2023,7568,7568,7578,6316,23839164,20907168,2931996,750846,574017,1607133,3254,162,3092,3300,202,3098,0
2024,7568,7568,7578,6299,37178928,30245795,6933133,3266398,1111593,2555142,840,187,653,883,229,654,0
2025,7568,7568,7578,6322,31320944,26370975,4949969,1911013,1126285,1912671,1420,195,1225,1459,231,1228,2657301
2026,7568,7568,7578,6771,7968492,7372956,595536,57597,129392,408547,6126,124,6002,6143,136,6007,0
2027,7568,7568,7578,6317,40124286,32873114,7251172,3948385,1318441,1984346,307,191,116,343,227,116,0
2028,7568,7568,7578,6371,16296174,15965032,331142,94600,74680,161862,4619,155,4464,4667,197,4470,0
2029,7568,7568,7578,6328,17257698,15477852,1779846,256647,467471,1055728,4445,170,4275,4493,208,4285,0
2030,7568,7568,7578,7203,3840570,3382904,457666,31608,121718,304340,6873,80,6793,6899,102,6797,0
2031,7568,7568,7578,6335,21794544,18460039,3334505,911995,703938,1718572,3624,169,3455,3669,207,3462,0
2032,7568,7568,7578,6303,32951538,27985251,4966287,2493330,1218188,1254769,1605,192,1413,1650,232,1418,0
2033,7568,7568,7578,6801,7288794,6735643,553151,87616,134244,331291,6249,117,6132,6267,126,6141,0
2034,7568,7568,7578,6322,39582738,33233747,6348991,3371972,1106896,1870123,405,191,214,443,227,216,0
2035,7568,7568,7578,6309,34846956,27087949,7759007,4142773,1481428,2134806,1262,194,1068,1305,233,1072,0
2036,7568,7568,7578,6483,12963996,11562751,1401245,276175,323981,801089,5222,120,5102,5258,150,5108,0
2037,7568,7568,7578,6322,37062882,30615794,6447088,2908857,1129290,2408941,861,200,661,897,235,662,0
2038,7568,7568,7578,6333,21599631,19624025,1975606,434391,335227,1205988,3102,164,2938,3144,199,2945,3088080
2039,7568,7568,7578,6343,23778378,20617370,3161008,1196208,616378,1348422,3265,166,3099,3314,207,3107,0
2040,7568,7568,7578,6324,18799452,16775642,2023810,348213,467716,1207881,4166,173,3993,4209,206,4003,0
2041,7568,7568,7578,6709,8128746,7614843,513903,55687,103374,354842,6097,130,5967,6114,139,5975,0
2042,7568,7568,7578,6292,18603145,16355786,2247359,543601,536946,1166812,3817,154,3663,3870,200,3670,2133729
2043,7568,7568,7578,6510,11487763,10484887,1002876,175617,232263,594996,5278,96,5182,5306,119,5187,1169489
2044,7568,7568,7578,6306,33051006,27743703,5307303,2277087,1038335,1991881,1587,189,1398,1632,230,1402,0
2045,7568,7568,7578,6323,23662332,19834757,3827575,1963137,832158,1032280,3286,173,3113,3329,210,3119,0
2046,7568,7568,7578,6323,36919206,29158868,7760338,4819818,1761389,1179131,887,195,692,922,231,691,0
2047,7568,7568,7578,7578,0,0,0,0,0,0,7568,21,7547,7578,24,7554,0
2048,7568,7568,7578,6322,40036828,31665401,8371427,4647837,1687906,2035684,190,190,0,226,226,0,734252
2049,7568,7568,7578,6322,39582738,34946554,4636184,2663425,873600,1099159,405,189,216,441,225,216,0
2050,7568,7568,7578,6322,21524959,18564242,2960717,912560,665530,1382627,2836,178,2658,2875,215,2660,4638037
2051,7568,7568,7578,6375,10300995,9353640,947355,190226,245015,512114,4915,151,4764,4962,191,4771,4378779
2052,7568,7568,7578,6356,14732316,13292092,1440224,221342,329845,889037,4902,148,4754,4948,188,4760,0
2053,7568,7568,7578,6322,22651092,19739738,2911354,1054187,535717,1321450,2996,175,2821,3039,211,2828,2620587
2054,7568,7568,7578,6285,39499848,32774160,6725688,3449935,1307841,1967912,420,182,238,467,229,238,0
2055,7568,7568,7578,7318,1237809,1005708,232101,49082,65642,117377,7139,66,7073,7136,58,7078,1138119
2056,7568,7568,7578,6350,15843042,14484273,1358769,273998,339762,745009,4701,144,4557,4746,183,4563,0
2057,7568,7568,7578,6329,16715759,14637248,2078511,490017,605052,983442,3784,168,3616,3826,205,3621,4211080
2058,7568,7568,7578,7578,0,0,0,0,0,0,7568,34,7534,7578,39,7539,0
2059,7568,7568,7578,7578,0,0,0,0,0,0,7568,37,7531,7578,39,7539,0
2060,7568,7568,7578,6831,7692192,7136662,555530,57340,159819,338371,6176,90,6086,6198,101,6097,0
2061,7568,7568,7578,6475,10466530,9917831,548699,24275,147480,376944,5222,127,5095,5256,155,5101,2508796
2062,7568,7568,7578,7449,1193616,847829,345787,28303,110919,206565,7352,45,7307,7362,47,7315,0
2063,7568,7568,7578,7567,93942,63380,30562,2288,6731,21543,7551,67,7484,7560,72,7488,0
2064,7568,7568,7578,6335,14268602,13286687,981915,98254,297200,586461,4493,160,4333,4539,201,4338,2729826
2065,7568,7568,7578,7578,0,0,0,0,0,0,7568,35,7533,7578,38,7540,0
2066,7568,7568,7578,6323,34042327,27645477,6396850,3431745,1336181,1628924,1143,199,944,1180,234,946,1463077
2067,7568,7568,7578,7568,82890,44104,38786,11728,11068,15990,7553,66,7487,7563,68,7495,0
2068,7568,7568,7578,7468,948774,586218,362556,78717,83155,200684,7389,50,7339,7400,56,7344,40380
2069,7568,7568,7578,6285,35689880,29318385,6371495,3939250,1273063,1159182,1030,183,847,1081,231,850,440383
2070,7568,7568,7578,7265,2000244,1699404,300840,55664,96246,148930,7059,97,6962,7069,101,6968,817314
2071,7568,7568,7578,7398,1505349,1259880,245469,3345,60315,181809,7284,53,7231,7289,42,7247,64035
2072,7568,7568,7578,6343,19335474,16683491,2651983,776611,677360,1198012,4069,151,3918,4121,193,3928,0
2073,7568,7568,7578,6613,12521916,10919040,1602876,290875,459402,852599,5302,148,5154,5330,173,5157,0
2074,7568,7568,7578,7578,0,0,0,0,0,0,7568,51,7517,7578,54,7524,0
2075,7568,7568,7578,7578,0,0,0,0,0,0,7568,34,7534,7578,38,7540,0
2076,7568,7568,7578,6324,13719103,11453954,2265149,857110,588964,819075,3183,180,3003,3224,215,3009,10548958
2077,7568,7568,7578,7578,0,0,0,0,0,0,7568,9,7559,7578,13,7565,0
2078,7568,7568,7578,7508,618912,385073,233839,65216,56040,112583,7456,50,7406,7465,53,7412,0
2079,7568,7568,7578,6435,14041566,12446849,1594717,502962,454961,636794,5027,146,4881,5073,185,4888,0
2080,7568,7568,7578,6365,16594578,14786294,1808284,448472,529353,830459,4565,141,4424,4615,183,4432,0
2081,7568,7568,7578,6604,6083607,5586204,497403,81904,129813,285686,5771,113,5658,5793,128,5665,3857540
2082,7568,7568,7578,6330,16887456,14906685,1980771,431777,572440,976554,4512,164,4348,4554,196,4358,0
2083,7568,7568,7578,6576,5036666,4490897,545769,149939,172552,223278,5466,131,5335,5489,147,5342,6609626
2084,7568,7568,7578,7578,0,0,0,0,0,0,7568,24,7544,7578,27,7551,0
2085,7568,7568,7578,6341,14675562,13191156,1484406,375591,410768,698047,4461,150,4311,4511,191,4320,2495680
2086,7568,7568,7578,6860,6913026,6302866,610160,156207,169932,284021,6317,84,6233,6340,100,6240,0
2087,7568,7568,7578,7576,10275,5239,5036,637,1341,3058,7565,58,7507,7575,63,7512,6303
2088,7568,7568,7578,7578,0,0,0,0,0,0,7568,30,7538,7578,35,7543,0
2089,7568,7568,7578,6456,8895528,7876623,1018905,413289,292142,313474,5371,110,5261,5412,143,5269,3261121
2090,7568,7568,7578,7578,3491,2340,1151,14,185,952,7567,49,7518,7578,53,7525,2035
2091,7568,7568,7578,6765,3767770,3466412,301358,55337,124136,121885,6138,105,6033,6155,112,6043,4157522
2092,7568,7568,7578,7578,0,0,0,0,0,0,7568,29,7539,7578,33,7545,0
2093,7568,7568,7578,7578,0,0,0,0,0,0,7568,49,7519,7578,53,7525,0
2094,7568,7568,7578,7578,0,0,0,0,0,0,7568,22,7546,7578,25,7553,0
2095,7568,7568,7578,7578,0,0,0,0,0,0,7568,18,7550,7578,22,7556,0
2096,7568,7568,7578,7578,0,0,0,0,0,0,7568,13,7555,7578,3,7575,0
2097,7568,7568,7578,7578,0,0,0,0,0,0,7568,8,7560,7578,12,7566,0
2098,7568,7568,7578,7578,0,0,0,0,0,0,7568,48,7520,7578,54,7524,0
2099,7568,7568,7578,7578,0,0,0,0,0,0,7568,27,7541,7578,33,7545,0
