"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,16717367,2753416,1552380,0,587969,4645328,7178274,0,401540,218726,51981,0,0,0,130833,0,3371,2095
2011,17511666,3380692,1826014,0,207632,4653806,7443522,0,283947,136363,65665,0,0,0,81919,0,3472,2204
2012,24150458,5594559,2550245,0,2209004,6342076,7454574,0,918910,553926,33134,0,0,0,331850,0,5220,3932
2013,22202935,5519082,2551321,0,384636,6298848,7449048,0,818672,356400,247021,0,0,0,215251,0,4714,3429
2014,10743305,1353162,1065478,0,412599,2529742,5382324,0,116906,72780,985,0,0,0,43141,0,2074,1055
2015,34920775,11314435,6494372,0,885948,8522776,7703244,0,956938,442413,247617,0,0,0,266908,0,7341,6058
2016,7958482,912436,547507,0,293487,2231858,3973194,0,137553,74716,18337,0,0,0,44500,0,1551,708
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,25757784,6262715,4645837,0,940898,6453760,7454574,0,542333,323316,25366,0,0,0,193651,0,5266,3979
2019,12967215,3403500,2447876,0,368472,3080358,3667009,0,329910,203314,5600,0,0,0,120996,0,7125,5797
2020,23369568,5856941,3464479,0,372519,6215529,7460100,0,723930,356645,152612,0,0,0,214673,0,4868,3520
2021,16598814,2892654,2215589,0,166661,4200896,7123014,0,639827,340201,95623,0,0,0,204003,0,3490,2210
2022,12992279,1632061,1064169,0,167616,3375661,6752772,0,230509,140250,6749,0,0,0,83510,0,2550,1328
2023,20907168,4717704,2533014,0,550191,5657211,7449048,0,574017,309573,78748,0,0,0,185696,0,4314,3016
2024,30245795,9562772,4767509,0,904286,7506920,7504308,0,1111593,693019,3493,0,0,0,415081,0,6728,5416
2025,26370975,7303481,3666514,0,927494,7107099,7366387,0,1126285,477101,360706,0,0,0,288478,0,6148,4863
2026,7372956,861176,470635,0,134999,2225830,3680316,0,129392,71451,15531,0,0,0,42410,0,1442,628
2027,32873114,10142110,5498962,0,2258189,7336921,7636932,0,1318441,750116,118116,0,0,0,450209,0,7261,5974
2028,15965032,1761142,827981,0,2566129,3874650,6935130,0,74680,43936,4916,0,0,0,25828,0,2949,1704
2029,15477852,2409599,1403737,0,66290,4386796,7211430,0,467471,211039,129362,0,0,0,127070,0,3123,1835
2030,3382904,656493,644436,0,5516,1380183,696276,0,121718,54356,34781,0,0,0,32581,0,695,304
2031,18460039,4520623,1348874,0,193252,5158230,7239060,0,703938,356073,133729,0,0,0,214136,0,3944,2666
2032,27985251,6629249,1930057,0,3979622,7936489,7509834,0,1218188,554175,329641,0,0,0,334372,0,5963,4653
2033,6735643,703678,377938,0,26218,2179585,3448224,0,134244,74155,15835,0,0,0,44254,0,1319,534
2034,33233747,10313605,4015044,0,3907720,7515174,7482204,0,1106896,667174,39684,0,0,0,400038,0,7163,5879
2035,27087949,8869469,3553026,0,251379,6942923,7471152,0,1481428,808723,186578,0,0,0,486127,0,6306,5004
2036,11562751,1792073,613863,0,191528,2941947,6023340,0,323981,181356,34154,0,0,0,108471,0,2346,1225
2037,30615794,9448354,5086010,0,1450186,7149040,7482204,0,1129290,650645,88228,0,0,0,390417,0,6707,5425
2038,19624025,4202581,2393911,0,1378539,5095980,6553014,0,335227,186721,36716,0,0,0,111790,0,4466,3189
2039,20617370,4173522,3748937,0,795645,4693362,7205904,0,616378,348778,58564,0,0,0,209036,0,4303,3029
2040,16775642,2785751,1548325,0,212810,4851546,7377210,0,467716,235542,90947,0,0,0,141227,0,3402,2115
