"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6341,18628146,16717367,1910779,375699,401540,1133540,4197,152,4045,4246,192,4054,0,2010,16717367,2753416,1552380,0,587969,4645328,7178274,0,401540,218726,51981,0,0,0,130833,0,3371,2095
2011,7568,7568,7578,6349,19186097,17511666,1674431,160316,283947,1230168,4096,160,3936,4145,200,3945,175,2011,17511666,3380692,1826014,0,207632,4653806,7443522,0,283947,136363,65665,0,0,0,81919,0,3472,2204
2012,7568,7568,7578,6322,28845720,24150458,4695262,2431002,918910,1345350,2348,198,2150,2390,234,2156,0,2012,24150458,5594559,2550245,0,2209004,6342076,7454574,0,918910,553926,33134,0,0,0,331850,0,5220,3932
2013,7568,7568,7578,6324,25832743,22202935,3629808,977881,818672,1833255,2854,177,2677,2895,214,2681,216821,2013,22202935,5519082,2551321,0,384636,6298848,7449048,0,818672,356400,247021,0,0,0,215251,0,4714,3429
2014,7568,7568,7578,6572,11454910,10743305,711605,25240,116906,569459,5494,130,5364,5517,147,5370,6014,2014,10743305,1353162,1065478,0,412599,2529742,5382324,0,116906,72780,985,0,0,0,43141,0,2074,1055
2015,7568,7568,7578,6322,40566366,34920775,5645591,1753052,956938,2935601,227,191,36,264,227,37,0,2015,34920775,11314435,6494372,0,885948,8522776,7703244,0,956938,442413,247617,0,0,0,266908,0,7341,6058
2016,7568,7568,7578,6742,8570826,7958482,612344,63647,137553,411144,6017,117,5900,6034,130,5904,0,2016,7958482,912436,547507,0,293487,2231858,3973194,0,137553,74716,18337,0,0,0,44500,0,1551,708
2017,7568,7568,7578,7578,0,0,0,0,0,0,7568,34,7534,7578,39,7539,0,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7568,7568,7578,6322,29099916,25757784,3342132,935590,542333,1864209,2302,195,2107,2343,230,2113,0,2018,25757784,6262715,4645837,0,940898,6453760,7454574,0,542333,323316,25366,0,0,0,193651,0,5266,3979
2019,7568,7568,7578,6286,14995628,12967215,2028413,830362,329910,868141,443,185,258,489,231,258,24430320,2019,12967215,3403500,2447876,0,368472,3080358,3667009,0,329910,203314,5600,0,0,0,120996,0,7125,5797
2020,7568,7568,7578,6267,26900568,23369568,3531000,1161915,723930,1645155,2700,168,2532,2747,211,2536,0,2020,23369568,5856941,3464479,0,372519,6215529,7460100,0,723930,356645,152612,0,0,0,214673,0,4868,3520
2021,7568,7568,7578,6337,19285740,16598814,2686926,1109212,639827,937887,4078,158,3920,4127,199,3928,0,2021,16598814,2892654,2215589,0,166661,4200896,7123014,0,639827,340201,95623,0,0,0,204003,0,3490,2210
2022,7568,7568,7578,6396,14091300,12992279,1099021,176046,230509,692466,5018,140,4878,5068,181,4887,0,2022,12992279,1632061,1064169,0,167616,3375661,6752772,0,230509,140250,6749,0,0,0,83510,0,2550,1328
2023,7568,7568,7578,6316,23839164,20907168,2931996,750846,574017,1607133,3254,162,3092,3300,202,3098,0,2023,20907168,4717704,2533014,0,550191,5657211,7449048,0,574017,309573,78748,0,0,0,185696,0,4314,3016
2024,7568,7568,7578,6299,37178928,30245795,6933133,3266398,1111593,2555142,840,187,653,883,229,654,0,2024,30245795,9562772,4767509,0,904286,7506920,7504308,0,1111593,693019,3493,0,0,0,415081,0,6728,5416
2025,7568,7568,7578,6322,31320944,26370975,4949969,1911013,1126285,1912671,1420,195,1225,1459,231,1228,2657301,2025,26370975,7303481,3666514,0,927494,7107099,7366387,0,1126285,477101,360706,0,0,0,288478,0,6148,4863
2026,7568,7568,7578,6771,7968492,7372956,595536,57597,129392,408547,6126,124,6002,6143,136,6007,0,2026,7372956,861176,470635,0,134999,2225830,3680316,0,129392,71451,15531,0,0,0,42410,0,1442,628
2027,7568,7568,7578,6317,40124286,32873114,7251172,3948385,1318441,1984346,307,191,116,343,227,116,0,2027,32873114,10142110,5498962,0,2258189,7336921,7636932,0,1318441,750116,118116,0,0,0,450209,0,7261,5974
2028,7568,7568,7578,6371,16296174,15965032,331142,94600,74680,161862,4619,155,4464,4667,197,4470,0,2028,15965032,1761142,827981,0,2566129,3874650,6935130,0,74680,43936,4916,0,0,0,25828,0,2949,1704
2029,7568,7568,7578,6328,17257698,15477852,1779846,256647,467471,1055728,4445,170,4275,4493,208,4285,0,2029,15477852,2409599,1403737,0,66290,4386796,7211430,0,467471,211039,129362,0,0,0,127070,0,3123,1835
2030,7568,7568,7578,7203,3840570,3382904,457666,31608,121718,304340,6873,80,6793,6899,102,6797,0,2030,3382904,656493,644436,0,5516,1380183,696276,0,121718,54356,34781,0,0,0,32581,0,695,304
2031,7568,7568,7578,6335,21794544,18460039,3334505,911995,703938,1718572,3624,169,3455,3669,207,3462,0,2031,18460039,4520623,1348874,0,193252,5158230,7239060,0,703938,356073,133729,0,0,0,214136,0,3944,2666
2032,7568,7568,7578,6303,32951538,27985251,4966287,2493330,1218188,1254769,1605,192,1413,1650,232,1418,0,2032,27985251,6629249,1930057,0,3979622,7936489,7509834,0,1218188,554175,329641,0,0,0,334372,0,5963,4653
2033,7568,7568,7578,6801,7288794,6735643,553151,87616,134244,331291,6249,117,6132,6267,126,6141,0,2033,6735643,703678,377938,0,26218,2179585,3448224,0,134244,74155,15835,0,0,0,44254,0,1319,534
2034,7568,7568,7578,6322,39582738,33233747,6348991,3371972,1106896,1870123,405,191,214,443,227,216,0,2034,33233747,10313605,4015044,0,3907720,7515174,7482204,0,1106896,667174,39684,0,0,0,400038,0,7163,5879
2035,7568,7568,7578,6309,34846956,27087949,7759007,4142773,1481428,2134806,1262,194,1068,1305,233,1072,0,2035,27087949,8869469,3553026,0,251379,6942923,7471152,0,1481428,808723,186578,0,0,0,486127,0,6306,5004
2036,7568,7568,7578,6483,12963996,11562751,1401245,276175,323981,801089,5222,120,5102,5258,150,5108,0,2036,11562751,1792073,613863,0,191528,2941947,6023340,0,323981,181356,34154,0,0,0,108471,0,2346,1225
