"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,13092247,1668527,1129500,0,555825,3416651,6321744,0,95876,57481,4437,0,0,0,33958,0,2489,1322
2011,13080468,1768281,808301,0,249244,3358194,6896448,0,316173,161166,58405,0,0,0,96602,0,2595,1346
2012,25456399,7004299,3449947,0,748695,6765728,7487730,0,1133056,580050,203901,0,0,0,349105,0,5600,4312
2013,9612244,1501965,752318,0,2712,2426057,4929192,0,135430,72430,19901,0,0,0,43099,0,1885,914
2014,12951722,1946646,1063963,0,474690,3238621,6227802,0,306952,166714,40445,0,0,0,99793,0,2602,1469
2015,182384,99604,29779,0,53001,0,0,0,25038,15205,837,0,0,0,8996,0,73,28
2016,9283453,1143904,598605,0,349196,2400706,4791042,0,135960,54573,48528,0,0,0,32859,0,1786,837
2017,7599248,806256,628791,0,475565,1837096,3851540,0,59421,36412,1623,0,0,0,21386,0,1712,841
2018,34896710,9986853,7214857,0,1656059,8258333,7780608,0,1017019,418457,345377,0,0,0,253185,0,7228,5946
2019,8926350,1309106,434106,0,31841,2050799,5100498,0,316484,110476,138998,0,0,0,67010,0,1789,856
2020,1484520,375259,232741,0,150841,659367,66312,0,47514,20499,14979,0,0,0,12036,0,306,127
2021,4934140,620468,314798,0,113970,1613622,2271282,0,107478,47871,31033,0,0,0,28574,0,1136,482
2022,21712597,5142638,1699329,0,1433716,5987866,7449048,0,793070,440232,88685,0,0,0,264153,0,4624,3338
2023,21327036,4075505,2187425,0,2320964,5349354,7393788,0,702791,395883,69540,0,0,0,237368,0,4432,3147
2024,25325988,7057940,3189843,0,789695,6811832,7476678,0,1638955,837517,297359,0,0,0,504079,0,5918,4608
2025,27594707,8485117,3800994,0,562297,7209160,7537139,0,1091043,505253,280973,0,0,0,304817,0,6002,4716
2026,19380891,4299561,2034425,0,444618,5214025,7388262,0,954736,332396,420099,0,0,0,202241,0,4073,2793
2027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2028,18900197,3906782,1580279,0,3220270,4694676,5498190,0,325957,166213,60134,0,0,0,99610,0,5265,3985
2029,12938974,3234262,1912677,0,418545,3386587,3986903,0,437114,225727,76323,0,0,0,135064,0,6434,5149
2030,1382025,408453,253925,0,102978,616669,0,0,100912,48374,23780,0,0,0,28758,0,311,124
2031,20685777,5189831,1894402,0,186329,6015901,7399314,0,1368799,406039,713892,0,0,0,248868,0,4449,3163
