"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6454,13754214,13092247,661967,6313,95876,559778,5079,112,4967,5132,157,4975,0,2010,13092247,1668527,1129500,0,555825,3416651,6321744,0,95876,57481,4437,0,0,0,33958,0,2489,1322
2011,7568,7568,7578,6369,14339970,13080468,1259502,210336,316173,732993,4973,128,4845,5023,173,4850,0,2011,13080468,1768281,808301,0,249244,3358194,6896448,0,316173,161166,58405,0,0,0,96602,0,2595,1346
2012,7568,7568,7578,6322,30945600,25456399,5489201,2372172,1133056,1983973,1968,194,1774,2010,230,1780,0,2012,25456399,7004299,3449947,0,748695,6765728,7487730,0,1133056,580050,203901,0,0,0,349105,0,5600,4312
2013,7568,7568,7578,6619,10394895,9612244,782651,19640,135430,627581,5683,123,5560,5705,138,5567,21615,2013,9612244,1501965,752318,0,2712,2426057,4929192,0,135430,72430,19901,0,0,0,43099,0,1885,914
2014,7568,7568,7578,6472,14366465,12951722,1414743,205644,306952,902147,4966,136,4830,5003,167,4836,12187,2014,12951722,1946646,1063963,0,474690,3238621,6227802,0,306952,166714,40445,0,0,0,99793,0,2602,1469
2015,7568,7568,7578,7531,287912,182384,105528,24281,25038,56209,7495,32,7463,7503,37,7466,115486,2015,182384,99604,29779,0,53001,0,0,0,25038,15205,837,0,0,0,8996,0,73,28
2016,7568,7568,7578,6651,9869436,9283453,585983,3340,135960,446683,5782,126,5656,5814,150,5664,0,2016,9283453,1143904,598605,0,349196,2400706,4791042,0,135960,54573,48528,0,0,0,32859,0,1786,837
2017,7568,7568,7578,6712,7951140,7599248,351892,14492,59421,277979,5856,119,5737,5871,128,5743,1516004,2017,7599248,806256,628791,0,475565,1837096,3851540,0,59421,36412,1623,0,0,0,21386,0,1712,841
2018,7568,7568,7578,6322,39941928,34896710,5045218,1805229,1017019,2222970,340,192,148,376,228,148,0,2018,34896710,9986853,7214857,0,1656059,8258333,7780608,0,1017019,418457,345377,0,0,0,253185,0,7228,5946
2019,7568,7568,7578,6672,9886014,8926350,959664,64529,316484,578651,5779,111,5668,5816,138,5678,0,2019,8926350,1309106,434106,0,31841,2050799,5100498,0,316484,110476,138998,0,0,0,67010,0,1789,856
2020,7568,7568,7578,7399,1690956,1484520,206436,5966,47514,152956,7262,72,7190,7272,77,7195,0,2020,1484520,375259,232741,0,150841,659367,66312,0,47514,20499,14979,0,0,0,12036,0,306,127
2021,7568,7568,7578,6940,5353209,4934140,419069,24470,107478,287121,6432,86,6346,6458,103,6355,929151,2021,4934140,620468,314798,0,113970,1613622,2271282,0,107478,47871,31033,0,0,0,28574,0,1136,482
2022,7568,7568,7578,6325,25552224,21712597,3839627,1611594,793070,1434963,2944,176,2768,2987,217,2770,0,2022,21712597,5142638,1699329,0,1433716,5987866,7449048,0,793070,440232,88685,0,0,0,264153,0,4624,3338
2023,7568,7568,7578,6324,24491232,21327036,3164196,1660114,702791,801291,3136,175,2961,3177,208,2969,0,2023,21327036,4075505,2187425,0,2320964,5349354,7393788,0,702791,395883,69540,0,0,0,237368,0,4432,3147
2024,7568,7568,7578,6302,32702868,25325988,7376880,4469038,1638955,1268887,1650,196,1454,1694,236,1458,0,2024,25325988,7057940,3189843,0,789695,6811832,7476678,0,1638955,837517,297359,0,0,0,504079,0,5918,4608
2025,7568,7568,7578,6322,32965076,27594707,5370369,1951523,1091043,2327803,1566,193,1373,1606,229,1377,202026,2025,27594707,8485117,3800994,0,562297,7209160,7537139,0,1091043,505253,280973,0,0,0,304817,0,6002,4716
2026,7568,7568,7578,6334,22507398,19380891,3126507,937338,954736,1234433,3495,168,3327,3541,207,3334,0,2026,19380891,4299561,2034425,0,444618,5214025,7388262,0,954736,332396,420099,0,0,0,202241,0,4073,2793
2027,7568,7568,7578,7578,0,0,0,0,0,0,7568,11,7557,7578,15,7563,0,2027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2028,7568,7568,7578,6328,20330564,18900197,1430367,654211,325957,450199,2303,193,2110,2343,230,2113,8789175,2028,18900197,3906782,1580279,0,3220270,4694676,5498190,0,325957,166213,60134,0,0,0,99610,0,5265,3985
2029,7568,7568,7578,6322,15170946,12938974,2231972,837258,437114,957600,1134,194,940,1173,230,943,20432693,2029,12938974,3234262,1912677,0,418545,3386587,3986903,0,437114,225727,76323,0,0,0,135064,0,6434,5149
2030,7568,7568,7578,7381,1718586,1382025,336561,75382,100912,160267,7257,39,7218,7257,29,7228,0,2030,1382025,408453,253925,0,102978,616669,0,0,100912,48374,23780,0,0,0,28758,0,311,124
2031,7568,7568,7578,6324,24585174,20685777,3899397,1268062,1368799,1262536,3119,174,2945,3161,209,2952,0,2031,20685777,5189831,1894402,0,186329,6015901,7399314,0,1368799,406039,713892,0,0,0,248868,0,4449,3163
2032,7568,7568,7578,7577,11052,6794,4258,354,721,3183,7566,26,7540,7577,27,7550,0,2032,6794,4608,1596,0,590,0,0,0,721,277,304,0,0,0,140,0,2,0
2033,7568,7568,7578,6331,18866636,16687292,2179344,654972,517780,1006592,4153,172,3981,4197,208,3989,4654,2033,16687292,2831547,1368152,0,498565,4744442,7244586,0,517780,275103,77719,0,0,0,164958,0,3415,2134
2034,7568,7568,7578,6534,10990830,9934366,1056464,76430,275858,704176,5439,118,5321,5460,135,5325,776136,2034,9934366,1573931,870118,0,5680,2253723,5230914,0,275858,112639,95385,0,0,0,67834,0,2129,1074
2035,7568,7568,7578,6910,6398327,5858721,539606,21681,167098,350827,6352,94,6258,6378,115,6263,322795,2035,5858721,822436,575866,0,60576,1793993,2605850,0,167098,57524,74888,0,0,0,34686,0,1216,532
2036,7568,7568,7578,6619,9076720,8081028,995692,258549,252672,484471,5489,120,5369,5515,139,5376,2421434,2036,8081028,1110211,610048,0,74571,2004598,4281600,0,252672,131888,42112,0,0,0,78672,0,2079,1104
2037,7568,7568,7578,6340,15734496,14181217,1553279,499162,350980,703137,3391,175,3216,3437,212,3225,7371414,2037,14181217,2716244,1895610,0,870421,3494862,5204080,0,350980,178818,65231,0,0,0,106931,0,4177,2903
2038,7568,7568,7578,6465,5197231,4773642,423589,41434,108133,274022,5174,128,5046,5218,166,5052,8068203,2038,4773642,619814,296785,0,73918,1278805,2504320,0,108133,49595,29117,0,0,0,29421,0,2394,1247
2039,7568,7568,7578,6429,17887662,16041037,1846625,360035,399520,1087070,4331,163,4168,4379,204,4175,0,2039,16041037,3098372,2274131,0,497607,3677877,6493050,0,399520,194778,87971,0,0,0,116771,0,3237,2050
2040,7568,7568,7578,6600,11206728,10252845,953883,29237,237688,686958,5540,140,5400,5569,163,5406,0,2040,10252845,1605311,1071138,0,72081,2409343,5094972,0,237688,97743,81013,0,0,0,58932,0,2028,1031
2041,7568,7568,7578,6763,8211636,7666922,544714,20233,134784,389697,6082,105,5977,6098,115,5983,0,2041,7666922,888600,595722,0,212592,2035496,3934512,0,134784,58232,41691,0,0,0,34861,0,1486,665
2042,7568,7568,7578,7578,0,0,0,0,0,0,7568,45,7523,7578,49,7529,0,2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2043,7568,7568,7578,6545,8823740,8151449,672291,111274,149334,411683,5606,95,5511,5635,116,5519,2024452,2043,8151449,903521,439698,0,238254,2064984,4504992,0,149334,88144,8747,0,0,0,52443,0,1962,910
2044,7568,7568,7578,6303,24148620,21114451,3034169,940730,911040,1182399,3198,164,3034,3247,204,3043,0,2044,21114451,4711247,2514185,0,1083684,5422599,7382736,0,911040,324342,389616,0,0,0,197082,0,4370,3056
2045,7568,7568,7578,6453,12687696,11408731,1278965,174345,367331,737289,5272,118,5154,5316,162,5154,0,2045,11408731,1582191,756348,0,0,2792656,6277536,0,367331,159312,112161,0,0,0,95858,0,2296,1137
2046,7568,7568,7578,6633,10748070,9638939,1109131,308337,356887,443907,5623,107,5516,5650,127,5523,0,2046,9638939,1293103,477175,0,497680,2497049,4873932,0,356887,153115,111682,0,0,0,92090,0,1945,983
2047,7568,7568,7578,7566,110520,62679,47841,7308,16754,23779,7548,22,7526,7559,25,7534,0,2047,62679,46171,10520,0,5988,0,0,0,16754,6508,6413,0,0,0,3833,0,20,7
2048,7568,7568,7578,6530,7358005,6701544,656461,79885,214545,362031,5240,132,5108,5267,149,5118,5529672,2048,6701544,981716,516444,0,211477,1713784,3278123,0,214545,72593,98286,0,0,0,43666,0,2328,1263
2049,7568,7568,7578,6961,6167016,5744510,422506,10055,127358,285093,6452,85,6367,6490,102,6388,0,2049,5744510,718731,391639,0,110900,1892864,2630376,0,127358,42625,59195,0,0,0,25538,0,1116,471
2050,7568,7568,7578,6571,11101734,10102702,999032,178629,236778,583625,5559,125,5434,5581,141,5440,0,2050,10102702,1313495,414444,0,398147,2511402,5465214,0,236778,128930,30773,0,0,0,77075,0,2009,990
2051,7568,7568,7578,6441,8246745,7673853,572892,31052,125287,416553,5284,128,5156,5331,167,5164,4397547,2051,7673853,960214,747523,0,1227,1805339,4159550,0,125287,62254,26044,0,0,0,36989,0,2284,1110
2052,7568,7568,7578,6316,20495678,17808910,2686768,763809,671581,1251378,3058,178,2880,3103,218,2885,4440871,2052,17808910,4031268,2533044,0,237918,4749703,6256977,0,671581,274355,231541,0,0,0,165685,0,4510,3213
