"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6322,40323222,35549362,4773860,1986507,707975,2079378,271,193,78,307,229,78,0
2011,7568,7568,7578,6354,17180334,15585111,1595223,151245,372885,1071093,4459,145,4314,4507,186,4321,0
2012,7568,7568,7578,6322,39820356,34646233,5174123,2674338,876824,1622961,362,190,172,398,226,172,0
2013,7568,7568,7578,6294,26436384,22798051,3638333,951800,604763,2081770,2784,163,2621,2836,209,2627,0
2014,7568,7568,7578,6279,29779614,25092708,4686906,1655351,773482,2258073,2179,177,2002,2226,221,2005,0
2015,7568,7568,7578,6304,21985948,17914320,4071628,2095442,863101,1113085,1253,189,1064,1296,231,1065,12943818
2016,7568,7568,7578,6329,22021110,19191453,2829657,889793,530974,1408890,3583,175,3408,3626,211,3415,0
2017,7568,7568,7578,6318,29495872,25675796,3820076,2012572,796888,1010616,1891,195,1696,1931,231,1700,1879225
2018,7568,7568,7578,6322,40406112,38127548,2278564,1428317,423408,426839,256,190,66,292,226,66,0
2019,7568,7568,7578,6310,9711381,8491849,1219532,486740,276497,456295,392,189,203,432,228,204,30006946
2020,7568,7568,7578,6322,27823410,24156012,3667398,1800524,873694,993180,2533,185,2348,2576,221,2355,0
2021,7568,7568,7578,6322,39593790,32205186,7388604,4492831,1272525,1623248,403,194,209,439,229,210,0
2022,7568,7568,7578,6284,40676886,40471809,205077,166079,33517,5481,207,179,28,255,227,28,0
2023,7568,7568,7578,6305,19269162,17339600,1929562,440393,387170,1101999,4081,163,3918,4132,205,3927,0
2024,7568,7568,7578,6331,36775530,29184742,7590788,4353337,1319794,1917657,913,186,727,923,194,729,0
2025,7568,7568,7578,6306,37173402,30382072,6791330,3037765,1419279,2334286,841,186,655,886,227,659,0
2026,7568,7568,7578,6322,34449084,29284524,5164560,1782392,996619,2385549,1334,197,1137,1372,232,1140,0
2027,7568,7568,7578,6327,21181158,19056084,2125074,750635,453147,921292,3735,171,3564,3777,208,3569,0
2028,7568,7568,7578,6322,39406931,33195862,6211069,2360698,1277084,2573287,295,191,104,333,227,106,783817
2029,7568,7568,7578,6606,8658895,7847609,811286,189380,171126,450780,5546,124,5422,5571,146,5425,2526487
2030,7568,7568,7578,6288,39527478,34944876,4582602,1800225,871772,1910605,415,184,231,461,230,231,0
2031,7568,7568,7578,6322,38737260,31922401,6814859,2782070,1625178,2407611,558,192,366,594,227,367,0
2032,7568,7568,7578,6470,14218398,12926498,1291900,182554,277307,832039,4995,126,4869,5035,161,4874,0
2033,7568,7568,7578,6322,32281858,27383997,4897861,2529855,1171075,1196931,1697,196,1501,1736,231,1505,161288
2034,7568,7568,7578,6322,30012157,24631282,5380875,2368485,1161393,1850997,2079,196,1883,2120,232,1888,320057
2035,7568,7568,7578,6385,16025400,14228016,1797384,762279,423892,611213,4668,152,4516,4718,194,4524,0
2036,7568,7568,7578,6319,40395060,33264334,7130726,4636611,1288194,1205921,258,190,68,296,226,70,0
2037,7568,7568,7578,6312,36245034,29725548,6519486,3388513,1183441,1947532,1009,193,816,1051,233,818,0
2038,7568,7568,7578,6322,30245306,25862934,4382372,1804655,885012,1692705,2083,193,1890,2122,229,1893,64804
2039,7568,7568,7578,6272,40792932,33057464,7735468,4638883,1482606,1613979,186,182,4,230,226,4,0
2040,7568,7568,7578,6322,30884814,25942359,4942455,1721636,965079,2255740,1979,199,1780,2019,234,1785,0
2041,7568,7568,7578,6275,39157236,33091241,6065995,3855075,1063131,1147789,482,183,299,526,227,299,0
2042,7568,7568,7578,6309,26494295,22667164,3827131,1906564,751349,1169218,2773,180,2593,2819,220,2599,2875
2043,7568,7568,7578,6280,23170975,19944327,3226648,1325105,532693,1368850,884,183,701,930,227,703,13779456
2044,7568,7568,7578,6268,38980404,32731641,6248763,3162031,1062617,2024115,514,185,329,560,229,331,0
2045,7568,7568,7578,6295,28939662,24970988,3968674,1349649,685125,1933900,2331,189,2142,2381,234,2147,0
2046,7568,7568,7578,6322,31868442,25575809,6292633,2929699,1564762,1798172,1801,190,1611,1839,226,1613,0
2047,7568,7568,7578,6354,20153322,17188632,2964690,1013001,641573,1310116,3921,160,3761,3967,199,3768,0
2048,7568,7568,7578,6322,13160403,11239670,1920733,1124865,372971,422897,1808,197,1611,1847,233,1614,18715102
2049,7568,7568,7578,6280,25425126,21556601,3868525,1762683,778137,1327705,2967,170,2797,3017,213,2804,0
