"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6302,23982291,20710864,3271427,1779282,682413,809732,2786,172,2614,2835,213,2622,2448648
2011,7568,7568,7578,6322,32987907,26453718,6534189,3748306,1108941,1676942,190,190,0,226,226,0,7798620
2012,7568,7568,7578,6998,36401582,30486909,5914673,2353945,1422660,2138068,522,182,340,552,209,343,2540600
2013,7568,7568,7578,6322,33070016,26166556,6903460,4076421,1242645,1584394,190,190,0,226,226,0,7716861
2014,7568,7568,7578,6320,25500887,20988000,4512887,2499376,777576,1235935,190,190,0,226,226,0,15303455
2015,7568,7568,7578,6314,40781880,33770874,7011006,3674243,1186283,2150480,188,188,0,226,226,0,0
2016,7568,7568,7578,6272,8094409,7342256,752153,520166,142928,89059,183,183,0,227,227,0,32793896
2017,7568,7568,7578,6993,40810989,33849003,6961986,2815544,1378566,2767876,182,182,0,213,213,0,4047
2018,7568,7568,7578,6323,29385373,23816263,5569110,2761656,923092,1884362,815,193,622,849,227,622,7949109
2019,7568,7568,7578,6288,40820562,35733139,5087423,2018906,908220,2160297,181,181,0,227,227,0,0
2020,7568,7568,7578,6313,40765302,37656151,3109151,1440165,546487,1122499,191,191,0,228,228,0,0
2021,7568,7568,7578,6317,26881720,22003338,4878382,2796184,900397,1181801,189,189,0,226,226,0,13926380
2022,7568,7568,7578,6268,25230834,20389640,4841194,3306863,879134,655197,183,183,0,227,227,0,15612027
2023,7568,7568,7578,6310,40798458,37800188,2998270,1599149,586101,813020,185,185,0,226,226,0,0
2024,7568,7568,7578,6267,32396520,32236699,159821,59838,34576,65407,186,184,2,230,228,2,8413941
2025,7568,7568,7578,6285,35320800,30325921,4994879,3115979,944645,934255,181,181,0,228,228,0,5510718
2026,7568,7568,7578,6267,24980820,20733229,4247591,1933420,772675,1541496,262,183,79,304,226,78,15429391
2027,7568,7568,7578,6287,30393000,26642742,3750258,965197,761998,2023063,2068,178,1890,2117,221,1896,0
2028,7568,7568,7578,7569,71838,46986,24852,685,5365,18802,7555,22,7533,7564,25,7539,0
2029,7568,7568,7578,6327,21579030,18962604,2616426,696136,511990,1408300,3663,150,3513,3712,192,3520,0
2030,7568,7568,7578,6267,28294741,22721368,5573373,2849502,1050447,1673424,182,182,0,226,226,0,12548901
2031,7568,7568,7578,6286,40818204,32912392,7905812,4257136,1723391,1925285,181,181,0,227,227,0,2358
2032,7568,7568,7578,6275,35665244,28343722,7321522,4347644,1272319,1701559,615,194,421,658,238,420,2761104
2033,7568,7568,7578,6312,40792932,33356320,7436612,3840248,1632305,1964059,186,186,0,226,226,0,0
2034,7568,7568,7578,6527,19341000,16640532,2700468,1063625,559926,1076917,4068,135,3933,4088,152,3936,0
2035,7568,7568,7578,6280,40748858,32300468,8448390,4309153,1671880,2467357,183,183,0,227,227,0,60652
2036,7568,7568,7578,6276,40593996,34708874,5885122,2531297,980113,2373712,222,188,34,266,232,34,0
2037,7568,7568,7578,6309,18346961,16310373,2036588,585409,412085,1039094,3049,161,2888,3096,203,2893,6643944
2038,7568,7568,7578,6310,40693464,32278054,8415410,4385308,1517144,2512958,204,189,15,244,229,15,0
2039,7568,7568,7578,6290,40433742,31192393,9241349,5309574,1725385,2206390,251,195,56,294,238,56,0
2040,7568,7568,7578,6332,22879708,19621554,3258154,1258259,741400,1258495,1673,190,1483,1713,228,1485,9717764
2041,7568,7568,7578,6316,30321162,26484916,3836246,1423780,843678,1568788,2081,195,1886,2122,233,1889,0
2042,7568,7568,7578,7537,967050,587454,379596,51291,85330,242975,7393,15,7378,7419,16,7403,0
2043,7568,7568,7578,6386,22186890,18868701,3318189,1220237,875371,1222581,3553,166,3387,3600,209,3391,0
2044,7568,7568,7578,7437,1250606,1007644,242962,7220,66524,169218,7321,38,7283,7332,41,7291,114316
2045,7568,7568,7578,7578,0,0,0,0,0,0,7568,23,7545,7578,27,7551,0
2046,7568,7568,7578,7172,3978720,3783886,194834,1451,45728,147655,6848,73,6775,6877,99,6778,0
2047,7568,7568,7578,7398,1724112,1410297,313815,7544,84165,222106,7256,87,7169,7262,88,7174,0
2048,7568,7568,7578,6327,32440300,28029002,4411298,2119635,948893,1342770,1688,192,1496,1727,227,1500,52580
2049,7568,7568,7578,6323,40337275,33802135,6535140,3276775,1159277,2099088,268,200,68,303,235,68,2525
2050,7568,7568,7578,6321,39046170,34782895,4263275,2632053,830367,800855,177,177,0,215,215,0,1797723
2051,7568,7568,7578,6273,39339594,33076142,6263452,3250632,1216733,1796087,449,191,258,493,234,259,0
2052,7568,7568,7578,6322,40483476,32710719,7772757,4751770,1349569,1671418,242,199,43,276,234,42,0
2053,7568,7568,7578,6308,34609338,29021065,5588273,2298538,1069645,2220090,1305,189,1116,1347,230,1117,0
2054,7568,7568,7578,7576,16578,9712,6866,273,836,5757,7565,42,7523,7575,43,7532,0
2055,7568,7568,7578,6268,33659163,28901155,4758008,2741744,953539,1062725,185,183,2,229,227,2,7152231
2056,7568,7568,7578,6322,31054073,25326025,5728048,2593574,1282314,1852160,190,190,0,226,226,0,9738513
2057,7568,7568,7578,6296,20528998,17706830,2822168,1017302,817845,987021,2238,178,2060,2283,217,2066,8948022
2058,7568,7568,7578,7452,2602746,2342198,260548,1049,49393,210106,7097,52,7045,7097,43,7054,0
2059,7568,7568,7578,7578,0,0,0,0,0,0,7568,52,7516,7578,57,7521,0
