"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,20710864,3952184,2908007,0,2147836,4956185,6746652,0,682413,387613,62405,0,0,0,232395,0,4782,3467
2011,26453718,8265819,2716368,0,2710461,6386881,6374189,0,1108941,693617,0,0,0,0,415324,0,7378,6096
2012,30486909,9400487,5809952,0,2795816,5841806,6638848,0,1422660,560560,522233,0,0,0,339867,0,7046,6446
2013,26166556,8572800,3615151,0,1452928,6149470,6376207,0,1242645,730464,74091,0,0,0,438090,0,7378,6096
2014,20988000,6684986,2248800,0,2156831,4868665,5028718,0,777576,480981,8793,0,0,0,287802,0,7378,6094
2015,33770874,10524780,4101337,0,4305794,7356759,7482204,0,1186283,730527,18001,0,0,0,437755,0,7380,6088
2016,7342256,1606184,1000362,0,1582457,1484224,1669029,0,142928,84683,8368,0,0,0,49877,0,7385,6045
2017,33849003,11461557,6171002,0,1113284,7648586,7454574,0,1378566,613064,395165,0,0,0,370337,0,7386,6780
2018,23816263,7558683,2641585,0,1462615,5893395,6259985,0,923092,576479,1306,0,0,0,345307,0,6753,5474
2019,35733139,10470698,7159337,0,4617660,6478476,7006968,0,908220,461637,169133,0,0,0,277450,0,7387,6061
2020,37656151,8683847,3479722,0,11077930,7214274,7200378,0,546487,320056,34948,0,0,0,191483,0,7377,6085
2021,22003338,6207037,4628648,0,1792340,4431500,4943813,0,900397,510283,84130,0,0,0,305984,0,7379,6091
2022,20389640,5299470,2100490,0,3545885,4482318,4961477,0,879134,542671,11637,0,0,0,324826,0,7385,6041
2023,37800188,9750187,3890812,0,9884010,7041645,7233534,0,586101,327401,62512,0,0,0,196188,0,7383,6084
2024,32236699,5053943,2395786,0,12875113,5864163,6047694,0,34576,20278,2834,0,0,0,11464,0,7382,6037
2025,30325921,7181375,4492682,0,6730841,5550499,6370524,0,944645,557061,53800,0,0,0,333784,0,7387,6057
2026,20733229,6743902,3584668,0,1087869,4632108,4684682,0,772675,422770,96373,0,0,0,253532,0,7306,5963
2027,26642742,7621444,4888073,0,365168,6473737,7294320,0,761998,310154,264076,0,0,0,187768,0,5500,4170
2028,46986,31882,10095,0,5009,0,0,0,5365,2621,1342,0,0,0,1402,0,13,5
2029,18962604,4359542,1451525,0,1363351,4875160,6913026,0,511990,270437,79281,0,0,0,162272,0,3905,2615
2030,22721368,7447857,3807277,0,1000709,5102777,5362748,0,1050447,556519,159633,0,0,0,334295,0,7386,6041
2031,32912392,10058398,5536476,0,2657936,7304476,7355106,0,1723391,803126,435696,0,0,0,484569,0,7387,6059
2032,28343722,8877047,3218413,0,2173459,6717148,7357655,0,1272319,785509,15978,0,0,0,470832,0,6953,5617
2033,33356320,10427934,6305713,0,2953849,6584492,7084332,0,1632305,728747,463469,0,0,0,440089,0,7382,6086
2034,16640532,3635476,1895723,0,1620092,3935611,5553630,0,559926,318141,51303,0,0,0,190482,0,3500,2439
2035,32300468,10819948,4488962,0,2920183,6876523,7194852,0,1671880,836103,332317,0,0,0,503460,0,7385,6053
2036,34708874,9909790,8244019,0,1801596,7459149,7294320,0,980113,525102,139539,0,0,0,315472,0,7346,6010
2037,16310373,3532839,1596360,0,1017166,4484135,5679873,0,412085,204669,84673,0,0,0,122743,0,4519,3213
2038,32278054,10733340,4460594,0,2048975,7503207,7531938,0,1517144,841210,170640,0,0,0,505294,0,7364,6066
2039,31192393,11403202,3273420,0,1567232,7488439,7460100,0,1725385,963300,183341,0,0,0,578744,0,7317,5996
2040,19621554,5069644,3190692,0,1154642,4690287,5516289,0,741400,314394,237139,0,0,0,189867,0,5895,4619
2041,26484916,6399061,3206600,0,2173653,6797896,7907706,0,843678,370660,249415,0,0,0,223603,0,5487,4194
2042,587454,401778,128114,0,4588,52974,0,0,85330,50222,5715,0,0,0,29393,0,175,118
2043,18868701,4319048,1594715,0,1168476,4845806,6940656,0,875371,373852,275667,0,0,0,225852,0,4015,2786
2044,1007644,366249,180043,0,122219,339133,0,0,66524,26613,24179,0,0,0,15732,0,247,105
2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2046,3783886,411221,426428,0,171048,1310799,1464390,0,45728,18126,16908,0,0,0,10694,0,720,295
2047,1410297,473587,290444,0,68901,505527,71838,0,84165,34445,29235,0,0,0,20485,0,312,136
2048,28029002,6240212,3152166,0,3661081,7161779,7813764,0,948893,455861,218458,0,0,0,274574,0,5880,4600
