"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6302,23982291,20710864,3271427,1779282,682413,809732,2786,172,2614,2835,213,2622,2448648,2010,20710864,3952184,2908007,0,2147836,4956185,6746652,0,682413,387613,62405,0,0,0,232395,0,4782,3467
2011,7568,7568,7578,6322,32987907,26453718,6534189,3748306,1108941,1676942,190,190,0,226,226,0,7798620,2011,26453718,8265819,2716368,0,2710461,6386881,6374189,0,1108941,693617,0,0,0,0,415324,0,7378,6096
2012,7568,7568,7578,6998,36401582,30486909,5914673,2353945,1422660,2138068,522,182,340,552,209,343,2540600,2012,30486909,9400487,5809952,0,2795816,5841806,6638848,0,1422660,560560,522233,0,0,0,339867,0,7046,6446
2013,7568,7568,7578,6322,33070016,26166556,6903460,4076421,1242645,1584394,190,190,0,226,226,0,7716861,2013,26166556,8572800,3615151,0,1452928,6149470,6376207,0,1242645,730464,74091,0,0,0,438090,0,7378,6096
2014,7568,7568,7578,6320,25500887,20988000,4512887,2499376,777576,1235935,190,190,0,226,226,0,15303455,2014,20988000,6684986,2248800,0,2156831,4868665,5028718,0,777576,480981,8793,0,0,0,287802,0,7378,6094
2015,7568,7568,7578,6314,40781880,33770874,7011006,3674243,1186283,2150480,188,188,0,226,226,0,0,2015,33770874,10524780,4101337,0,4305794,7356759,7482204,0,1186283,730527,18001,0,0,0,437755,0,7380,6088
2016,7568,7568,7578,6272,8094409,7342256,752153,520166,142928,89059,183,183,0,227,227,0,32793896,2016,7342256,1606184,1000362,0,1582457,1484224,1669029,0,142928,84683,8368,0,0,0,49877,0,7385,6045
2017,7568,7568,7578,6993,40810989,33849003,6961986,2815544,1378566,2767876,182,182,0,213,213,0,4047,2017,33849003,11461557,6171002,0,1113284,7648586,7454574,0,1378566,613064,395165,0,0,0,370337,0,7386,6780
2018,7568,7568,7578,6323,29385373,23816263,5569110,2761656,923092,1884362,815,193,622,849,227,622,7949109,2018,23816263,7558683,2641585,0,1462615,5893395,6259985,0,923092,576479,1306,0,0,0,345307,0,6753,5474
2019,7568,7568,7578,6288,40820562,35733139,5087423,2018906,908220,2160297,181,181,0,227,227,0,0,2019,35733139,10470698,7159337,0,4617660,6478476,7006968,0,908220,461637,169133,0,0,0,277450,0,7387,6061
