"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6322,39903246,32242094,7661152,4709162,1366500,1585490,347,195,152,383,231,152,0
2011,7568,7568,7578,6270,23627734,19616811,4010923,2506885,722356,781682,541,185,356,583,229,354,15238834
2012,7568,7568,7578,6309,40798458,33103656,7694802,3986171,1327154,2381477,185,185,0,226,226,0,0
2013,7568,7568,7578,6322,40770828,32965262,7805566,3902239,1513029,2390298,190,190,0,226,226,0,0
2014,7568,7568,7578,7299,2895624,2343713,551911,56022,130401,365488,7044,93,6951,7034,76,6958,0
2015,7568,7568,7578,6323,34419806,29063670,5356136,2493187,1018860,1844089,282,197,85,318,234,84,5846022
2016,7568,7568,7578,6322,40737672,33995154,6742518,3453302,1616729,1672487,196,190,6,233,226,7,0
2017,7568,7568,7578,7454,925397,612385,313012,34694,87459,190859,7355,43,7312,7367,47,7320,251641
2018,7568,7568,7578,6346,34487766,27347856,7139910,3784431,1554932,1800547,1327,194,1133,1367,229,1138,0
2019,7568,7568,7578,6282,30846132,25212165,5633967,2315687,1152312,2165968,1986,183,1803,2031,225,1806,0
2020,7568,7568,7578,6322,40770828,35062679,5708149,2891253,1002990,1813906,190,190,0,226,226,0,0
2021,7568,7568,7578,6322,39773769,32669221,7104548,3154457,1474013,2476078,370,194,176,405,228,177,2379
2022,7568,7568,7578,6311,20617263,17506044,3111219,938080,802559,1370580,3628,163,3465,3676,205,3471,1157741
2023,7568,7568,7578,7578,0,0,0,0,0,0,7568,44,7524,7578,48,7530,0
2024,7568,7568,7578,7305,2740896,2370538,370358,6137,83670,280551,7072,78,6994,7063,64,6999,0
2025,7568,7568,7578,7185,4061610,3535519,526091,69538,119060,337493,6833,75,6758,6866,104,6762,0
2026,7568,7568,7578,6730,40226852,32024467,8202385,4096301,1922141,2183943,186,186,0,224,224,0,566180
2027,7568,7568,7578,7216,3846096,3320142,525954,24637,137552,363765,6872,63,6809,6883,67,6816,0
2028,7568,7568,7578,7418,1436406,989272,447134,178048,133682,135404,7293,44,7249,7303,51,7252,83244
2029,7568,7568,7578,6630,6944417,6227471,716946,90480,140925,485541,5493,128,5365,5522,149,5373,4543133
2030,7568,7568,7578,6394,22711860,20368437,2343423,741341,576730,1025352,3458,154,3304,3507,196,3311,0
2031,7568,7568,7578,7559,193410,131116,62294,3241,22710,36343,7533,42,7491,7543,45,7498,0
2032,7568,7568,7578,7578,0,0,0,0,0,0,7568,39,7529,7578,43,7535,0
2033,7568,7568,7578,6323,22358033,18343668,4014365,1973231,725225,1315909,365,206,159,401,242,159,17484632
2034,7568,7568,7578,6266,37607024,32359622,5247402,2463282,1275620,1508500,182,182,0,226,226,0,3214298
2035,7568,7568,7578,7553,204896,121621,83275,4693,20877,57705,7525,50,7475,7536,56,7480,32722
2036,7568,7568,7578,7461,893014,626627,266387,27093,76799,162495,7379,60,7319,7390,68,7322,151400
2037,7568,7568,7578,6329,39135132,34200251,4934881,2836887,924500,1173494,486,195,291,523,231,292,0
2038,7568,7568,7578,6323,38449908,33673517,4776391,1494206,975815,2306370,610,196,414,645,232,413,0
2039,7568,7568,7578,7534,408924,332231,76693,0,19316,57377,7494,57,7437,7504,62,7442,0
2040,7568,7568,7578,7578,0,0,0,0,0,0,7568,31,7537,7578,38,7540,0
2041,7568,7568,7578,6348,34576182,31345812,3230370,889595,616970,1723805,1311,196,1115,1348,234,1114,0
2042,7568,7568,7578,7577,4018,2674,1344,26,195,1123,7566,39,7527,7577,44,7533,7034
2043,7568,7568,7578,7383,1829106,1392014,437092,110108,116098,210886,7237,79,7158,7238,75,7163,0
2044,7568,7568,7578,6341,25905947,22251252,3654695,1588515,815234,1250946,2623,171,2452,2671,213,2458,1420273
2045,7568,7568,7578,6322,40721094,35946573,4774521,2624462,918469,1231590,199,191,8,235,227,8,0
2046,7568,7568,7578,6336,29860787,24922025,4938762,2822718,1039084,1076960,2156,186,1970,2199,226,1973,45925
2047,7568,7568,7578,6323,39339594,32152318,7187276,4143652,1325057,1718567,449,200,249,486,237,249,0
2048,7568,7568,7578,6322,28651063,24262211,4388852,2259550,834534,1294768,341,194,147,376,230,146,11309804
