"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,32619855,9658005,4040019,0,3797683,7481690,7642458,0,1208294,753085,4083,0,0,0,451126,0,7264,5983
2011,34354336,10626403,3378580,0,4790403,7971752,7587198,0,1086342,677968,2250,0,0,0,406124,0,7379,6086
2012,32598394,10422925,6407800,0,1860076,6729319,7178274,0,1515296,733566,339829,0,0,0,441901,0,7386,6040
2013,33184658,11021117,5904606,0,1513241,7307698,7437996,0,2035781,623327,1031041,0,0,0,381413,0,7292,6011
2014,9763,7216,1396,0,1151,0,0,0,1635,550,857,0,0,0,228,0,3,1
2015,35016740,10299689,4428639,0,4251277,8333891,7703244,0,842459,483144,69590,0,0,0,289725,0,7225,5943
2016,457525,42747,99219,0,24364,125127,166068,0,2540,1323,605,0,0,0,612,0,6875,5594
2017,34413757,9435998,4388810,0,6109047,6997698,7482204,0,1261445,703253,135911,0,0,0,422281,0,7378,6096
2018,33493911,10069117,4607764,0,3863410,7421682,7531938,0,1614693,753292,407063,0,0,0,454338,0,7378,6096
2019,19997426,5089802,2211942,0,599756,5039224,7056702,0,1005974,451520,281953,0,0,0,272501,0,4365,3096
2020,1894821,460096,166511,0,134200,984812,149202,0,86547,45520,14175,0,0,0,26852,0,407,172
2021,34461527,11613890,6021897,0,1930419,7529163,7366158,0,1301898,500005,498569,0,0,0,303324,0,7360,6079
2022,11225209,1861634,749007,0,493136,2750160,5371272,0,394722,203957,68545,0,0,0,122220,0,2320,1304
2023,29873330,9446089,5471494,0,1578765,6486093,6890889,0,1006978,596965,52085,0,0,0,357928,0,7385,6044
2024,29265780,7307168,4826444,0,2730430,6941638,7460100,0,618441,280052,169465,0,0,0,168924,0,5877,4597
2025,8633902,2156353,750139,0,264367,2384788,3078255,0,369763,180989,80382,0,0,0,108392,0,6291,4960
2026,32327980,9928377,3227437,0,2856703,8568011,7747452,0,1463678,733689,288322,0,0,0,441667,0,7186,5904
2027,31108104,11019056,3663133,0,582269,8156980,7686666,0,1911621,965229,365168,0,0,0,581224,0,7368,6085
2028,7229192,1378153,648834,0,2092,2171865,3028248,0,232614,88538,90771,0,0,0,53305,0,1466,732
2029,7901508,1256628,642733,0,322285,2165326,3514536,0,161587,66531,55167,0,0,0,39889,0,1553,785
2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031,31497971,10611027,4265551,0,1584122,7527437,7509834,0,1636207,942292,128291,0,0,0,565624,0,7378,6096
2032,21526566,5776362,3014261,0,399374,5268815,7067754,0,776627,337171,235870,0,0,0,203586,0,4523,3254
2033,2726574,471858,399827,0,126045,1231504,497340,0,82307,46621,8115,0,0,0,27571,0,558,231
2034,28380200,8593953,4912718,0,888961,6921213,7063355,0,1505452,674151,424264,0,0,0,407037,0,7176,5888
2035,39447,29688,7992,0,1767,0,0,0,9183,4472,2240,0,0,0,2471,0,13,4
2036,14806403,3345758,1153007,0,1132472,4049318,5125848,0,541355,244043,150419,0,0,0,146893,0,4671,3405
2037,22579225,7320367,2792730,0,994411,5796094,5675623,0,1064825,591386,118432,0,0,0,355007,0,7375,6094
2038,21120604,5556261,2424676,0,455310,5517135,7167222,0,1028167,542073,160218,0,0,0,325876,0,4697,3427
2039,15788393,2748663,1426558,0,1088657,3893765,6630750,0,426377,261911,8076,0,0,0,156390,0,3439,2193
2040,32399769,10998606,4499733,0,1469099,7729087,7703244,0,1858775,778817,608793,0,0,0,471165,0,7302,6020
2041,6858267,1076822,640047,0,383656,1692582,3065160,0,223157,130749,14632,0,0,0,77776,0,2586,1545
2042,31763043,10816629,4753849,0,2218005,6785234,7189326,0,1913257,878850,503949,0,0,0,530458,0,7329,6047
2043,11702030,2014974,937635,0,335398,2998543,5415480,0,449675,185625,151973,0,0,0,112077,0,2399,1357
2044,49377,31686,10120,0,7571,0,0,0,7276,3431,2050,0,0,0,1795,0,16,5
2045,3964,1942,1288,0,734,0,0,0,189,68,87,0,0,0,34,0,2,1
2046,15990408,2560277,1924932,0,1285263,3647766,6572170,0,506222,269314,75517,0,0,0,161391,0,3710,2429
2047,8583801,1355323,1402493,0,813321,1948680,3063984,0,115580,61230,18184,0,0,0,36166,0,4204,2896
2048,34555018,10840683,7044094,0,1051465,7926584,7692192,0,1319078,542526,448274,0,0,0,328278,0,7357,6015
2049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2051,30978854,8842883,3131095,0,4132452,7274174,7598250,0,1576363,678803,487125,0,0,0,410435,0,6786,5506
2052,7729375,1280490,578953,0,323408,1982362,3564162,0,294026,150850,52894,0,0,0,90282,0,2263,1253
2053,16256430,3692126,1400521,0,185961,4208472,6769350,0,688489,395708,55643,0,0,0,237138,0,3539,2322
2054,7641716,1493958,921250,0,345590,1935758,2945160,0,223318,101713,60755,0,0,0,60850,0,2760,2255
2055,15591325,3096568,1546128,0,224963,3915634,6808032,0,728728,338728,185975,0,0,0,204025,0,3320,2093
2056,14874605,2829751,1566806,0,1038658,3515518,5923872,0,521116,263036,100073,0,0,0,158007,0,3100,1996
2057,8991007,1315767,545453,0,409105,2321986,4398696,0,304572,137903,83745,0,0,0,82924,0,1821,919
2058,19124,9857,7631,0,1636,0,0,0,3583,1014,2205,0,0,0,364,0,7,3
2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2061,10465370,1978361,1852320,0,884704,2438725,3311260,0,452247,212903,111616,0,0,0,127728,0,5093,3826
2062,13591290,2686904,1153633,0,460828,3515255,5774670,0,488819,255514,79942,0,0,0,153363,0,2857,1736
2063,2074751,630860,260765,0,47678,980720,154728,0,154066,72703,37868,0,0,0,43495,0,476,225
2064,19850878,4737120,2467663,0,1212290,5179818,6253987,0,1434608,503750,624327,0,0,0,306531,0,5287,4010
2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2066,22986,16604,5844,0,538,0,0,0,6124,2964,1906,0,0,0,1254,0,13,5
2067,354505,217044,86044,0,48068,3349,0,0,70921,37320,11457,0,0,0,22144,0,178,127
2068,10764931,1375207,1436275,0,600075,2440624,4912750,0,377448,194570,66365,0,0,0,116513,0,2283,1272
2069,5480400,857406,779996,0,192917,1285783,2364298,0,183591,61437,85276,0,0,0,36878,0,2610,1555
2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2071,645387,212847,142923,0,2968,277305,9344,0,65689,29675,18750,0,0,0,17264,0,369,172
2072,3076,1850,685,0,541,0,0,0,725,111,557,0,0,0,57,0,1,0
2073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2074,16099,9057,4110,0,2932,0,0,0,2839,963,1522,0,0,0,354,0,5,1
2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
