"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6322,39971724,32619855,7351869,4012862,1208294,2130713,304,196,108,339,231,108,169140,2010,32619855,9658005,4040019,0,3797683,7481690,7642458,0,1208294,753085,4083,0,0,0,451126,0,7264,5983
2011,7568,7568,7578,6313,40776354,34354336,6422018,3637652,1086342,1698024,189,189,0,227,227,0,0,2011,34354336,10626403,3378580,0,4790403,7971752,7587198,0,1086342,677968,2250,0,0,0,406124,0,7379,6086
2012,7568,7568,7578,6266,40212809,32598394,7614415,3964654,1515296,2134465,182,182,0,226,226,0,602427,2012,32598394,10422925,6407800,0,1860076,6729319,7178274,0,1515296,733566,339829,0,0,0,441901,0,7386,6040
2013,7568,7568,7578,6322,40295592,33184658,7110934,2916218,2035781,2158935,276,194,82,311,229,82,0,2013,33184658,11021117,5904606,0,1513241,7307698,7437996,0,2035781,623327,1031041,0,0,0,381413,0,7292,6011
2014,7568,7568,7578,7576,16578,9763,6815,109,1635,5071,7565,25,7540,7575,23,7552,0,2014,9763,7216,1396,0,1151,0,0,0,1635,550,857,0,0,0,228,0,3,1
2015,7568,7568,7578,6322,39925350,35016740,4908610,2218580,842459,1847571,343,196,147,379,232,147,0,2015,35016740,10299689,4428639,0,4251277,8333891,7703244,0,842459,483144,69590,0,0,0,289725,0,7225,5943
2016,7568,7568,7578,6323,478884,457525,21359,11893,2540,6926,693,206,487,729,242,487,37609896,2016,457525,42747,99219,0,24364,125127,166068,0,2540,1323,605,0,0,0,612,0,6875,5594
2017,7568,7568,7578,6322,40770828,34413757,6357071,3999042,1261445,1096584,190,190,0,226,226,0,0,2017,34413757,9435998,4388810,0,6109047,6997698,7482204,0,1261445,703253,135911,0,0,0,422281,0,7378,6096
2018,7568,7568,7578,6322,40770828,33493911,7276917,4068295,1614693,1593929,190,190,0,226,226,0,0,2018,33493911,10069117,4607764,0,3863410,7421682,7531938,0,1614693,753292,407063,0,0,0,454338,0,7378,6096
2019,7568,7568,7578,6346,24120990,19997426,4123564,1629023,1005974,1488567,3203,156,3047,3250,198,3052,0,2019,19997426,5089802,2211942,0,599756,5039224,7056702,0,1005974,451520,281953,0,0,0,272501,0,4365,3096
2020,7568,7568,7578,7332,2249082,1894821,354261,33344,86547,234370,7161,57,7104,7160,47,7113,0,2020,1894821,460096,166511,0,134200,984812,149202,0,86547,45520,14175,0,0,0,26852,0,407,172
2021,7568,7568,7578,6322,40671360,34461527,6209833,2012085,1301898,2895850,208,193,15,243,228,15,0,2021,34461527,11613890,6021897,0,1930419,7529163,7366158,0,1301898,500005,498569,0,0,0,303324,0,7360,6079
2022,7568,7568,7578,6574,12820320,11225209,1595111,460072,394722,740317,5248,126,5122,5270,142,5128,0,2022,11225209,1861634,749007,0,493136,2750160,5371272,0,394722,203957,68545,0,0,0,122220,0,2320,1304
2023,7568,7568,7578,6271,36092507,29873330,6219177,3052598,1006978,2159601,183,183,0,227,227,0,4724741,2023,29873330,9446089,5471494,0,1578765,6486093,6890889,0,1006978,596965,52085,0,0,0,357928,0,7385,6044
2024,7568,7568,7578,6328,32476302,29265780,3210522,1021658,618441,1570423,1691,190,1501,1731,227,1504,0,2024,29265780,7307168,4826444,0,2730430,6941638,7460100,0,618441,280052,169465,0,0,0,168924,0,5877,4597
2025,7568,7568,7578,6279,10309801,8633902,1675899,686881,369763,619255,1277,184,1093,1319,225,1094,24516276,2025,8633902,2156353,750139,0,264367,2384788,3078255,0,369763,180989,80382,0,0,0,108392,0,6291,4960
2026,7568,7568,7578,6322,39709836,32327980,7381856,3769184,1463678,2148994,382,194,188,418,230,188,0,2026,32327980,9928377,3227437,0,2856703,8568011,7747452,0,1463678,733689,288322,0,0,0,441667,0,7186,5904
2027,7568,7568,7578,6322,40715568,31108104,9607464,5537285,1911621,2158558,200,191,9,237,227,10,0,2027,31108104,11019056,3663133,0,582269,8156980,7686666,0,1911621,965229,365168,0,0,0,581224,0,7368,6085
2028,7568,7568,7578,6859,8101116,7229192,871924,46587,232614,592723,6102,106,5996,6127,122,6005,0,2028,7229192,1378153,648834,0,2092,2171865,3028248,0,232614,88538,90771,0,0,0,53305,0,1466,732
