"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6303,40792932,33108464,7684468,4054634,1376578,2253256,186,186,0,227,227,0,0,2010,33108464,10581879,6697085,0,1530515,6960457,7338528,0,1376578,749945,176015,0,0,0,450618,0,7382,6076
2011,7568,7568,7578,6322,40770828,34231639,6539189,3370268,1039662,2129259,190,190,0,226,226,0,0,2011,34231639,9642300,5260165,0,4218907,7639115,7471152,0,1039662,645295,7813,0,0,0,386554,0,7378,6096
2012,7568,7568,7578,6294,40815036,33606099,7208937,2936039,1435794,2837104,182,182,0,228,228,0,0,2012,33606099,11588191,4809691,0,1764737,7933646,7509834,0,1435794,654248,386600,0,0,0,394946,0,7386,6066
2013,7568,7568,7578,6323,39527478,34195497,5331981,2419584,1028611,1883786,415,195,220,453,232,221,0,2013,34195497,8779538,7743713,0,2713425,7565033,7393788,0,1028611,501868,224496,0,0,0,302247,0,7153,5870
2014,7568,7568,7578,6359,21867563,17942714,3924849,1738549,864515,1321785,2827,178,2649,2870,216,2654,4333111,2014,17942714,4582207,2292691,0,271825,4742735,6053256,0,864515,428212,178650,0,0,0,257653,0,4741,3489
2015,7568,7568,7578,6531,14146718,12589176,1557542,214475,278281,1064786,4814,118,4696,4832,131,4701,1075197,2015,12589176,2693997,1301159,0,116984,3173661,5303375,0,278281,151967,35257,0,0,0,91057,0,2754,1699
2016,7568,7568,7578,6322,40721094,34364153,6356941,3076155,1291085,1989701,199,192,7,235,228,7,0,2016,34364153,9761813,3141467,0,4578318,9030109,7852446,0,1291085,600251,328791,0,0,0,362043,0,7369,6087
2017,7568,7568,7578,6336,16509994,14008146,2501848,1231246,519025,751577,2302,174,2128,2347,213,2134,12621200,2017,14008146,3040029,1550735,0,1068893,3764601,4583888,0,519025,274971,79252,0,0,0,164802,0,5266,3989
2018,7568,7568,7578,6322,40770828,33018212,7752616,3938670,1319735,2494211,190,190,0,226,226,0,0,2018,33018212,11522814,4294091,0,2648098,7131791,7421418,0,1319735,769658,88190,0,0,0,461887,0,7378,6096
2019,7568,7568,7578,6313,40781880,32638981,8142899,4231189,1351418,2560292,188,188,0,226,226,0,0,2019,32638981,11006579,4037778,0,2965494,7240868,7388262,0,1351418,824771,32282,0,0,0,494365,0,7380,6087
2020,7568,7568,7578,6267,40815036,36122935,4692101,1558228,915626,2218247,182,182,0,226,226,0,0,2020,36122935,10935145,7568146,0,3619621,6821749,7178274,0,915626,390550,289150,0,0,0,235926,0,7386,6041
2021,7568,7568,7578,6347,25314606,22092372,3222234,1398267,614806,1209161,2987,175,2812,3030,213,2817,0,2021,22092372,4656206,1746314,0,2633948,5916312,7139592,0,614806,366912,28195,0,0,0,219699,0,4581,3317
2022,7568,7568,7578,6322,40665834,32540942,8124892,4696480,1407267,2021145,209,192,17,245,228,17,0,2022,32540942,10078230,4705976,0,2916276,7358256,7482204,0,1407267,865608,22872,0,0,0,518787,0,7359,6077
2023,7568,7568,7578,6311,38516220,31684613,6831607,4072045,1306257,1453305,598,185,413,639,223,416,0,2023,31684613,8338257,3452896,0,5185488,7192612,7515360,0,1306257,747110,110804,0,0,0,448343,0,6970,5672
2024,7568,7568,7578,6323,39615894,32164092,7451802,3935994,1440430,2075378,399,193,206,433,230,203,0,2024,32164092,10196866,5551861,0,2933718,6358633,7123014,0,1440430,756740,228664,0,0,0,455026,0,7169,5890
2025,7568,7568,7578,6322,40715568,33024332,7691236,3998190,1354338,2338708,200,191,9,237,228,9,0,2025,33024332,11036969,3971626,0,2699856,7656845,7659036,0,1354338,778246,109038,0,0,0,467054,0,7368,6085
2026,7568,7568,7578,6322,29252726,23479995,5772731,2792003,1069790,1910938,209,193,16,244,228,16,11435845,2026,23479995,7776308,2985814,0,768577,5984412,5964884,0,1069790,560707,172226,0,0,0,336857,0,7359,6078
2027,7568,7568,7578,6322,40556014,35267638,5288376,1828738,941296,2518342,191,191,0,227,227,0,209288,2027,35267638,10789269,8139800,0,893673,7691918,7752978,0,941296,423315,262404,0,0,0,255577,0,7377,6095
2028,7568,7568,7578,7521,513918,336953,176965,8047,41390,127528,7475,46,7429,7487,52,7435,0,2028,336953,219033,84449,0,33471,0,0,0,41390,20867,8102,0,0,0,12421,0,93,34
2029,7568,7568,7578,6337,29777365,24328866,5448499,2565210,1015309,1867980,2048,179,1869,2092,219,1873,726230,2029,24328866,6755592,2656214,0,1184533,6401229,7331298,0,1015309,575642,94102,0,0,0,345565,0,5520,4245
2030,7568,7568,7578,6318,40074552,32122358,7952194,3992701,1269369,2690124,316,192,124,353,229,124,0,2030,32122358,10984167,5453685,0,980668,7055854,7647984,0,1269369,774944,30073,0,0,0,464352,0,7252,5965
2031,7568,7568,7578,6266,40765302,34023969,6741333,3524257,1247620,1969456,191,185,6,235,229,6,0,2031,34023969,9324218,7755666,0,2450773,7237674,7255638,0,1247620,663522,185297,0,0,0,398801,0,7377,6031
2032,7568,7568,7578,6314,40710042,33322790,7387252,4492291,1257166,1637795,201,193,8,238,230,8,0,2032,33322790,10102215,5255676,0,3016189,7383616,7565094,0,1257166,786194,0,0,0,0,470972,0,7367,6076
2033,7568,7568,7578,6320,40842666,32325351,8517315,4673958,1483506,2359851,177,177,0,213,213,0,0,2033,32325351,10595004,4518258,0,3182595,6779382,7250112,0,1483506,863052,102631,0,0,0,517823,0,7391,6107
2034,7568,7568,7578,6322,35412297,27548542,7863755,4393452,1556405,1913898,190,190,0,226,226,0,5369837,2034,27548542,9388947,4431340,0,1327280,5958869,6442106,0,1556405,778403,309319,0,0,0,468683,0,7378,6096
2035,7568,7568,7578,6898,6683348,5653450,1029898,276691,227206,526001,5998,141,5857,6024,158,5866,1999708,2035,5653450,1215748,702382,0,15408,1585832,2134080,0,227206,127157,24191,0,0,0,75858,0,1570,874
2036,7568,7568,7578,7495,757062,467357,289705,34667,80921,174117,7431,57,7374,7442,60,7382,0,2036,467357,299878,164349,0,3130,0,0,0,80921,38037,20339,0,0,0,22545,0,137,53
2037,7568,7568,7578,6364,19864772,16881824,2982948,1505214,659130,818604,3574,168,3406,3617,206,3411,2210237,2037,16881824,3176579,1422044,0,699037,4581334,7002830,0,659130,369493,68127,0,0,0,221510,0,3994,2747
2038,7568,7568,7578,6322,38805962,32205486,6600476,3790710,1156538,1653228,190,190,0,226,226,0,1966548,2038,32205486,8736850,4270925,0,5501270,6582073,7114368,0,1156538,702318,33535,0,0,0,420685,0,7378,6096
