"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6310,40337154,32431548,7905606,3833077,1469275,2603254,185,185,0,226,226,0,461354
2011,7568,7568,7578,6322,40770828,32754265,8016563,4382734,1466109,2167720,190,190,0,226,226,0,0
2012,7568,7568,7578,6266,40815036,33206401,7608635,4103353,1486177,2019105,182,182,0,226,226,0,0
2013,7568,7568,7578,6326,31668430,28551313,3117117,663138,431471,2022508,1428,193,1235,1464,225,1239,2264192
2014,7568,7568,7578,6324,27191528,24422667,2768861,761892,420157,1586812,995,195,800,1032,233,799,9151992
2015,7568,7568,7578,6322,40748724,35642915,5105809,1782416,966447,2356946,194,191,3,230,227,3,0
2016,7568,7568,7578,6323,31056347,25849826,5206521,1903419,1038622,2264480,1029,191,838,1065,225,840,5088385
2017,7568,7568,7578,6809,7331590,6740586,591004,48317,108212,434475,6008,113,5895,6026,122,5904,1294598
2018,7568,7568,7578,6266,40792932,35343138,5449794,1954656,987979,2507159,186,183,3,230,227,3,0
2019,7568,7568,7578,6309,40798458,33613148,7185310,3103359,1321789,2760162,185,185,0,226,226,0,0
2020,7568,7568,7578,6406,19407292,18001742,1405550,419258,260604,725688,4056,137,3919,4111,181,3930,20
2021,7568,7568,7578,6322,27470208,22597790,4872418,2415857,943426,1513135,190,190,0,226,226,0,13328828
2022,7568,7568,7578,6322,40770828,32853962,7916866,3542602,1386347,2987917,190,190,0,226,226,0,0
2023,7568,7568,7578,6322,40501044,33924876,6576168,2588822,1105220,2882126,193,192,1,229,228,1,253206
2024,7568,7568,7578,6280,38715156,28778104,9937052,6906901,1775112,1255039,562,190,372,603,233,370,0
2025,7568,7568,7578,6313,40654782,34781979,5872803,2190526,1145274,2537003,211,197,14,247,233,14,0
2026,7568,7568,7578,7571,66312,41631,24681,1680,5663,17338,7556,60,7496,7567,63,7504,0
2027,7568,7568,7578,6324,34570656,29053406,5517250,2734181,1012675,1770394,1312,190,1122,1351,228,1123,0
2028,7568,7568,7578,6288,34206327,30985635,3220692,2046934,607501,566257,181,181,0,227,227,0,6627894
2029,7568,7568,7578,6313,40577418,31947313,8630105,5162466,1676299,1791340,225,194,31,262,231,31,0
2030,7568,7568,7578,6266,40809510,31618451,9191059,6007101,1917929,1266029,183,182,1,227,226,1,0
2031,7568,7568,7578,6322,40698990,31731765,8967225,5298782,1699649,1968794,203,191,12,239,227,12,0
2032,7568,7568,7578,6322,40638204,34709215,5928989,2382353,923682,2622954,214,194,20,250,230,20,0
2033,7568,7568,7578,6319,40739894,34738553,6001341,3209285,1036556,1755500,192,191,1,228,227,1,19882
