"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6309,35386180,32018429,3367751,2094954,598508,674289,185,185,0,226,226,0,5423234
2011,7568,7568,7578,6309,17913335,15903097,2010238,1261741,403601,344896,186,186,0,226,226,0,22932776
2012,7568,7568,7578,6267,40809510,33290564,7518946,3328102,1467776,2723068,183,183,0,227,227,0,0
2013,7568,7568,7578,6322,39899522,32574085,7325437,4041983,1226495,2056959,190,190,0,226,226,0,871558
2014,7568,7568,7578,6275,40815036,34507640,6307396,2666056,1168291,2473049,182,182,0,226,226,0,0
2015,7568,7568,7578,6451,14993547,12887062,2106485,658846,619776,827863,4489,133,4356,4540,178,4362,2028068
2016,7568,7568,7578,6323,24157363,20787318,3370045,1391107,608541,1370397,751,191,560,788,226,562,13543214
2017,7568,7568,7578,6274,40571892,32413330,8158562,4078810,1708646,2371106,226,187,39,271,231,40,0
2018,7568,7568,7578,6322,40765302,36375961,4389341,1998228,745321,1645792,191,191,0,226,226,0,0
2019,7568,7568,7578,6270,9905829,8802626,1103203,351509,234480,517214,273,186,87,316,229,87,30471393
2020,7568,7568,7578,6323,25199495,21523419,3676076,2050162,660192,965722,526,196,330,563,233,330,13744895
2021,7568,7568,7578,6285,40820562,31896036,8924526,5722755,2006575,1195196,181,181,0,227,227,0,0
2022,7568,7568,7578,6267,40650093,34474123,6175970,3602594,1226062,1347314,203,187,16,247,231,16,48897
2023,7568,7568,7578,6338,28823616,23954053,4869563,2039959,1051904,1777700,2352,176,2176,2397,214,2183,0
2024,7568,7568,7578,6290,40815036,32970782,7844254,4583214,1315544,1945496,182,182,0,227,227,0,0
2025,7568,7568,7578,6266,25423659,20743064,4680595,3040857,979831,659907,182,182,0,226,226,0,15428232
2026,7568,7568,7578,6271,40599522,32818753,7780769,4071600,1805281,1903888,221,187,34,264,230,34,0
2027,7568,7568,7578,7537,370242,268426,101816,643,20032,81141,7501,38,7463,7513,41,7472,0
2028,7568,7568,7578,6977,5149508,4703168,446340,53195,123222,269923,6492,113,6379,6517,129,6388,800836
2029,7568,7568,7578,6322,23694652,20060596,3634056,1960490,735321,938245,381,195,186,419,231,188,16053213
2030,7568,7568,7578,7553,243144,151029,92115,9878,23155,59082,7524,43,7481,7534,54,7480,0
2031,7568,7568,7578,6322,40759776,31221451,9538325,5258674,1860657,2418994,192,192,0,227,227,0,0
2032,7568,7568,7578,6288,37490571,32144757,5345814,3176152,971177,1198485,516,187,329,565,235,330,1479333
2033,7568,7568,7578,6268,40803984,37699398,3104586,1051144,639231,1414211,184,184,0,228,228,0,0
2034,7568,7568,7578,6323,37090512,30614623,6475889,2595901,1372488,2507500,856,189,667,892,226,666,0
2035,7568,7568,7578,6735,9836280,9172482,663798,51336,143469,468993,5788,119,5669,5802,123,5679,0
2036,7568,7568,7578,6322,40660133,34009396,6650737,4422771,1248875,979091,210,191,19,246,227,19,175
2037,7568,7568,7578,6322,40759776,35166726,5593050,3556281,985320,1051449,192,191,1,228,227,1,0
